Ctlsungwadangota,English Translation
tuxʷale,1_one
rua,2_two
to:lu,3_three
ɸati,4_four
taβalima,5_five
laβtuxʷale,6_six
laβrua,7_seven
laβtolu,8_eight
leiβati,9_nine
saŋaxulu,10_ten
saxul_rua,11_twenty
saxul_taβalima,12_fifty
ŋʷelⁿdolu,13_onehundred
ta:ri,14_onethousand
siɣʷao,15_year
matawa,16_right
xaloa,17_left
xalowa,17_left
nau,18_i
ᵑɡomai,19_weallexcl
xiⁿdarua,20_webothincl
ᵑɡomairua,21_webothexcl
xiⁿda,22_weallincl
niᵑɡo,23_thou
ᵑɡamurua,24_youboth
ᵑɡamu,25_youall
ia,26_heshe
ira,27_theyall
irarua,28_theyboth
xʷatea,29_nonot
asa,30_what
ise,31_who
ᵐbeɣe,32_where
saβa_taro,33_when
ⁿdasina,34_how
ⁿda:,35_this
ⁿdaβano,36_that
ŋʷaᵑɡena,37_above
ɸaβana,38_below
lolona,39_ininside
kʷa:tuɣi,40_head
uluɣi,41_hair
mataɣi,42_eye
lisuɣi,43_nose
ᵑɡʷoroɣi,44_ear
xʷaxʷaɣi,45_mouth
luameɣi,46_tongue
lixʷoɣi,47_tooth
limaɣi,48_hand
limaxi,48_hand
tiᵑɡʷaɣi,49_shoulder
xawaɣi,50_neck
taɣuɣi,51_back
ra:ŋoxi,52_leg
ⁿdai,53_blood
suriɣi,54_bone
ɸinuɣi,55_skin
xeteɣi,56_belly
tinaɪ,57_intestines
susu,58_breast
ɸara,59_liver
xʷiriu,60_dog
manu_sireixai,61_bird
ma:si,62_fish
ŋʷata,63_snake
sulate,64_worm
ŋʷandi,65_louse
xariβi,66_rat
taɣaɣa,67_spider
na:mu,68_mosquito
toli,69_egg
xolona,70_tail
ᵐbanina,71_wing
uluna,72_feather
tatuata,73_man
ɸaβine,74_woman
ŋʷeraŋʷera_riᵑɡi,75_child
ŋʷerŋʷera_riᵑɡi,75_child
sasaɣi,76_name
ᵑɡʷau,77_mother
tata,78_father
tuᵐbuᵑɡu,79_husband
ra:tuᵐbuᵑɡu,80_wife
ra:ni,81_day
ᵑɡʷoŋi,82_night
xula,83_moon
ɸitiu,84_star
taɛlaŋi,85_sky
ᵐbei,86_water
ᵑɡilo,87_lake
ta:si,88_sea
aβi,89_fire
asu,90_smoke
taniaxu,91_ash
ɸa:tu,92_stone
ta:no,93_earthsoil
taniaxu,94_dust
one,95_sand
usa,96_rain
taɛtaɛ,97_cloud
la:ŋi,98_wind
manɸʷara,99_thunder
xʷaŋa,100_lightning
ᵐbixi,101_meatflesh
weixai,102_fruit
tamatua,103_woodsforest
xorixai,104_root
raixai,105_branch
ⁿdau_xʷai,106_leaf
xai,107_wood
ᵐbalisi,108_grass
matasixai,109_flower
ⁿdau,110_thatchroof
ɸale,111_house
xawe,112_rope
xorsala,113_roadpath
maeto,114_black
oxʷoxʷo,115_white
memea,116_red
xesena,117_green
waŋoxa,118_yellow
aŋoxa,118_yellow
mʷaasi,119_big
riᵑɡi,120_small
xaxani,121_sharp
ᵑɡʷatolu,122_bluntdull
meimei,123_shyashamed
ŋo:niɣa,124_old
manuxʷa,125_painfulsick
xʷia,126_good
sa:ti,127_bad
leβuruɸʷaɣi,128_correcttrue
ora,129_dirty
ⁿdaru,130_rotten
ⁿde:mu,131_heavy
ɸano_re:ⁿdu,132_far
ɸiritaɣi,133_near
maⁿdiŋi,134_cold
ma:masa,135_dry
saŋʷale,136_wet
araᵑɡʷa,137_new
tuara,138_other
xuma,139_come
xaʊ_taliaɣi,140_walk
tulu_ɸaturi,141_stand
taxʷara,142_sit
soɛ,143_fall
ɛno,144_liedown
risi,145_turn
ɸeneɣi,146_climb
xaxaru,147_swim
xaxa,148_flyverb
xʷosaɣ_soni,149_throw
untau,150_hide
xani,151_eat
unu,152_drink
ŋʷaŋʷaoβa,153_yawn
xura,154_spit
maturu_ᵑɡʷoreᵑɡʷore,155_dream
maturu,156_sleep
ŋʷaso,157_live
mate,158_die
wasiɸa:_mate,159_kill
ɛ:tɛ,160_see
roŋo,161_hear
reβe,162_sniffsmell
mana,163_laugh
ŋara,164_cry
sere,165_blow
nosi,166_burn
tuxuru,167_sew
tuɣuru,167_sew
waswasia,168_pound
wasi,169_hit
teβe,170_cut
ⁿdara,171_split
xili,172_dig
saro,173_hunt
tori,174_hold
mataxuti,175_fear
ɸalu,176_count
mambusiɣi,177_breathe
luluɛ,178_vomit
liβiti,179_tieup
xʷoro,180_squeeze
riɣa,181_swell
ɸeβe,182_say
taᵑɡari,183_scratch
turu,184_stab
sesei,185_buy
ᵐbalu,186_steal
riɣu,187_plant
raŋai,188_cook
ɸene,189_shoot
roᵐba,190_work
ra:ni,191_open
