Venentautehamax,English Translation
i-amk,1_one
i-ru,2_two
ar-tl,3_three
arɪ-ða,4_four
arɪ-lɪm,5_five
saru,7_seven
mɛlɛndao,16_right
mir,17_left
kana,18_i
kanɛm,19_weallexcl
nakm,23_thou
kani,25_youall
xin,26_heshe
xir,27_theyall
vata_ðata,30_what
xinak,31_who
ea,37_above
pət-k,40_head
nil-,41_hair
nata-,42_eye
ʃuka-,43_nose
ⁿdʳɪlina-m,44_ear
pn-,45_mouth
nɛnɛ-m,46_tongue
lu-n,47_tooth
lɪmɛ-k,48_hand
natv-,50_neck
ⁿdu-n,51_back
tl-k,52_leg
na-ⁿde,53_blood
ʃu-n,54_bone
ni-lɛpa-kn,55_skin
fat-k,56_belly
nunu,58_breast
lipax,60_dog
na-nəx,61_bird
tilao,62_fish
na-ɣt,65_louse
ɛlpo,66_rat
naxaⁿdʳln,69_egg
fəli-n,70_tail
ni-lɣai-ɛn,71_wing
ⁿdui,73_man
tavɛt,74_woman
marⁿdɛl,75_child
une,77_mother
tate,78_father
nau-n,79_husband
tavɛt,80_wife
nutirɛn,81_day
liɣat,82_night
na-al,83_moon
mʷuʃi,84_star
narn,85_sky
na-we,86_water
na-taʰ,88_sea
na-ap,89_fire
iennaap,90_smoke
na-vɛt,92_stone
na-ⁿdɛð,93_earthsoil
n-un,95_sand
nu,96_rain
narn,97_cloud
na-lɛn,98_wind
na-vl,99_thunder
lilimt,103_woodsforest
warn,104_root
rane_nai,105_branch
ru_nai,106_leaf
nai,107_wood
ne-ɛt,110_thatchroof
nə-max,111_house
na-ɣao,112_rope
nɛ-vɛnɛl,113_roadpath
i-mɪt,114_black
i-təva,115_white
i-lil,119_big
i-susupa,120_small
nɛ-tarɪp,124_old
i-pas,126_good
i-ʃtu,127_bad
i-viva,132_far
-mima,133_near
mɛla,134_cold
-nana,135_dry
-wir,136_wet
pa-ma,139_come
-vɛl,140_walk
nɛ-vtir,141_stand
-lk,142_sit
-irɪs,143_fall
-xapr,146_climb
i-tɛtv,148_flyverb
-sərani,149_throw
-tututuani,150_hide
-xatat,151_eat
-tupʷi,154_spit
a-natr_kale,155_dream
natr,156_sleep
i-na,158_die
ha-rpi-pina,159_kill
nɛ-rni,161_hear
nɪ-vutma,163_laugh
i-valo,164_cry
ha-rpi,168_pound
hɛ-rpi,169_hit
a-tri,170_cut
he-tərpapri,171_split
ha-ɣəli,172_dig
-wənde,174_hold
nɛⁿdʳn,175_fear
he-rɛvnalɛn,177_breathe
i-lu,178_vomit
-xawi,179_tieup
-xarxari,183_scratch
-holi,185_buy
-lawi,187_plant
a-tapɣai,188_cook
-luai,189_shoot
-wale,191_open
