Namanlitzlitz,English Translation
-psaːβɑx,1_one
i-ru,2_two
i-tɬ,3_three
i-bɪs,4_four
i-ləm,5_five
-ⁿʒoːs,6_six
-ⁿʒuru,7_seven
-ⁿʒutl,8_eight
-ⁿʒuβis,9_nine
-sɐŋaβʊl,10_ten
lɐŋaβl_i-ru,11_twenty
ŋaβl_i-lim,12_fifty
nuᵑgut_saβax,13_onehundred
netar_saβax,14_onethousand
ne-sɔɣɔ,15_year
xo-metu,16_right
meir,17_left
kine,18_i
iᵑgʊt-taᵐbax,19_weallexcl
iːᵑgʊt,22_weallincl
aɣuᵑg,23_thou
iᵑgɛm-taᵐbax,24_youboth
ai,26_heshe
aer-taᵐbax,28_theyboth
e-soɣiaᵑk,29_nonot
ⁿt͡ʃan,30_what
eaᵐbɛʰ,32_where
taɛᵐt͡san,33_when
e-haᵐbɛ,34_how
eβan,35_this
eβɛɣʊn,36_that
ɛre,37_above
-mɛlɛβɛn,38_below
i-ᵐbɛɣʊt,39_ininside
ᵐbat-m,40_head
na-nsbɪlɪ-m,41_hair
mɛta-m,42_eye
nu-kons-m,43_nose
ⁿdɛliŋa-m,44_ear
ᵐboŋo-m,45_mouth
nɛ-luemɛ-m,46_tongue
ni-lβɪ-m,47_tooth
nɪ-vɛru-ŋk,48_hand
ᵐbɛruᵐbɛru-m,49_shoulder
ⁿtɛru-ŋk,51_back
talu-ŋk,52_leg
ⁿdalu-ŋk,52_leg
nɛ-ⁿde,53_blood
ᵐboloŋo-m,54_bone
nɛ-vlɛ-n,55_skin
taᵐbaɣo-ŋk,56_belly
nɛ-snɛ-n,57_intestines
nɛ-sm,58_breast
no-vɛⁿdaⁿdaml-ɛn,59_liver
liᵐbax,60_dog
nɛ-mɪn,61_bird
ni-əx,62_fish
na-mat,63_snake
no-xotʊm,65_louse
laᵐbʊt,66_rat
nɛ-lo,67_spider
nɛ-nom,68_mosquito
na-aⁿdl,69_egg
ᵐbotxor-un,70_tail
no-ɣoβɛr-n,71_wing
na-aⁿt͡sbəlʉ-n,72_feather
moɣʊt,73_man
netite,75_child
na-ᵑgt͡sɛ-n,76_name
naːne,77_mother
taːte,78_father
na-rarɛr,81_day
hiᵐboŋ,82_night
nɛ-βəl,83_moon
monʧe,84_star
mʉsnerɪn,85_sky
no-we,86_water
ⁿdesue,88_sea
na-ɣamb,89_fire
i-tɪl,90_smoke
mɛsnap,91_ash
nɛ-βɛtʰ,92_stone
nɛ-tɛn,93_earthsoil
nɛ-snap,94_dust
ⁿdaᵐbanoɛn,95_sand
no-us,96_rain
ne-liŋ,98_wind
ᵐbɛlɛvɛr,99_thunder
nɛ-βlβlβl,100_lightning
nɛ-βsoxɔ-n,101_meatflesh
na-βan,102_fruit
laɣe,103_woodsforest
nu-ɣor-n,104_root
mɛnsa_ᵑgarɪ-n,105_branch
ni-ruwʊn,106_leaf
na-ɣe,107_wood
ni-βɛlβɛlʉs,108_grass
nɛvuan,109_flower
ni-et,110_thatchroof
ne-im,111_house
no-ɣɔ,112_rope
ne-sɛl,113_roadpath
-nɛsɛβɛs,114_black
-uβoβ,115_white
-miɛl,116_red
-əⁿt͡sɛɣəⁿt͡sɛn,117_green
-iaŋaiaŋ,118_yellow
-tlɛᵐpʰ,119_big
-farɔx,120_small
psɪtɛrɛrsi,122_bluntdull
-rowis,123_shyashamed
-matruvarax,124_old
-mɪsɪx,125_painfulsick
i-ⁿdes,126_good
i-is,127_bad
-sɛvrʊs,128_correcttrue
i-ᵐbu,130_rotten
i-ⁿdup,131_heavy
e-talʊx,132_far
-lile,133_near
-mɛlaːs,134_cold
i-mɪᵐb,136_wet
tiⁿt͡ʃɛᵐbənɛn,138_other
ka-vale,139_come
bo-loŋoloŋ,140_walk
ɣi-tɛr,141_stand
ka-lɪᵑk,142_sit
-mɛtmetər,144_liedown
-ⁿdelvəs,145_turn
xi-sɛx,146_climb
-mɛrax,148_flyverb
kɛ-βsan,149_throw
kɪ-sɛɣʊn,150_hide
xa-aɣan,151_eat
kɪ-mɪnmɪn,152_drink
xa-nmʷɔ,153_yawn
-tɛlᵐbɪs,154_spit
-mɛtɛrxoᵐb,155_dream
ho-metur,156_sleep
-mur,157_live
i-mɪs,158_die
kɪ-vrɪ-ᵐbn,159_kill
xɔ-lɪs,160_see
no-roŋ,161_hear
xo-vʊtmas,163_laugh
xɔ-tɪŋ,164_cry
kɛ-ⁿt͡sil,167_sew
ko-ɣɔt͡s,168_pound
kɪ-vr,169_hit
ko-xorɪs,170_cut
ka-ᵑgal,171_split
kɪ-lɪβ,172_dig
ko-rob_tɪtɪn,174_hold
-mitoxtox,175_fear
ku-ⁿdoŋon,176_count
-ŋavaŋap,177_breathe
go-lualu,178_vomit
ko-ᵐbɪᵑk,179_tieup
i-ᵐbʊr,181_swell
xa-βaβar,182_say
-avar,182_say
-xoxɔ,183_scratch
k-soxɔ,184_stab
ko-βl,185_buy
ko-ɣop,187_plant
ka-taᵐbʊx,188_cook
lue,189_shoot
nɛ-rɪᵐbiɛn,190_work
ku-ⁿt͡sɛβɪn,191_open
