Ragaloltongbay,English Translation
ɡai_tuva,1_one
ɡaiɾua,2_two
ɡai_tolu,3_three
ɡai_vasi,4_four
lima,5_five
xai_ono,6_six
xai_bitu,7_seven
ɣai_vwelu,8_eight
sivo,9_nine
haŋvul,10_ten
navu_xai_ɾua,11_twenty
ŋovol_lima,12_fifty
vudolua,13_onehundred
taulu,15_year
lima_matua,16_right
nevilma_mwaiɾi,17_left
kamai,19_weallexcl
ɡidaɾu,20_webothincl
ɡida,22_weallincl
hiŋɡo,23_thou
kimiu,25_youall
kea,26_heshe
siɣai,29_nonot
hano,30_what
ihei,31_who
behe,32_where
baten_hano,33_when
ɡeki,35_this
kahaŋɡa,36_that
bwatu-,40_head
ilu-,41_hair
mata,42_eye
bwaɾihaŋo,43_nose
mbweɾo,44_ear
mbwaŋo-,45_mouth
mea,46_tongue
livo,47_tooth
lima-,48_hand
isibwa,49_shoulder
maɣoɾo,50_neck
ɣatiɣu,51_back
hui,54_bone
vinu,55_skin
sibweŋi,56_belly
sine-,57_intestines
huhu,58_breast
ate,59_liver
vwiɾiu,60_dog
manu,61_bird
ixe,62_fish
teltele,63_snake
silosi,64_worm
ɣutu,65_louse
ɣarivi,66_rat
taɣaɣa,67_spider
namu,68_mosquito
idoli,69_egg
ŋɡeɾen,70_tail
ɣabau,71_wing
lalau,72_feather
vavine,74_woman
natuɾiɣi,75_child
vevea,76_name
ɾatahina,77_mother
tama-na,78_father
ahoana,79_husband
tasalana,80_wife
mboŋi,82_night
vula,83_moon
visiu,84_star
mahau,85_sky
wai,86_water
waitoɣo,87_lake
tahi,88_sea
ɣabi,89_fire
ahu,90_smoke
taliavun_ɣabi,91_ash
vatu,92_stone
taniavu,94_dust
ute_an_tahi,95_sand
uhe,96_rain
tenlaŋi,97_cloud
laŋi,98_wind
bwahilo,99_thunder
vilohi,100_lightning
biɣi,101_meatflesh
vai_xai,102_fruit
viɾan_ɣai,104_root
ɾaɾa-n_ɣai,105_branch
ɾaun_ɣai,106_leaf
bwatmanea,108_grass
viɾan_ɣai,109_flower
iha,110_thatchroof
ima,111_house
hala,113_roadpath
meto,114_black
maita,115_white
memea,116_red
aŋoɣa,118_yellow
ɡaivua,119_big
kolo,120_small
mamaɣani,121_sharp
mbwatoa,122_bluntdull
bwatavwe,124_old
tavuha,126_good
nu_hantai,127_bad
bilbili,129_dirty
mboni,130_rotten
maɾahi,131_heavy
abe-da,133_near
meho,136_wet
xara,137_new
dolua,138_other
mai,139_come
laxo,140_walk
toamaɾe,141_stand
toata,142_sit
hovi,143_fall
eno,144_liedown
mbumbuɾiɡai_ni-a,145_turn
hae_amaɾe,146_climb
ŋɡari,147_swim
xaxa,148_flyverb
vohai_ni-a,149_throw
hilli,150_hide
ɣani-a,151_eat
mwin-ua,152_drink
lodo,154_spit
matuɾumboɾe,155_dream
matuɾu,156_sleep
mate,158_die
wehi_bwamatea,159_kill
xitae,160_see
ɾoŋo-e,161_hear
ɾoŋ_bonina,162_sniffsmell
mana,163_laugh
uvwia,165_blow
tunua,166_burn
liɣo-e,167_sew
wehi-a,169_hit
vai,170_cut
ɣeli-a,172_dig
mataxu,175_fear
vulinia,176_count
mambu,177_breathe
lua,178_vomit
bwiɾihi-a,180_squeeze
mwasivi,181_swell
xau,182_say
taŋɡaɾia,183_scratch
saɾia,184_stab
suɾai,186_steal
ɾivu-a,187_plant
bwasaxeɾe,188_cook
bubusi,189_shoot
vaŋia,191_open
