Uliveopeskaros,English Translation
-sua,1_one
e-ru,2_two
i-tor,3_three
i-fat,4_four
ɛ-rim,5_five
mɪlɛv-tɛs,6_six
mɪlɛv-ru,7_seven
mɪlɛv-tor,8_eight
mɪlav-pat,9_nine
sɪŋavur,10_ten
na-siɣao,15_year
matu,16_right
mair,17_left
kinao,18_i
kiⁿdatpisi,19_weallexcl
kiⁿdaru,20_webothincl
kami_iru,21_webothexcl
kiⁿdato,22_weallincl
kajuŋ,23_thou
kamɪru,24_youboth
kamito,25_youall
ᵑgaji,26_heshe
awa,29_nonot
nɪsa,30_what
ase,31_who
ambe,32_where
na-ᵐboŋosa,33_when
i-maᵐbe,34_how
ᵑgaᵑgai,35_this
-amaɣat,37_above
-pipide,38_below
-loɣojim,39_ininside
kaⁿdu-m,40_head
na-furu-m,41_hair
na-mɪtao-n,42_eye
xonusu-m,43_nose
ⁿdariŋa-m,44_ear
na-ᵐboŋo-n,45_mouth
na-meao-m,46_tongue
na-rifo-m,47_tooth
na-fɪlau-m,48_hand
ᵐbatɣofɛla-m,49_shoulder
xoloa-m,50_neck
maⁿdu-n,51_back
na-riɛ-m,52_leg
nɛ-nda,53_blood
bəlaseɔx,54_bone
bəxavu-n,56_belly
na-sus,58_breast
nə-maᵐb,59_liver
na-lipax,60_dog
nɪ-mæn_tæᵐʙʊ,61_bird
na-jɛx,62_fish
nɪ-mat,63_snake
na-tuŋulas,64_worm
na-ɣut,65_louse
na-ɣasu,66_rat
liŋɛsɪŋɛs,67_spider
nɛ-nam,68_mosquito
ⁿdavʊɣ_imæn,69_egg
na-ᵑgilɛ-n,70_tail
xaᵐbɪla-n,71_wing
na-vuru-n,72_feather
na-uluman,73_man
na-pəɣavut,74_woman
tuɣtɪtai,75_child
na-ɣasa-m,76_name
anana,77_mother
atata,78_father
a-soa-ŋ,79_husband
paɣavut_soa-ŋ,80_wife
lɪnial,81_day
lɛlmariuŋ,82_night
na-ɣaᵐbati,83_moon
na-mʷeso,84_star
mavukas,85_sky
nu-wai,86_water
lɪᵐbliᵐbor,87_lake
nə-tas,88_sea
na-xamp,89_fire
i-ᵐbʷas,90_smoke
nɪ-mʷasiap,91_ash
nɪ-fat,92_stone
nɪ-tan,93_earthsoil
masiaɸ,94_dust
na-ᵐbiʉn,95_sand
na-us,96_rain
nɪ-mariŋ,97_cloud
nɪ-lan,98_wind
na-ᵐbʷil_urur,99_thunder
nɪ-kaᵐbil,100_lightning
na-vʷite,102_fruit
liliɣai,103_woodsforest
na-ɣaɣi-te,104_root
pasɣai,105_branch
na-lute,106_leaf
na-ɣai,107_wood
na-liʉl,108_grass
na-pusi_ɣai,109_flower
na-im,111_house
nə-ɣao,112_rope
na-mɛt_pisal,113_roadpath
i-mɛrmɛr,114_black
ɛ-paraᴩʊx,115_white
-ᵐbisᵐbis,116_red
-kəskəsan,117_green
-iaŋiaŋ,118_yellow
e-tiᵐbao,119_big
-kɪkɛrɛx,120_small
i-kan,121_sharp
a-ɣavut˺,124_old
ɛ-mɪsax,125_painfulsick
i-voi,126_good
i-saʔ,127_bad
-kitin,128_correcttrue
ᵐbʷiŋal,129_dirty
i-mom,130_rotten
e-mɛlas,131_heavy
-atut,132_far
-pəpaŋdaŋ,133_near
e-susus,134_cold
i-mæsimæs,135_dry
i-mʉʃɪmʉš,136_wet
i-veveo,137_new
ᵑgə-mai,139_come
ni-ar,140_walk
nu-il,141_stand
nɪ-ᵐʙutah,142_sit
i-teɣ_vipan,143_fall
tetemaⁿdʳ,144_liedown
-pair_ɣeni,145_turn
e-pəlao,146_climb
-lilos,147_swim
ɛ-mɪlax,148_flyverb
nɪ-ᵐbara_ɣeni,149_throw
-susuani,150_hide
ni-ɣan,151_eat
nə-mun,152_drink
-xanɪmao,153_yawn
na-ᵐbuᵐbʷir,155_dream
nu-pʷat,156_sleep
i-maur,157_live
i-mæt,158_die
nɪ-par-ᵐʙuni_i-mat,159_kill
nu-susuloŋ,161_hear
noᵐbon,162_sniffsmell
nɪ-mæn,163_laugh
nu-taŋ,164_cry
e-vuɸ,165_blow
i-paŋ,166_burn
nu-soⁿde,167_sew
nɪ-tʊxtoɣi,168_pound
nɪ-parᵐʙuni,169_hit
nu-tajiʔ,170_cut
-tapuli,171_split
no-xoiri,172_dig
-ⁿdasmoŋon,173_hunt
mɪtax,175_fear
-vuruŋi,176_count
-suŋavuŋã,177_breathe
nə-ru,178_vomit
-ᵐbaŋisi,179_tieup
no-ᵐbus_ɣeni,180_squeeze
nu-kele,182_say
no-xarovʷi,183_scratch
nɪ-turi,184_stab
nofuri,185_buy
-vori,185_buy
nɪ-vɪnoɣi,186_steal
nu-mæᵐʙule,187_plant
-pænun,188_cook
nu-fini,189_shoot
no-um,190_work
nɪ-sɪŋav_ɣeni,191_open
