Walabotku,English Translation
-sa,1_one
ɔ-ru,2_two
e-tɪl,3_three
a-vʉt͡s,4_four
ɛ-lim,5_five
owɔn,6_six
ɛ-pʉt,7_seven
e-wɪl,8_eight
ɛ-siʉ,9_nine
asɪŋavʉl,10_ten
oŋol_o-ru,11_twenty
oŋol_ɛ-lim,12_fifty
oŋo_sɪŋavʉl,13_onehundred
sia,15_year
niɔ,18_i
kierʧile,19_weallexcl
kier,22_weallincl
nik,23_thou
kiami_ɔru,24_youboth
kiami,25_youall
ni,26_heshe
nir,27_theyall
mi-ʧige,29_nonot
ⁿt͡se,30_what
sie,31_who
sʉeliŋ,33_when
ɛ-rpɛse,34_how
-mare,37_above
-mɛlvɛn,38_below
-olon,39_ininside
batu-k,40_head
ron,41_hair
ron_batu-k,41_hair
nɛ-mtɛ-k,42_eye
ᵑgunsi-k,43_nose
ᵐboro-k,44_ear
ʧoŋo-k,45_mouth
nɛ-mɛ-k,46_tongue
ne-luwo-k,47_tooth
nɛvɛrɛ-k,48_hand
bɛrpari-k,49_shoulder
bot͡sɛla-k,50_neck
ⁿdotɛrɛ-k,51_back
bəla-k,52_leg
hrak,53_blood
ʧi-k,54_bone
nɛ-vɛlɛvʉlʉ-k,55_skin
ⁿdəpai-k,56_belly
ʧinɛ-k,57_intestines
ne-susu-k,58_breast
nɛ-rɛ-k,59_liver
ᵑgəli,60_dog
nɪ-mɪn,61_bird
na-msal,62_fish
nɪ-mɛt,63_snake
ⁿdoto,64_worm
na-ut,65_louse
na-riɸ,66_rat
ne-la,67_spider
nʊm,68_mosquito
rulu-n,69_egg
no-volovolai-k,70_tail
naᵐbɛ-n,71_wing
mowɛ-n,72_feather
norman,73_man
nɪ-vsevin,74_woman
bɪpɛriŋ,75_child
nesɛ-k,76_name
mɪrɛ-k,77_mother
tɛtɛ_so-k,78_father
lɛktɛr_so-k,80_wife
natrɪn,81_day
na-tpʊŋ,82_night
na-vʉl,83_moon
nɛ-mʧʉ,84_star
bakren,85_sky
nu-ɔ,86_water
ⁿdes,88_sea
na-mp,89_fire
mʷos,90_smoke
nɪ-βɪt,92_stone
ⁿdan,93_earthsoil
ᵐbetimau,94_dust
ⁿdɪpenan,95_sand
naus,96_rain
na-ror,97_cloud
lɪŋ,98_wind
ᵐbɛlvɛr,99_thunder
mivil,100_lightning
nɪ-viso-k,101_meatflesh
no-wɛnai,102_fruit
nɛ-təra,103_woodsforest
lapɛ-n,104_root
rɛŋsi-n,105_branch
roin,106_leaf
na-i,107_wood
na-mʉs,108_grass
loklok,109_flower
ni-at,110_thatchroof
na-im,111_house
ⁿtel,112_rope
mu-motmot,114_black
mu-wis,115_white
mi-veŋ,116_red
mi-namʉs,117_green
mi-at͡sat͡sɛn,118_yellow
mi-lɛp,119_big
mu-wɛlele,120_small
mu-sɔ,121_sharp
-muŋol,122_bluntdull
nɪma-manun,123_shyashamed
nama-tara,124_old
nɪ-mɪmsɛ,125_painfulsick
mi-rɛs,126_good
mi-siʧ,127_bad
-lɛvorotun,128_correcttrue
mo-poroporo,129_dirty
mu-mʊtmʊt,130_rotten
mu-roβ,131_heavy
-asɔ,132_far
-mori,133_near
-namlas,134_cold
-mimim,136_wet
nɪmɛ-mɛr,137_new
-mɛl,140_walk
mo-tur,141_stand
mɛ-lɪk,142_sit
mʷɪ-ʧʉ,143_fall
mə-sa,146_climb
mɛ-loŋ,147_swim
mu-ro,148_flyverb
me-silβani,150_hide
ma-in,151_eat
me-mini,152_drink
mɛ-nɪma,153_yawn
mɛ-ltʉβ,154_spit
porpor,155_dream
na-matur-ɛn_porpor,155_dream
nima-matur,156_sleep
mi-maur,157_live
mi-mit͡s,158_die
ma-rɛt͡s-pini,159_kill
nɪma-lesi,160_see
m-ore,161_hear
mɪ-tɛk,162_sniffsmell
mɪ-mɛn,163_laugh
mɛ-tiŋ,164_cry
-sɛr,165_blow
m-in,166_burn
mo-rli,167_sew
ma-rɛʧarɛʧi,168_pound
ma-rɛʧi,169_hit
nɪma-tai,170_cut
mo-tortoni,174_hold
nɛ-mɪto-ɛn,175_fear
nɪmɛ-βe,176_count
mɪ-veliŋ,177_breathe
mo-lu,178_vomit
mɛ-mɛlʧi,179_tieup
nɪmo-βusi,180_squeeze
mu-sol,181_swell
nɪmo-βorai,182_say
nɪmo-rsi,183_scratch
mo-wuli,185_buy
ma-vanai,186_steal
mo-ruwi,187_plant
na-tapu-ɛn,188_cook
nɪmɛ-lue,189_shoot
mɛ-βɛ,191_open
