ID,phonetic_transcriptions,recording,sound_editing,Language_ID
Burmbarburmbar,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Burmbarburmbar
Burmbarfartavo,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Burmbarfartavo
Burmbartengan,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Burmbartengan
Ctletawetnaviso,Iveth Rodriguez,Tom Ennever and Iveth Rodriguez,Iveth Rodriguez,Ctletawetnaviso
Ctlnalembanarovorovo,Iveth Rodriguez,Tom Ennever and Iveth Rodriguez,Iveth Rodriguez,Ctlnalembanarovorovo
Ctlnalembanasawa,Iveth Rodriguez,Tom Ennever and Iveth Rodriguez,Iveth Rodriguez,Ctlnalembanasawa
Ctlsungwadagalalaundi,Tom Ennever,Tom Ennever and Iveth Rodriguez,Iveth Rodriguez,Ctlsungwadagalalaundi
Ctlsungwadagarongnawo,Tom Ennever,Tom Ennever and Iveth Rodriguez,Iveth Rodriguez,Ctlsungwadagarongnawo
Ctlsungwadangota,Iveth Rodriguez,Tom Ennever and Iveth Rodriguez,Iveth Rodriguez,Ctlsungwadangota
Ctlsungwadogarata,Tom Ennever,Tom Ennever and Iveth Rodriguez,Iveth Rodriguez,Ctlsungwadogarata
Ctlsungwadolagwaranuta,Tom Ennever,Tom Ennever and Iveth Rodriguez,Iveth Rodriguez,Ctlsungwadolagwaranuta
Ctltawetnarovorovo,Iveth Rodriguez,Tom Ennever and Iveth Rodriguez,Iveth Rodriguez,Ctltawetnarovorovo
Elolovoli,Tom Ennever,Tom Ennever and Iveth Rodriguez,Iveth Rodriguez,Elolovoli
Esanasolokave,Iveth Rodriguez,Tom Ennever and Iveth Rodriguez,Iveth Rodriguez,Esanasolokave
Espiegelsbaylitebral,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Espiegelsbaylitebral
Espiegelsbaysolwota,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Espiegelsbaysolwota
Espiegelsbayunspecified,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Espiegelsbayunspecified
Evuindondo,Tom Ennever,Tom Ennever and Iveth Rodriguez,Iveth Rodriguez,Evuindondo
Fiftikhatbol,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Fiftikhatbol
Fiftimalmbor,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Fiftimalmbor
Larevatfwishile,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Larevatfwishile
Larevatlarevat,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Larevatlarevat
Larevatmosox,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Larevatmosox
Letemboiaingelemolesa,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Letemboiaingelemolesa
Letemboinatingatlang,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Letemboinatingatlang
Letemboinevatanyene,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Letemboinevatanyene
Letemboinewotenyene,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Letemboinewotenyene
Maluabaycoast,Aviva Shimelman and Lana Takau,Aviva Shimelman and Lana Takau,Laura Wägerle and Lana Takau,Maluabaycoast
Maluabaymarasup,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Maluabaymarasup
Maluabaypetarmul,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Maluabaypetarmul
Maluabaytiptir,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Maluabaytiptir
Mandrifaru,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Mandrifaru
Mandrifarun,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Mandrifarun
Markam,Lana Takau,Lana Takau,Lana Takau,Markam
Naahaimbatvanui,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Naahaimbatvanui
Naahaitoman,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Naahaitoman
Naatiwindua,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Naatiwindua
Nahaaimalfaxal,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Nahaaimalfaxal
Nahaaimbatmbang,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Nahaaimbatmbang
Nahavaqbanour,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Nahavaqbanour
Nahavaqcarolinebay,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Nahavaqcarolinebay
Nahavaqlembinwin,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Nahavaqlembinwin
Nahavaqloorndavo,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Nahavaqloorndavo
Najittanmial,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Najittanmial
Namanlitzlitz,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Namanlitzlitz
Nasarianngava,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Nasarianngava
Nasarianwileven,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Nasarianwileven
Nasvangbigisland,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Nasvangbigisland
Nasvangfarun,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Nasvangfarun
Natanganmbonvor,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Natanganmbonvor
Navwienmbonvor,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Navwienmbonvor
Nesesanboise,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Nesesanboise
Nesetanmial,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Nesetanmial
Netimbbangir,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Netimbbangir
Neveeicoast,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Neveeicoast
Neveeivinmavis1,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Neveeivinmavis1
Neveeivinmavis2,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Neveeivinmavis2
Neververlimap,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Neververlimap
Neververmindu,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Neververmindu
Neverversakan,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Neverversakan
Ngatataremb,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Ngatataremb
Nhavailombaha,Iveth Rodriguez,Tom Ennever and Iveth Rodriguez,Iveth Rodriguez,Nhavailombaha
Nindelabo,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Nindelabo
Nindelawa,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Nindelawa
Nindeopmobamba,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Nindeopmobamba
Nindesouthwestbay,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Nindesouthwestbay
Nindewindua,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Nindewindua
Nisvaiblacksands,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Nisvaiblacksands
Nisvaironevie,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Nisvaironevie
Nititakhatbol,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Nititakhatbol
Nleonda,Iveth Rodriguez,Tom Ennever and Iveth Rodriguez,Iveth Rodriguez,Nleonda
Nleovandue,Iveth Rodriguez,Tom Ennever and Iveth Rodriguez,Iveth Rodriguez,Nleovandue
Nmwerlap,Tom Ennever,Tom Ennever and Iveth Rodriguez,Iveth Rodriguez,Nmwerlap
Nombotkoteblacksands,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Nombotkoteblacksands
Nombotkotemelkin,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Nombotkotemelkin
Nombotkoteneioleian,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Nombotkoteneioleian
Novolbangir,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Novolbangir
Novoldixonreef,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Novoldixonreef
Novoltavendrua,Aviva Shimelman,Aviva Shimelman,Laura Wägerle,Novoltavendrua
Nsungwadianaone,Tom Ennever,Tom Ennever and Iveth Rodriguez,Iveth Rodriguez,Nsungwadianaone
Nsungwadianaumumu,Iveth Rodriguez,Tom Ennever and Iveth Rodriguez,Iveth Rodriguez,Nsungwadianaumumu
