ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,LongName,IsProto,Island
Alavasalavas,Alavas: Alavas,vovo1238,Vovo,upv,Papunesia,-15.89046,167.24151,Austronesian,,False,Malekula
Alavaswowo,Alavas: Wowo,vovo1238,Vovo,upv,Papunesia,-15.90293,167.18499,Austronesian,,False,Malekula
Angavaedixonreef,Angavae: Dixon Reef,,,,,-16.34055,167.38133,,,False,Malekula
Atchinmainland,Atchin: Mainland,atch1238,Atchin,upv,Papunesia,-15.93927,167.32768,Austronesian,,False,Malekula
Atchinorap,Atchin: Orap,atch1238,Atchin,upv,Papunesia,-15.9156,167.30641,Austronesian,,False,Malekula
Atchinsmallisland,Atchin: Small Island,atch1238,Atchin,upv,Papunesia,-15.9439,167.33993,Austronesian,,False,Malekula
Aulualoxseasolokh,Aulua: Loxse-Asolokh,aulu1238,Aulua,aul,Papunesia,-16.322,167.716,Austronesian,,False,Malekula
Aulualoxselanfitfit,Aulua: Loxse-Lanfitfit,aulu1238,Aulua,aul,Papunesia,-16.33667,167.73972,Austronesian,,False,Malekula
Avavakhatbol,Avava: Khatbol,katb1237,Avava,tmb,Papunesia,-16.18473,167.46723,Austronesian,,False,Malekula
Avavatisvel,Avava: Tisvel,katb1237,Avava,tmb,Papunesia,-16.27153,167.39939,Austronesian,,False,Malekula
Avokhokai,Avok: Hokai,avok1244,Avok,,Papunesia,-16.53778,167.74,Austronesian,,False,Malekula
Avokhokai2,Avok: Hokai 2,avok1244,Avok,,Papunesia,-16.54125,167.73977,Austronesian,,False,Malekula
Avoksmallisland,Avok: Small Island,avok1244,Avok,,Papunesia,-16.5218,167.77738,Austronesian,,False,Malekula
Axambsmallisland,Axamb: Small Island,axam1237,,ahb,,-16.51664,167.65287,,,False,Malekula
Axambsmallislandmaliambor,Axamb: Small Island-Maliambor,axam1237,,ahb,,-16.51721,167.65111,,,False,Malekula
Bangaasaktaremb,Bangaasak: Taremb,katb1237,Avava,tmb,Papunesia,-16.21925,167.571,Austronesian,,False,Malekula
Batarxopubenut,Batarxopu: Benut,,,,Papunesia,-16.03317,167.30046,Austronesian,,False,Malekula
Batarxopugonwar,Batarxopu: Gonwar,,,,,-15.97988,167.23898,,,False,Malekula
Batarxopulembilmbil,Batarxopu: Lembilmbil,,,,Papunesia,-16.03911,167.30511,Austronesian,,False,Malekula
Batarxopulipitav,Batarxopu: Lipitav,,,,,-15.97922,167.22837,,,False,Malekula
Batarxopulumsak,Batarxopu: Lumsak,,,,,-16.0025,167.30917,,,False,Malekula
Bislama1,Bislama (1),bisl1239,Bislama,bis,Papunesia,-16.10694,167.4208,Indo-European,Bislama (1):  more tending to English pronunciations,False,All
Bislama2,Bislama (2),bisl1239,Bislama,bis,Papunesia,-16.10302,167.4168,Indo-European,Bislama (2):  more tending to local pronunciations,False,All
Burmbarburmbar,Burmbar: Burmbar,burm1263,Burmbar,vrt,Papunesia,-16.38806,167.78222,Austronesian,,False,Malekula
Burmbarfartavo,Burmbar: Fartavo,burm1263,Burmbar,vrt,Papunesia,-16.34167,167.74778,Austronesian,,False,Malekula
Burmbartengan,Burmbar: Tengan,burm1263,Burmbar,vrt,Papunesia,-16.38095,167.70045,Austronesian,,False,Malekula
Ctletawetnaviso,Ctl-E: Tawet: Naviso,tali1260,Talise (Vanuatu),btr,Papunesia,-15.12286,168.144,Austronesian,Maewo:  Central:  East:  Sungwaloge/Tawet:  Naviso,False,Maewo
Ctlnalembanarovorovo,Ctl: Nalemba: Narovorovo,naro1250,Narovorovo,btr,Papunesia,-15.1826,168.110702,Austronesian,Maewo:  Central:  Sungwaloge/Nalemba:  Narovorovo,False,Maewo
Ctlnalembanasawa,Ctl: Nalemba: Nasawa,nasa1241,Nasawa,btr,Papunesia,-15.19677,168.112254,Austronesian,Maewo:  Central:  Sungwaloge/Nalemba:  Nasawa,False,Maewo
Ctlsungwadagalalaundi,Ctl: Sungwadaga: Lalaundi,cent2058,Central Maewo,mwo,Papunesia,-15.11413,168.14195,Austronesian,Maewo:  Central:  Sungwandaga:  Lalaundi,False,Maewo
Ctlsungwadagarongnawo,Ctl: Sungwadaga: Rongnawo,cent2058,Central Maewo,mwo,Papunesia,-15.10197,168.079925,Austronesian,Maewo:  Central:  Sungwadaga:  Rongnawo,False,Maewo
Ctlsungwadangota,Ctl: Sungwada: Ngota,cent2058,Central Maewo,mwo,Papunesia,-15.10125,168.121197,Austronesian,Maewo:  Central:  Sungwada:  Ngota,False,Maewo
Ctlsungwadogarata,Ctl: Sungwadoga: Rata,tali1260,Talise (Vanuatu),btr,Papunesia,-15.11413,168.14195,Austronesian,Maewo:  Central:  Sungwaloge:  Sungwadola/Rata:  Navenvene,False,Maewo
Ctlsungwadolagwaranuta,Ctl: Sungwadola: Gwaran Uta,tali1260,Talise (Vanuatu),btr,Papunesia,-15.12506,168.091146,Austronesian,Maewo:  Central:  Sungwaloge:  Sungwadola/Gwaran Uta:  Navenvene,False,Maewo
Ctltawetnarovorovo,Ctl: Tawet: Narovorovo,naro1250,Narovorovo,btr,Papunesia,-15.18528,168.109444,Austronesian,Maewo:  Central:  Sungwaloge/Tawet:  Narovorovo,False,Maewo
Elia,Elia,,,,,-15.266628,166.673808,Austronesian,,False,Santo
Elolovoli,E: Lolovoli,east2443,East Ambae,omb,Papunesia,-15.36437,167.927911,Austronesian,Ambae:  East:  Lolovoli,False,Ambae
Esanasolokave,E: Sana: Solokave,east2443,East Ambae,nnd,Papunesia,-15.45831,167.856408,Austronesian,Ambae:  East:  Sana:  Solokave,False,Ambae
Espiegelsbaylitebral,Espiegel’s Bay: Litebral,malu1245,Malua Bay,mll,Papunesia,-15.974,167.193,Austronesian,,False,Malekula
Espiegelsbaysolwota,Espiegel’s Bay: Solwota,malu1245,Malua Bay,mll,Papunesia,-15.979,167.192,Austronesian,,False,Malekula
