ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Variant_Of
Bislama2-0_one-1,48700000007-1-0,Bislama2,0_one,wan,wan,w a n,,Shimelman2019,,false,
Bislama2-1_two-1,48700000007-2-0,Bislama2,1_two,tu,tu,t u,,Shimelman2019,,false,
Bislama2-2_three-1,48700000007-3-0,Bislama2,2_three,tri,tri,t r i,,Shimelman2019,,false,
Bislama2-3_four-1,48700000007-4-0,Bislama2,3_four,fɔ,fɔ,f ɔ,,Shimelman2019,,false,
Bislama2-4_five-1,48700000007-5-0,Bislama2,4_five,faif,faif,f a i f,,Shimelman2019,,false,
Bislama2-5_six-1,48700000007-6-0,Bislama2,5_six,sɪkis,sɪkis,s ɪ k i s,,Shimelman2019,,false,
Bislama2-6_seven-1,48700000007-7-0,Bislama2,6_seven,sɛvɛn,sɛvɛn,s ɛ v ɛ n,,Shimelman2019,,false,
Bislama2-7_eight-1,48700000007-8-0,Bislama2,7_eight,het,het,h e t,,Shimelman2019,,false,
Bislama2-8_nine-1,48700000007-9-0,Bislama2,8_nine,naɛn,naɛn,n a ɛ n,,Shimelman2019,,false,
Bislama2-9_ten-1,48700000007-10-0,Bislama2,9_ten,tɛn,tɛn,t ɛ n,,Shimelman2019,,false,
Bislama2-10_twenty-1,48700000007-11-0,Bislama2,10_twenty,twɛnti,twɛnti,tw ɛ n t i,,Shimelman2019,,false,
Bislama2-11_fifty-1,48700000007-15-0,Bislama2,11_fifty,fifti,fifti,f i f t i,,Shimelman2019,,false,
Bislama2-12_onehundred-1,48700000007-20-0,Bislama2,12_onehundred,wan andrɛt,wan andrɛt,w a n + a n d r ɛ t,,Shimelman2019,,false,
Bislama2-13_onethousand-1,48700000007-21-0,Bislama2,13_onethousand,wan taozɛn,wan taozɛn,w a n + t a o z ɛ n,,Shimelman2019,,false,
Bislama2-14_year-1,48700000007-51-0,Bislama2,14_year,ja,ja,j a,,Shimelman2019,,false,
Bislama2-15_right-1,48700000007-81-0,Bislama2,15_right,rait,rait,r a i t,,Shimelman2019,,false,
Bislama2-16_left-1,48700000007-82-0,Bislama2,16_left,lɛf,lɛf,l ɛ f,,Shimelman2019,,false,
Bislama2-17_i-1,48700000007-101-0,Bislama2,17_i,mi,mi,m i,,Shimelman2019,,false,
Bislama2-18_weallexcl-1,48700000007-102-0,Bislama2,18_weallexcl,mifala,mifala,m i f a l a,,Shimelman2019,,false,
Bislama2-19_webothincl-1,48700000007-102-1,Bislama2,19_webothincl,jumitu,jumitu,j u m i t u,,Shimelman2019,,false,
Bislama2-20_webothexcl-1,48700000007-102-2,Bislama2,20_webothexcl,mitufala,mitufala,m i t u f a l a,,Shimelman2019,,false,
Bislama2-21_weallincl-1,48700000007-102-3,Bislama2,21_weallincl,jumi,jumi,j u m i,,Shimelman2019,,false,
Bislama2-22_thou-1,48700000007-104-0,Bislama2,22_thou,ju,ju,j u,,Shimelman2019,,false,
Bislama2-23_youboth-1,48700000007-105-0,Bislama2,23_youboth,jutufala,jutufala,j u t u f a l a,,Shimelman2019,,false,
Bislama2-24_youall-1,48700000007-105-2,Bislama2,24_youall,jufala,jufala,j u f a l a,,Shimelman2019,,false,
Bislama2-25_heshe-1,48700000007-106-0,Bislama2,25_heshe,hɛm,hɛm,h ɛ m,,Shimelman2019,,false,
Bislama2-26_theyall-1,48700000007-107-0,Bislama2,26_theyall,olgɛta,olgɛta,o l g ɛ t a,,Shimelman2019,,false,
Bislama2-27_theyboth-1,48700000007-107-2,Bislama2,27_theyboth,tufala,tufala,t u f a l a,,Shimelman2019,,false,
Bislama2-28_nonot-1,48700000007-112-0,Bislama2,28_nonot,no,no,n o,,Shimelman2019,,false,
Bislama2-29_what-1,48700000007-121-0,Bislama2,29_what,wanɛm,wanɛm,w a n ɛ m,,Shimelman2019,,false,
Bislama2-30_who-1,48700000007-122-0,Bislama2,30_who,hu,hu,h u,,Shimelman2019,,false,
Bislama2-31_where-1,48700000007-123-0,Bislama2,31_where,wɛa,wɛa,w ɛ a,,Shimelman2019,,false,
Bislama2-32_when-1,48700000007-124-0,Bislama2,32_when,wanɛm taim,wanɛm taim,w a n ɛ m + t a i m,,Shimelman2019,,false,
Bislama2-33_how-1,48700000007-125-0,Bislama2,33_how,hao olsɛm wanɛm,hao olsɛm wanɛm,h a o + o ls ɛ m + w a n ɛ m,,Shimelman2019,,false,
Bislama2-34_this-1,48700000007-131-0,Bislama2,34_this,hɛmia ja,hɛmia ja,h ɛ m i a + j a,,Shimelman2019,,false,
Bislama2-35_that-1,48700000007-132-0,Bislama2,35_that,hɛmia lɔŋwe,hɛmia lɔŋwe,h ɛ m i a + l ɔ ŋw e,,Shimelman2019,,false,
Bislama2-36_above-1,48700000007-138-0,Bislama2,36_above,antap,antap,a n t a p,,Shimelman2019,,false,
Bislama2-37_below-1,48700000007-139-0,Bislama2,37_below,ədanit,ədanit,ə d a n i t,,Shimelman2019,,false,
Bislama2-38_ininside-1,48700000007-141-0,Bislama2,38_ininside,ɪnsaid,ɪnsaid,ɪ ns a i d,,Shimelman2019,,false,
Bislama2-39_head-1,48700000007-201-0,Bislama2,39_head,hɛdᵗ,hɛdᵗ,h ɛ dᵗ,,Shimelman2019,,false,
Bislama2-40_hair-1,48700000007-205-0,Bislama2,40_hair,hea,hea,h e a,,Shimelman2019,,false,
Bislama2-41_eye-1,48700000007-211-0,Bislama2,41_eye,hai,hai,h a i,,Shimelman2019,,false,
Bislama2-42_nose-1,48700000007-212-0,Bislama2,42_nose,nus,nus,n u s,,Shimelman2019,,false,
Bislama2-43_ear-1,48700000007-213-0,Bislama2,43_ear,sora,sora,s o r a,,Shimelman2019,,false,
Bislama2-44_mouth-1,48700000007-221-0,Bislama2,44_mouth,maot,maot,m a o t,,Shimelman2019,,false,
Bislama2-45_tongue-1,48700000007-223-0,Bislama2,45_tongue,taŋ,taŋ,t a ŋ,,Shimelman2019,,false,
Bislama2-46_tooth-1,48700000007-224-0,Bislama2,46_tooth,tut,tut,t u t,,Shimelman2019,,false,
Bislama2-47_hand-1,48700000007-231-0,Bislama2,47_hand,han,han,h a n,,Shimelman2019,,false,
Bislama2-48_shoulder-1,48700000007-233-0,Bislama2,48_shoulder,solda,solda,s o l d a,,Shimelman2019,,false,
Bislama2-49_neck-1,48700000007-241-0,Bislama2,49_neck,nɛk,nɛk,n ɛ k,,Shimelman2019,,false,
Bislama2-50_back-1,48700000007-242-0,Bislama2,50_back,bɔksaidᵗ,bɔksaidᵗ,b ɔ ks a i dᵗ,,Shimelman2019,,false,
Bislama2-51_leg-1,48700000007-252-0,Bislama2,51_leg,lɛk,lɛk,l ɛ k,,Shimelman2019,,false,
Bislama2-52_blood-1,48700000007-261-0,Bislama2,52_blood,bladᵗ,bladᵗ,b l a dᵗ,,Shimelman2019,,false,
Bislama2-53_bone-1,48700000007-262-0,Bislama2,53_bone,bun,bun,b u n,,Shimelman2019,,false,
Bislama2-54_skin-1,48700000007-263-0,Bislama2,54_skin,sikin,sikin,s i k i n,,Shimelman2019,,false,
Bislama2-55_belly-1,48700000007-271-0,Bislama2,55_belly,bɛl,bɛl,b ɛ l,,Shimelman2019,,false,
Bislama2-56_intestines-1,48700000007-272-0,Bislama2,56_intestines,kat,kat,k a t,,Shimelman2019,,false,
Bislama2-57_breast-1,48700000007-274-0,Bislama2,57_breast,titi,titi,t i t i,,Shimelman2019,,false,
Bislama2-58_liver-1,48700000007-284-0,Bislama2,58_liver,lɛva,lɛva,l ɛ v a,,Shimelman2019,,false,
Bislama2-59_dog-1,48700000007-312-0,Bislama2,59_dog,dɔgk,dɔgk,d ɔ g k,,Shimelman2019,,false,
Bislama2-60_bird-1,48700000007-321-0,Bislama2,60_bird,pɪʧɪn,pɪʧɪn,p ɪ ʧ ɪ n,,Shimelman2019,,false,
Bislama2-61_fish-1,48700000007-324-0,Bislama2,61_fish,fiʃ,fiʃ,f i ʃ,,Shimelman2019,,false,
Bislama2-62_snake-1,48700000007-341-0,Bislama2,62_snake,snɛk,snɛk,s n ɛ k,,Shimelman2019,,false,
Bislama2-63_worm-1,48700000007-342-0,Bislama2,63_worm,wɔm,wɔm,w ɔ m,,Shimelman2019,,false,
Bislama2-64_louse-1,48700000007-343-0,Bislama2,64_louse,laos,laos,l a o s,,Shimelman2019,,false,
Bislama2-65_rat-1,48700000007-345-0,Bislama2,65_rat,rat,rat,r a t,,Shimelman2019,,false,
Bislama2-66_spider-1,48700000007-349-0,Bislama2,66_spider,spida,spida,s p i d a,,Shimelman2019,,false,
Bislama2-67_mosquito-1,48700000007-352-0,Bislama2,67_mosquito,moskito,moskito,m o s k i t o,,Shimelman2019,,false,
