Ranopotora,English Translation
-sa,1_one
ɔ-ru,2_two
e-tɪl,3_three
a-vʉt͡s,4_four
e-lim,5_five
o-won,6_six
hɛ-vʉt,7_seven
e-wil,8_eight
ɛ-siu,9_nine
asɪŋavʊl,10_ten
oŋol_e-lim,12_fifty
oŋo_sɪŋavʊl,13_onehundred
sia,15_year
nɪ-mʷatu,16_right
nɪ-mʷoiɾi,17_left
niɔ,18_i
kierʧeli,19_weallexcl
kier_oru,21_webothexcl
kir,22_weallincl
nik,23_thou
kiami_ɔru,24_youboth
kiami,25_youall
ni,26_heshe
mi-t͡sige,29_nonot
nise,30_what
si,31_who
nimbe,32_where
pɛrpesi,34_how
aŋok,35_this
ŋokwan,36_that
-mare,37_above
-loleu,39_ininside
ron,41_hair
ron_ᵐbatu-n,41_hair
nɛ-mtɛ-m,42_eye
ᵑgunsi-m,43_nose
ᵐboro-m,44_ear
t͡soŋo-m,45_mouth
nɛ-mɛ-m,46_tongue
ni-luwo-m,47_tooth
navɛɾ,48_hand
ᵐbepari-m,49_shoulder
ᵐbotsɛla-,50_neck
ⁿdotɛrɛ-n,51_back
ᵐbəla-k,52_leg
hra,53_blood
ʧi-m,54_bone
nɛ-vlʉlʉ-n,55_skin
ⁿdupai-n,56_belly
ʧinɪ-m,57_intestines
na-sus,58_breast
nɛ-rɛ-m,59_liver
ᵑgəli,60_dog
nɪ-mɪn,61_bird
na-msal,62_fish
nɪ-mʷɛt,63_snake
ⁿdoto,64_worm
na-ut,65_louse
na-riβ,66_rat
nela,67_spider
num,68_mosquito
rulu-n,69_egg
no-lolɛ-n,70_tail
na-ᵐbɛ-n,71_wing
mowɛn,72_feather
norman,73_man
nɪ-vsevin,74_woman
bopɘriŋ,75_child
nɪ-sɛ-n,76_name
mɛrɛ-n,77_mother
tɛte,78_father
dewɛn_so-k,79_husband
nɪvsɛn_sɛ-n,80_wife
na-tamulin,81_day
na-tupʊŋ,82_night
na-vʉl,83_moon
nə-mʧu,84_star
ᵐbaxarin,85_sky
nuɔ,86_water
lalɛp,87_lake
ⁿdes,88_sea
na-mb,89_fire
mʷus,90_smoke
mʷisjʉ,91_ash
nɪ-βɪt,92_stone
ⁿdan,93_earthsoil
ᵐbʷetimau,94_dust
ⁿdɪbʷinan,95_sand
na-us,96_rain
na-ᵐboro,97_cloud
lɪŋ,98_wind
ᵐbɛlvɛɾe,99_thunder
na-βil,100_lightning
nɪ-viso-n,101_meatflesh
no-wɛn,102_fruit
ne-tɘɾa,103_woodsforest
lapʷɛn,104_root
rɛŋsi-n,105_branch
ro,106_leaf
na-i,107_wood
na-mus,108_grass
ni-at,110_thatchroof
na-im,111_house
ⁿdɛl,112_rope
sɛl,113_roadpath
-motmut,114_black
-wis,115_white
-vɛŋ,116_red
-t͡sat͡sɛn,117_green
-lɛp,119_big
-wɛlele,120_small
-so,121_sharp
-muɲol,122_bluntdull
-manun,123_shyashamed
-taɾa,124_old
-mse,125_painfulsick
-rɛs,126_good
-siʧ,127_bad
-vorutun,128_correcttrue
mu-poporo,129_dirty
-mʊtmʊt,130_rotten
-roʷ,131_heavy
-aso,132_far
-mori,133_near
-namlas,134_cold
-mimɪs,135_dry
-mimim,136_wet
-mɛr,137_new
kuɪ-me,139_come
nɛ-vɛl,140_walk
nɛ-vɛlɛn,140_walk
kumo-tur,141_stand
kumɛ-lik,142_sit
-ʧʉ,143_fall
ho-rori,145_turn
-sa,146_climb
kue-loŋ,147_swim
-ro,148_flyverb
-wɪʧeni,149_throw
-silvani,150_hide
kuma-in,151_eat
mɛ-mini,152_drink
ku-menɪma,153_yawn
kumɛ-ltʉ,154_spit
vorvoro,155_dream
-matur_vorvoro,155_dream
ku-maturu,156_sleep
-mauɾu,157_live
-miʧ,158_die
-rɛʧ-pini,159_kill
mʷo-lesi,160_see
m-ore,161_hear
mɛ-tɛn,162_sniffsmell
mu-mɛn,163_laugh
mu-tɪŋ,164_cry
-in,166_burn
-rɛʧarɛʧi,168_pound
-reʧi,169_hit
-tai,170_cut
-tortotoni,174_hold
nɪ-mɪto,175_fear
-βe,176_count
mo-lu,178_vomit
mʷɛlʧi,179_tieup
-wusi,180_squeeze
-sol,181_swell
ko-worai,182_say
-rsi,183_scratch
-ʧuʧi,184_stab
-wol,185_buy
-vɛnai,186_steal
-ruw,187_plant
ma-tapu,188_cook
mɛ-lue,189_shoot
-mʷaʧiŋ,190_work
-βe,191_open
