Uripivdurpif,English Translation
i-tɛs,1_one
ɛ-ɾu,2_two
i-tul,3_three
i-wiʧ,4_four
ɛ-lim,5_five
o-wɔn,6_six
ɛ-ᵐbʉt,7_seven
o-wil,8_eight
ɛ-siu,9_nine
ɛ-sɪŋavʊl,10_ten
ŋavʊl_e-ɾu,11_twenty
ŋavʊl_e-lim,12_fifty
oŋutuesam,13_onehundred
sia,15_year
res,16_right
maiɾ,17_left
inu,18_i
kɪm,19_weallexcl
kɛru,20_webothincl
komru,21_webothexcl
ger,22_weallincl
nik,23_thou
kamru,24_youboth
kami,25_youall
ni,26_heshe
niɾ,27_theyall
si,31_who
nimbe,32_where
siveliŋ,33_when
pirpe,34_how
ŋɛl,35_this
ŋokwan,36_that
-mare,37_above
-mɛlvɛn,38_below
-loloim,39_ininside
ᵐbʷatu-m,40_head
ʧumerom,41_hair
ʧumerom_ᵐbʷatu-m,41_hair
mɛtɛ-m,42_eye
ᵑgunsi-m,43_nose
ᵐboro-m,44_ear
ʧiŋo-m,45_mouth
nɛ-mɛ-m,46_tongue
liwɛ-m,47_tooth
navɛr,48_hand
ᵐbiɾpaɾi-m,49_shoulder
nowɛ-m,50_neck
ⁿduɾɛ-n,51_back
hⁿdʳa,53_blood
ʧi-m,54_bone
ne-vʉlʊ-n,55_skin
ⁿdepai-m,56_belly
nɛ-ɾɛ-n,59_liver
ᵑguli,60_dog
nu-mɔn,61_bird
nai,62_fish
nu-mʷɛt,63_snake
ⁿdoto,64_worm
na-ut,65_louse
na-riβ,66_rat
ⁿdɛl,67_spider
num,68_mosquito
na-rlu-n,69_egg
ne-ɾurɛ-n,70_tail
naᵐbɪ-n,71_wing
mowɛ-n,72_feather
norman,73_man
nɛ-sevin,74_woman
bipuarɛŋ,75_child
ni-sɛ-k,76_name
tasu,77_mother
tata,78_father
ⁿdiwɛn,79_husband
nɛ-seβin_sɛ-n,80_wife
na-terin,81_day
na-topon,82_night
na-vʉl,83_moon
mʷɔʧu,84_star
no-wi,86_water
ⁿdis,88_sea
na-mp,89_fire
no-snin,90_smoke
niaβin,91_ash
ne-vʉt,92_stone
ⁿdan,93_earthsoil
mao,94_dust
ⁿdepinan,95_sand
na-us,96_rain
na-ᵐboɾo,97_cloud
liŋ,98_wind
ᵐbɛlver,99_thunder
na-vil,100_lightning
βiso-n,101_meatflesh
wɛnɛn,102_fruit
lolmarul,103_woodsforest
lapɛ-n,104_root
rɛŋsi-n,105_branch
raun,106_leaf
na-i,107_wood
mʊsmʊs,108_grass
ne-vuŋʊn,109_flower
ni-at,110_thatchroof
na-im,111_house
ⁿdil,112_rope
sɛl,113_roadpath
o-mɔtmɔt,114_black
-o,115_white
o-soŋsoŋ,116_red
ɛ-ʧɛʧɛn,117_green
ɛ-ŋaŋɔ,118_yellow
ɛ-lɛp,119_big
e-weleli,120_small
-so,121_sharp
-pat,122_bluntdull
-manʊn,123_shyashamed
ɛ-təɾa,124_old
ɛ-msi,125_painfulsick
ɛ-rɛs,126_good
ɛ-siʧ,127_bad
ɛ-wuretun,128_correcttrue
-mutmut,130_rotten
o-row,131_heavy
ŋasu,132_far
-moɾi,133_near
-mɛlas,134_cold
ɛ-mɛs,135_dry
ɪ-mɪm,136_wet
ɛ-mɛr,137_new
-pini,139_come
ɛ-βɛl,140_walk
ho-tuɾu,141_stand
ɛ-lik,142_sit
ɛ-sa,146_climb
pʷiloŋ,147_swim
o-ro,148_flyverb
tweni,149_throw
-silvɛni,150_hide
ɛ-an,151_eat
ɛ-mɪni,152_drink
ho-lʉtu,154_spit
-ᵐboɾi,155_dream
-matur,156_sleep
-mauɾu,157_live
-miʧ,158_die
-pini,159_kill
-mɛtɛni,160_see
-riŋe,161_hear
ɛ-mɛn,163_laugh
ɛ-ⁿdiŋ,164_cry
o-wu,165_blow
in,166_burn
-turi,167_sew
revrevʧi,168_pound
-tai,170_cut
kuru,173_hunt
-toɾi,174_hold
ɛ-mtutu,175_fear
e-βesowɪn,177_breathe
ho-lu,178_vomit
o-si,180_squeeze
o-sol,181_swell
-wɛrai,182_say
-xorsi,183_scratch
-ʧuʧi,184_stab
-wuli,185_buy
-βɛnau,186_steal
-ⁿdaᵐbu,188_cook
-liwe,189_shoot
-maʧiŋ,190_work
-maʧiŋɛn,190_work
-ɾaʧi,191_open
