Larevatmosox,English Translation
saɣaŋk,1_one
ru,2_two
tl,3_three
vɛz,4_four
lɪm,5_five
ⁿʒos,6_six
ⁿʒoru,7_seven
ʧotl,8_eight
ʧovɛz,9_nine
saŋavʊl,10_ten
ᵑgavul_iru,11_twenty
ᵑgot_seraŋk,13_onehundred
n-soɣɔ,15_year
ⁿdʳɪlɪmɛt,16_right
xomɛr,17_left
ᵑgn,18_i
iᵑgom,19_weallexcl
ᵑgaⁿdʳu,20_webothincl
ᵑgom_ɛru,21_webothexcl
ᵑgaⁿdʳ,22_weallincl
ᵑgam,23_thou
ᵑgam_ɛ-ru,24_youboth
ᵑgam,25_youall
ai,26_heshe
ar_ⁿʧɛl,27_theyall
ar_ru,28_theyboth
sɪɣe,29_nonot
ⁿʧaxan,30_what
taxan,31_who
aɪmbɪn,32_where
ᵐbaŋsa,33_when
vɪsax,34_how
ivis,35_this
iviaxʊs,36_that
-axus,37_above
-apɛn,38_below
ᵐboɣʊt,39_ininside
ᵐbatɪ-n,40_head
na-ɣav-n_ʧilɪ-n,41_hair
mɛtɛ-n,42_eye
ᵑgʊnzʊ-n,43_nose
ⁿdʳɪliŋa-n,44_ear
mɪmɛ-n,46_tongue
n-lv-n,47_tooth
nɪ-vær-n,48_hand
ᵐbarᵐbar-n,49_shoulder
ⁿʧɪlɛ-n,50_neck
ᵐbɪlɛ-n,51_back
ⁿdal-n,52_leg
ⁿdʳa-n,53_blood
ⁿʒi-n,54_bone
nɪ-vr-xa-n,55_skin
ⁿdaᵐbaɣa-n,56_belly
ⁿʒɪnɛ-n,57_intestines
nɪ-sɪs,58_breast
mɔᵐbʊn,59_liver
liᵐbax,60_dog
nɪ-mɪn,61_bird
nɪ-mɛⁿʒ,62_fish
nɪ-mat,63_snake
n-ʒɪlas,64_worm
no-ɣʊt,65_louse
laᵐbʷʊt,66_rat
nɛl,67_spider
nam,68_mosquito
na-ran_ⁿdʳɪln,69_egg
nɪ-vɪlɣa-n,70_tail
no-xo_var-n,71_wing
mowɛ-n,72_feather
moxɔman,73_man
nevœn,74_woman
ⁿdete,75_child
nɪ-ᵑgs-sɛ-n,76_name
nunu,77_mother
ᵐbatu,78_father
nelax,79_husband
nevœn_sɛ-n,80_wife
notrɛn,81_day
iᵐbuŋ,82_night
nɪ-vl,83_moon
mnʧe,84_star
na-rɛn,85_sky
na-we,86_water
ⁿdes,88_sea
na-ɣamp,89_fire
ⁿdl-n,90_smoke
na-vn,91_ash
nɪ-vɛt,92_stone
ⁿdʳemp,93_earthsoil
naɸ,94_dust
no-n,95_sand
no-os,96_rain
ⁿdoŋⁿdoŋ,97_cloud
n-laŋ,98_wind
ᵐbelevar,99_thunder
nɪ-vlvl,100_lightning
nɪvɪsaɣʊn,101_meatflesh
na-vxan,102_fruit
lɛmp,103_woodsforest
no-xor-n,104_root
na-raŋ_as-n,105_branch
na-ro-n,106_leaf
na-xe,107_wood
n-vɛlvɛlɪs,108_grass
nɪ-vʊŋʊ-n,109_flower
na-at,110_thatchroof
nɛ-m,111_house
no-x,112_rope
n-sɛl,113_roadpath
-mœt͡s,114_black
-uvɣe,115_white
-miɛl,116_red
-xnʧɛn,117_green
-waⁿʧ,118_yellow
-tlɛmp,119_big
-fɪlɔ,120_small
-fɪvɪʒ,121_sharp
-ᵐbʊt͡s,122_bluntdull
-maɣmaɣan,123_shyashamed
-tɛrɛmp,124_old
-mɪsax,125_painfulsick
-ⁿdʳɪs,126_good
-sœt,127_bad
-faⁿdʳʊk,128_correcttrue
-mɪʧ,129_dirty
-momo,130_rotten
-aso,132_far
-faxᵐbɔx,133_near
-melɣas,134_cold
-mɪmɛʒ,135_dry
-wɛr,136_wet
-mɛⁿdʳ,137_new
-ᵐbɛl,139_come
-ləŋləŋ,140_walk
-tar,141_stand
-ʧox,142_sit
-ⁿdʳm,143_fall
-melɛmp,144_liedown
-fɪlɪs,145_turn
-sax,146_climb
-ᵑgor,147_swim
-mɛrax,148_flyverb
navaxan,149_throw
-sɪlaxn,150_hide
-xan,151_eat
-mɪn,152_drink
-xanɪm,153_yawn
-fɪre,154_spit
-metrxmp,155_dream
-metr,156_sleep
-mor,157_live
-mɛs,158_die
-xoʧ_ᵐbn,159_kill
-ᵐbʷez,160_see
-roŋ,161_hear
-mevɪn,162_sniffsmell
-xar,163_laugh
-taŋ,164_cry
-smʙ,165_blow
-faŋ,166_burn
ro-xut͡sxʊt͡s,168_pound
-xoʧ,169_hit
-tar,170_cut
ɲar,171_split
-xl,172_dig
-roxov,174_hold
-mɪtotox,175_fear
re-vɪɣʊn,176_count
-ᵑgus,177_breathe
-lu,178_vomit
-ᵐbaŋk,179_tieup
-fʊs,180_squeeze
-lɪlʊmp,181_swell
-far,182_say
-xaxar,183_scratch
-vʊr,184_stab
-fl,185_buy
-fenox,186_steal
-laf,187_plant
-rlu,189_shoot
-maŋar,190_work
-ⁿʧevaŋ,191_open
