Neververmindu,English Translation
i-sɣam,1_one
i-ru,2_two
i-tɬ,3_three
i-vas,4_four
i-lim,5_five
i-ⁿt͡ʃos,6_six
-ⁿʧorun,7_seven
-ⁿt͡ʃotɬ,8_eight
-ⁿʧovas,9_nine
-naŋaβʉl,10_ten
naŋaβʉl_i-ru,11_twenty
naŋaβʉl_i-lim,12_fifty
naŋat_i-sɣam,13_onehundred
i-siga,15_year
barat-n,16_right
nɛ-mʷɛr,17_left
ina,18_i
imam,19_weallexcl
iŋitan_iruan,20_webothincl
maman_iran,21_webothexcl
ᵑgit,22_weallincl
iox,23_thou
ᵑɡaman_iruan,24_youboth
iᵑgam,25_youall
ei,26_heshe
aⁿdʳomox,27_theyall
aⁿdʳoan_iruan,28_theyboth
i-sigen,29_nonot
nɛ-sxan,30_what
misix,31_who
aᵐbi,32_where
aŋas,33_when
itmaɣan,34_how
tinsax,35_this
ⁿdʳatliŋ,36_that
-arɣa,37_above
-lapan,38_below
-ᵐʙuɣut,39_ininside
ᵐbat-n,40_head
no-roᵐbat-,41_hair
nɛ-md-an,42_eye
na-ɣaⁿʧ-un,43_nose
nɪ-ⁿdliŋ-an,44_ear
no-muŋ-on,45_mouth
nɛ-lɛm-ɛn,46_tongue
nɛ-luv-un,47_tooth
nɛ-vɛra-n,48_hand
ᵐbʊtʊβ_nɪvɛr-an,49_shoulder
nɛ-ⁿdl-an,50_neck
ᵑgal-ɛn,51_back
nɛ-gɛl-ɪn,52_leg
nɛ-ⁿdʳe,53_blood
ᵐboloŋ-on,54_bone
ni-vʉn,55_skin
nɛ-ⁿdɛmuɣ-ɛn,56_belly
na-sus,58_breast
nɛ-ᵐbaᵐbʷ-in,59_liver
nu-muɣʊt,73_man
nu-moɣomoɣ,74_woman
ni-terix,75_child
nɪ-giⁿt͡s-an,76_name
ni-ⁿda,77_mother
mama,78_father
xawi-tɪna,79_husband
nu-moɣomox-tɪna,80_wife
na-utranian,81_day
livaxat,82_night
na-ɣamp,89_fire
i-tɛltɛl,90_smoke
ᵐʙisaɸ,91_ash
nɪ-ᵐbisaːp˺,94_dust
ni-at,110_thatchroof
na-xamal,111_house
no-ɣɔ,112_rope
nɛ-sal,113_roadpath
-mɛtmɛt,114_black
-ioviop,115_white
-mial,116_red
-iaŋiam,118_yellow
-laᵐblaᵐb,119_big
i-lele,120_small
i-toro,124_old
i-ⁿt͡sal,125_painfulsick
nɛ-ruβʊx,126_good
i-is,127_bad
-hale,132_far
-lile,133_near
-βiβa,137_new
ku-ᵐʙrulɛn,139_come
ᵐʙrulɛn,139_come
bra-βaβu,140_walk
-turtur,141_stand
-ᵐborvor,142_sit
-ⁿdʳi,145_turn
ku-ⁿdʳi,145_turn
-saqa,146_climb
ᵑgu-lɛs,147_swim
-solix,150_hide
i-kan,151_eat
i-mʷɪn,152_drink
i-xamo,153_yawn
i-ᴩəre,154_spit
-gitgitᵐbʷoɾi,155_dream
-matur,156_sleep
i-ɣihit,160_see
ɛ-roⁿdʳok,161_hear
-ⁿʧuŋʧuŋ_naᵐʙʊn,162_sniffsmell
e-rap,163_laugh
-ŋar,164_cry
-lis,175_fear
-ŋokman,176_count
-ᵐbrɛv_nonoq,177_breathe
i-lialu,178_vomit
-ᵐʙuwɛr,182_say
i-titn,188_cook
