Maluabaymarasup,English Translation
-saɣal,1_one
i-ru,2_two
i-til,3_three
i-vat,4_four
i-lim,5_five
-xɔn,6_six
-xɛᵐbit,7_seven
-xuil,8_eight
-ɣɛsiv,9_nine
-sɛŋavil,10_ten
movil_i-ru,11_twenty
mov_i-lim,12_fifty
movsaŋavil,13_onehundred
ⁿgaka,15_year
matu,16_right
maiɾ,17_left
nu,18_i
kenam,19_weallexcl
nekiɾ_iru,20_webothincl
nekir,22_weallincl
nox,23_thou
kemi_iru,24_youboth
kemi,25_youall
xain,26_heshe
xaiɾ,27_theyall
xaiɾ_iru,28_theyboth
i-sege,29_nonot
ⁿzaɣa,30_what
sena,31_who
xambe,32_where
sɪvɛlɪŋ,33_when
plakɛnzaɣa,34_how
-mɛləvɛna,35_this
ɛnɛn,36_that
-limsax,37_above
-mɛləvɛn,38_below
-laim,39_ininside
ᵐbatu-,40_head
fəlɛ-n_ᵐbatu-k,41_hair
mata-k,42_eye
ᵑgusu-k,43_nose
ᵐboro-m,44_ear
ⁿzoŋo-k,45_mouth
mimɛ-k,46_tongue
luwo-k,47_tooth
na-vɛɾ,48_hand
ᵐbəli-k,49_shoulder
ⁿt͡salɣa-k,50_neck
ⁿdaɣo-n,51_back
malɛ-k,52_leg
na-re,53_blood
ⁿʒi-n,54_bone
vɪlɛ-n,55_skin
lavoɣa-n,56_belly
ⁿʒɪnɛ-n,57_intestines
na-sus,58_breast
na-re_lalɛ-n,59_liver
nu-ɣoli,60_dog
manux,61_bird
nɪ-mat͡s,62_fish
nə-mat,63_snake
wulɪt͡slɪt͡s,64_worm
na-ɣit,65_louse
ɣalɪ_ᵐbit͡soŋ,66_rat
ne-la,67_spider
roli-na,69_egg
walɣe-na,70_tail
na-ɣpe-na,71_wing
fɪle-na,72_feather
nɪ-miɾmiɾ,73_man
ni-vɛnar,74_woman
t͡sat͡sarɪmɛre,75_child
na-ŋis,76_name
pipe_su-k,77_mother
tate_su-k,78_father
lilɛɣ_zu-k,79_husband
ni-naɣ_zu-k,80_wife
laRan,81_day
lapuŋ,82_night
na-viɬ,83_moon
huwoɾ,84_star
na-ran,85_sky
nu-ã,86_water
nalɛp,87_lake
ⁿdas,88_sea
na-ɣamp,89_fire
ne-sna,90_smoke
nɪ-vɪlas,91_ash
nɪ-vat,92_stone
ⁿdan,93_earthsoil
betnaɣaɸ,94_dust
nɪ-vuwon,95_sand
naus,96_rain
laŋ,98_wind
ᵐbɛtekuɾ,99_thunder
nɪ-vɛlax,100_lightning
ᵐbisɣohi-na,101_meatflesh
na-woŋana,102_fruit
no-worɣa,103_woodsforest
lɘpana,104_root
roɣo-na,106_leaf
na-ɣa,107_wood
na-mis,108_grass
ni-at,110_thatchroof
na-im,111_house
marit,112_rope
ⁿzal,113_roadpath
i-loŋ,114_black
i-vus,115_white
i-mial,116_red
i-ɣt͡san,117_green
-mɔmɔɣɛl,118_yellow
i-lalamp,119_big
i-tɪᵐbis,120_small
i-mʷon,121_sharp
i-patot,122_bluntdull
-imɣonɣon,123_shyashamed
i-tɛrtɛɾa,124_old
i-rot͡s,125_painfulsick
i-nam,126_good
i-sat,127_bad
-horatin,128_correcttrue
-lalo,129_dirty
-mərɪvrɪv,130_rotten
i-roɸ,131_heavy
-luɣsi,132_far
ɡəriv,133_near
i-malɣas,134_cold
i-mimas,135_dry
i-rom,136_wet
i-mɪlakɛl,137_new
-ma,139_come
-vial,140_walk
-tur,141_stand
h-at,142_sit
i-t͡soɸ,143_fall
-losi,145_turn
-sax,146_climb
-kaɾ,147_swim
-ɣiɣamp,148_flyverb
wɛrɛn_lue,149_throw
-tososuin,150_hide
-or,151_eat
i-min,152_drink
-mumaɸ,153_yawn
i-tɪpis,154_spit
-mɛtur_vorvuɾo,155_dream
-metur,156_sleep
i-meɾuɸ,157_live
i-mɛs,158_die
-rupʰ-ip-mɪs,159_kill
-lɪs,160_see
ho-roŋɔ,161_hear
nɛ-vtin,162_sniffsmell
nɪ-ŋiɾe,163_laugh
i-ŋaɾa,164_cry
i-sɛɾ,165_blow
i-ɣan,166_burn
ho-rur,167_sew
-ruprup,168_pound
-rup,169_hit
-tɪt͡s,170_cut
-xiɬ,172_dig
-xorxoɾ,173_hunt
-us,174_hold
-mtaɣut,175_fear
-ʧɪpɪn,176_count
he-vɪ-laŋ,177_breathe
i-lulu,178_vomit
-mit͡s,179_tieup
-fuvunus,181_swell
-wiɾe,182_say
-kʊt͡skʊt͡s,183_scratch
-siɾ,184_stab
-wʊɬ,185_buy
-vɪnaɣe,186_steal
i-ruɸ,187_plant
-titin,188_cook
-soɾo,189_shoot
i-pas,190_work
-fale,191_open
