Nahaaimbatmbang,English Translation
i-tɛˀ,1_one
i-ru,2_two
i-tʉl,3_three
i-væs,4_four
i-lim,5_five
iraʔa-tɛˀ,6_six
iraʔa-ru,7_seven
iraʔa-tʉl,8_eight
iraʔa-vas,9_nine
i-laŋvʊl,10_ten
namaratin_i-tɛʔ,11_twenty
namaratin_i-ru_noornʊn_i-laŋvʊl,12_fifty
namaritin_i-lim,13_onehundred
namaritin_i-laŋvʊl,14_onethousand
nɛ-teo,15_year
ᵐbaraŋin,16_right
ⁿdal-mir,17_left
ᵑgina,18_i
mætʉl,19_weallexcl
ⁿdaru,20_webothincl
mæro,21_webothexcl
ⁿdatʉl,22_weallincl
ajuŋ,23_thou
amʷil,24_youboth
amuru,25_youall
aj,26_heshe
ral,27_theyall
raru,28_theyboth
awaʔ,29_nonot
nahai,30_what
ahɛn,31_who
ambɛh,32_where
matanial,33_when
i-være,34_how
salvʉn,35_this
ᵐbajaŋ,36_that
-livanmahap˺,37_above
salvʉn,38_below
-lɛʊnimʉsʉn,39_ininside
na-ᵐbatu-ŋ,40_head
no-osul,41_hair
na-mɛta-ŋ,42_eye
nɪ-ᵑginhu-n,43_nose
nɛⁿdalɪŋa͂-ŋ,44_ear
no-ᵐboʔo-ŋ,45_mouth
næ-mælæᵐbuŋi-n,46_tongue
nɪ-livʷo-n,47_tooth
na-væra-n,48_hand
nu-ⁿdelo-ŋ,50_neck
nɛ-taʔo-n,51_back
nu-ᵐbule-ŋ,52_leg
næ-ⁿdaʰ,53_blood
nu-ᵐbulᵐbul,54_bone
no-olsi-n,55_skin
na-ᵐbaavo-ŋ,56_belly
na-avut˺,57_intestines
nu-šušu-n,58_breast
na-mam,59_liver
ni-kiliu,60_dog
næ-mæn,61_bird
na-mahal,62_fish
niᵐbusʉn,63_snake
nɪ-ⁿdulas,64_worm
nu-ut˺,65_louse
na-ahup˺,66_rat
nɛ-ŋɛŋeo,67_spider
nɛ-teoas,68_mosquito
na-manlʉ-n,69_egg
ni-ᵐbusʉn,70_tail
noᵐbunᵐbon,71_wing
no-ᵐbunᵐbo-n,72_feather
na-ᵐbaᵐbariŋin,73_man
ni-vin_aivʷut,74_woman
ni-ᵐbunoŋ,75_child
na-aha-ŋ,76_name
ᵑgijai,77_mother
tata,78_father
na-aivʷut,79_husband
ni-vin_aivʷut,80_wife
ipᵐbarɪŋinian,82_night
ni-vul,83_moon
no-mʷosoi,84_star
nuᵐʙunai_iⁿdu,85_sky
no-hoi,86_water
no-hoi_ⁿdalⁿdal,87_lake
nɛ-tɛs,88_sea
na-am,89_fire
tuŋtuŋ,90_smoke
na-masun_am,91_ash
na-vat˺,92_stone
na-tan,93_earthsoil
ni-jap,94_dust
ni-ᵐbunʊn,95_sand
nu-uh,96_rain
no-ᵐborᵐbor,97_cloud
nɛ-lɛŋ,98_wind
ni-pil,99_thunder
ni-pil_vitvit,100_lightning
nu-vuəh,101_meatflesh
na-wan_na-i,102_fruit
nu-ᵐʙunai_iⁿdu,103_woodsforest
na-ara-n,104_root
na-ᵐbæl_nan,105_branch
nɛ-reun,106_leaf
na-ai,107_wood
ni-mʷini,108_grass
na-taphɛ-n,109_flower
ni-at,110_thatchroof
ni-jum,111_house
ne-ʔeo,112_rope
na-hal,113_roadpath
i-mɛtmɛt,114_black
i-mævʷʉs,115_white
i-paŋpaŋ,116_red
i-aasan,117_green
i-lʉtlʉt,118_yellow
i-ᵐboᵐbo,119_big
i-mɛlaalaʔ,120_small
i-kan,121_sharp
i-mah,122_bluntdull
i-mæmaan,123_shyashamed
i-marlam,124_old
i-mɪhɛʔ,125_painfulsick
i-lɛh,126_good
i-hat˺,127_bad
i-pᵐbarɪŋin-ian,128_correcttrue
i-mom,130_rotten
i-ⁿdop˺,131_heavy
-sɛle,132_far
-masaŋsaŋ,133_near
na-mælah,134_cold
i-mahamah,135_dry
i-ⁿdomⁿdom,136_wet
i-veveo,137_new
ahɛn,138_other
ᵑga-mi,139_come
ⁿdi-loŋ,140_walk
ⁿdi-tur,141_stand
ⁿdi-sum,142_sit
ⁿdi-ᵐbæh,143_fall
ⁿdi-pas_ⁿdeo,144_liedown
ⁿda-viis,145_turn
ⁿdi-haʔ,146_climb
ⁿdi-ŋar,147_swim
ⁿdi-vɛm,148_flyverb
ⁿdi-kom,149_throw
i-titetɛhɛʔ,150_hide
ⁿdipupure,151_eat
ⁿdi-mʉn,152_drink
ⁿdi-momolɛn,153_yawn
ⁿdi-pupure,154_spit
