Miapika,English Translation
limana,48_hand
mʷɛli,17_left
marua,16_right
la:na,52_leg
miali,140_walk
rapa,113_roadpath
pimi,139_come
ojilomoj,145_turn
okulu,147_swim
koro:ki,129_dirty
supuluaj,94_dust
kŭlusia,55_skin
kamanɛna,51_back
mopena,444_stomach
purijuna,54_bone
si:nena,57_intestines
puriere,59_liver
dajuna,58_breast
sivi,49_shoulder
kilia,315_know_understand
stomalia,458_to_think
marau,175_fear
ta:,53_blood
pa:na,40_head
komelkina,50_neck
ilupa:na,41_hair
kunu:na,43_nose
mijeve,177_breathe
lopon᷈a,434_sniff
kuluŋgona,45_mouth
taluena,47_tooth
pumɛnena,46_tongue
pita:le,163_laugh
taŋi,164_cry
lualua,178_vomit
pla:siri,154_spit
kina:na,151_eat
karija,464_to_chew
prankap,188_cook
mun᷈a,152_drink
kara:rija,212_to_bite
munmun᷈a,448_suck
kiliŋgana,44_ear
loŋgea,161_hear
koma:na,42_eye
malja,160_see
mɛli,153_yawn
momaljo,156_sleep
moⁿbebe,144_liedown
manini:ja,155_dream
totono,142_sit
sumalu,141_stand
erĭrina,306_person
erumene,73_man
sira,74_woman
sisi,75_child
sɛr maru,79_husband
sasira marua,80_wife
sɛn te:te,77_mother
sɛn ta:ta,78_father
juma,111_house
rakɛnita,455_thatch
sɛⁿkiaj,76_name
naŋga pisa,182_say
kilika,112_rope
ojtea:rja,179_tieup
osulu:ja,167_sew
kuru:sja,362_needle
tɛjgor,173_hunt
ojnija,189_shoot
amiaj,184_stab
amʷe:a,169_hit
pinan᷈a,186_steal
owemarĭa,159_kill
mare,158_die
ma:li,157_live
kuparia,183_scratch
te:a,170_cut
laki,107_wood
tepa:ja,171_split
me:to:to,121_sharp
rewo:li,122_bluntdull
majumʷe,190_work
mapila,187_plant
ojsururu:ja,465_to_choose
kapu:ru,302_to_grow
siropⁱ,181_swell
ipoŋgojᵃ,180_squeeze
ura:rja,174_hold
okilija,172_dig
oʰulja,185_buy
ojke:a,191_open
ohuweʰa,168_pound
okuaŋlua,149_throw
loru,143_fall
leku:li,60_dog
manu,61_bird
kulu:to,69_egg
ilu:sia,72_feather
kupe:na,71_wing
ka,148_flyverb
ka:we,66_rat
kuᵐbui,336_meat
mura,258_fat
ki:na,70_tail
lomara,63_snake
susu,64_worm
kuru,65_louse
namu,68_mosquito
kormalulu,67_spider
ika,62_fish
menuni,130_rotten
koroa:sia,105_branch
ma:sja,106_leaf
puliŋgasia,104_root
inaki,109_flower
da:sja,102_fruit
mamuni,108_grass
sina:tona,93_earthsoil
kĭla:ru,92_stone
leno:ne,95_sand
wi,86_water
wi kiri:ri,286_flow
lowo:si,88_sea
si,419_salt
lapa,87_lake
limaru,103_woodsforest
pɛni,85_sky
kupario,83_moon
erue,84_star
polu:lu,97_cloud
polulu,340_fog
juwa,96_rain
polulu,99_thunder
jokarpila,100_lightning
laŋi,98_wind
mjuwi,165_blow
pĭsusun,483_hot
mija:va,134_cold
ma,135_dry
memɛ,136_wet
urumi,131_heavy
ka:pi,89_fire
kakaⁿlelea,166_burn
jopʷa,90_smoke
supulujaj,91_ash
mokoli:ko,114_black
mijŭwowo,115_white
pili:li,116_red
lele:ru,118_yellow
memeʰe,117_green
taki:to,120_small
tau:ra,119_big
pla:sja,426_short
pia:j,328_long
meninivi,457_thin
merorɔn,456_thick
jota:ki:to,359_narrow
lolopana,489_wide
mila:,125_painfulsick
ma:wa,123_shyashamed
surŭmarua,124_old
na:u,137_new
pulukuli,126_good
mesmes,128_correcttrue
poŋgena,82_night
ɛŋgena,81_day
ka:sja,15_year
poŋgiɑ:j,33_when
kʷanlon᷈a,150_hide
uma:ʋa,146_climb
lo:sja,39_ininside
ma:va,37_above
loperena,38_below
naŋani,35_this
naŋaaru,36_that
laji:si,133_near
perina,132_far
pe:,32_where
nu:,18_i
ko,23_thou
naŋa,26_heshe
ita,22_weallincl
mɛmi,19_weallexcl
italua,20_webothincl
mɛmualua,21_webothexcl
amju,25_youall
amjulua,24_youboth
naŋala,27_theyall
naŋalalua,28_theyboth
ja:ne,30_what
jɑ:j,31_who
nase:pe,138_other
nala:lani,195_all
a:ljo,199_and
se:pe,311_if
se:pene,34_how
po:li,29_nonot
te:uluja,176_count
taŋa,1_one
lua,2_two
to:lu,3_three
fari,4_four
lima,5_five
orɑ:j,6_six
olua,7_seven
orɔlu,8_eight
oja:ri,9_nine
lualima,10_ten
lualima taŋa,11_twenty
lualimlualima,12_fifty
ponotia,13_onehundred
ponotiaponotia,14_onethousand
