Letemboinewotenyene,English Translation
suaːmɛ,1_one
i-rua,2_two
i-tl,3_three
i-vas,4_four
i-ləmɛ,5_five
i-loβsua,6_six
i-lɔβrua,7_seven
i-lauβutl,8_eight
i-laːβəs,9_nine
i-laŋaːβəl,10_ten
i-laŋaːβəl_i-rua,11_twenty
i-laŋaːβəl_iləme,12_fifty
i-laŋaːβəl_i-laŋaːβəl,13_onehundred
atau,15_year
boraŋənə,16_right
mʷɛr,17_left
əŋənɛ,18_i
kəⁿdaˑn,19_weallexcl
ⁿdaˑr,22_weallincl
aŋu,23_thou
ᵑgan,25_youall
ie,26_heshe
auteⁿdɺ,27_theyall
isigan,29_nonot
tauiʒaᵐbʷa,34_how
tinɛ,35_this
tiwə,36_that
lumuaˑri,37_above
vi,38_below
vaːnua,39_ininside
ɪᵐbʷaːt-ɪᵑk,40_head
nɛ-wul-ɛᵑk,41_hair
nɪ-mɛt-aᵑk,42_eye
ᵑgars-ɛᵑk,43_nose
ⁿdɛliŋ-aᵑk,44_ear
ɪ-ᵐbʷ-əᵑk,45_mouth
mɛluw-əᵑk,46_tongue
ɛ-lu-əᵑk,47_tooth
nɪvara-ŋ,48_hand
ᵐbʷotvɛrɛnaᵑk,49_shoulder
ɪⁿdɛl-ɛᵑk,50_neck
nɛ-tagᵑk,51_back
alɛ-ᵑk,52_leg
nɛ-ⁿdʳe,53_blood
na-wigai,54_bone
na-wuɺwuɺ,55_skin
a-abʷut-əᵑk,56_belly
ɛ-sənɛ,57_intestines
na-asɪs,58_breast
maːᵐboɾə,59_liver
əᵐburman,60_dog
nɛ-man,61_bird
a-igə,62_fish
nɛ-mʷɔtɛ,63_snake
ɛ-ⁿdɛlaːs,64_worm
a-agʊt,65_louse
a-sua_ᵐbʷotɛᵐbʷote,66_rat
ⁿdɛŋəlɛ,67_spider
dogas,68_mosquito
a-mɔwi,69_egg
ɛ-vɛlɛᵐbɪši,70_tail
ɛ-bɛlɛŋawi,71_wing
ɛ-bəli,72_feather
a-mugʊt,73_man
ɛ-tɪvʷɔtɛ,74_woman
teɪᵐborai,75_child
woias,82_night
nɛ-ᵐbaˑsi,83_moon
ɛ-vnvʊt,84_star
nɪ-mɛsau,85_sky
ne-ɛmb,86_water
nɛ-tas,88_sea
na-kamb,89_fire
ⁿdɛrŋə,90_smoke
ɛ-mosuanɛ,91_ash
nɛ-vat,92_stone
nɛ-tɛnɛ,93_earthsoil
tɛnɛzɛlɛ,94_dust
movsuan,95_sand
ause,96_rain
nɪ-maːp˺,97_cloud
mɛlasɛ,98_wind
aᵐbɛlɛ,99_thunder
ᵐbɛlɛᵐbɛlɛ,100_lightning
nɛ-ŋaraius,103_woodsforest
waːri,104_root
nɛ-saŋi,105_branch
a-raui,106_leaf
na-i,107_wood
nɛ-mʷonai,108_grass
ɛ-tɛvʊši,109_flower
ɪ-rauiɛtɛ,110_thatchroof
e-ɪmʷa͂,111_house
ɛ-taɺ,112_rope
nɪ-sɛlɛ,113_roadpath
-mɛtemɛte,114_black
-wowolau,115_white
-miɛmiɛlɛ,116_red
mɛrmɛr,117_green
-wəzwasi,118_yellow
nɛᵐbɛⁿdʳau,119_big
i-ruguᵐboi,120_small
məᵑgalᵑgal,121_sharp
ᵐbʊgᵐbʊx,122_bluntdull
i-mʷəlɛ,123_shyashamed
mʷaːtiɛnɛ,124_old
i-ᵑgəlɛtɛ,125_painfulsick
-voi_avoiɛne,126_good
i-sɛte,127_bad
i-vɛlvɛl,128_correcttrue
ɛⁿdɛmɛl,129_dirty
ɳɛtɛŋɛte,130_rotten
i-nɛmᵇ,131_heavy
i-ləgk,132_far
saŋazəŋə,133_near
-mɛlæˑsɛ,134_cold
autai-tɛrɛmɛsɛ,135_dry
i-loᵐbuloᵐb,136_wet
i-βoβo,137_new
wo-bul,139_come
ao-ləŋə,140_walk
au-tɛrɛtɛrɛ,141_stand
au-somᵇ_ⁿdau,142_sit
u-ragiai,143_fall
-mənɛndau,144_liedown
wa-ⁿdʳi,145_turn
i-wolɛsak,146_climb
u-ᵑgaraiɛᵐb,147_swim
i-al,148_flyverb
au-kuᵐbuk,149_throw
wo-lmok,150_hide
au-dotau,151_eat
au-mɔmɪsir,154_spit
əᵐbʷari,155_dream
au-mʷənɛ,156_sleep
-maur,157_live
i-mas,158_die
au-rovusimas,159_kill
au-lʊš,160_see
nau-rəŋə,161_hear
i-ᵐbuwɛ,162_sniffsmell
i-vsiŋal,163_laugh
au-arɛtɛ,164_cry
i-uviuɸ,165_blow
i-nɛnɛ,166_burn
au-tɛltɛlɪᵐbɛ,168_pound
au-tɛlᵐbɛ,169_hit
-garas,170_cut
-tagnborei,171_split
au-gl,172_dig
u-wurⁿdau,174_hold
au-mɛtak,175_fear
-ᵐbuluᵑg,176_count
au-lualuɛ,178_vomit
-tuvʷon_dautau,179_tieup
u-ᵐbus,180_squeeze
i-lɛᵐbɛ,181_swell
wa-sirɛ,182_say
-gaigai,183_scratch
au-tr,184_stab
a-wul,185_buy
au-mɛrəgk,186_steal
hu-kabʷak,187_plant
au-βini,189_shoot
-ragiɛnɛ,190_work
au-savan,191_open
