Jakena,English Translation
limema,48_hand
limene pa mwɛl,17_left
limene marua,16_right
laːna,52_leg
ojeli,140_walk
pulnarapa,113_roadpath
oʋinmi,139_come
oviniŋgo,145_turn
ɔkulu,147_swim
ata,129_dirty
pulujeʰu,94_dust
kulusja,55_skin
masina,51_back
mopʷena,444_stomach
purju,54_bone
puesnena,57_intestines
puriare,59_liver
narajuna,58_breast
kumelkina,49_shoulder
kilea,315_know_understand
ostomia,458_to_think
narao,175_fear
kuruta,53_blood
parina,40_head
kumɛrkina,50_neck
ulparina,41_hair
kununa,43_nose
ovrelaŋ,177_breathe
oᵐloponja,434_sniff
ng̊ona,45_mouth
mawena,47_tooth
purmenena,46_tongue
pitali,163_laugh
taŋg,164_cry
lilua,178_vomit
plaːsiri,154_spit
kinana,151_eat
kulu,464_to_chew
ojɔrkap,188_cook
omuña,152_drink
karmaluena,212_to_bite
omuña,448_suck
kiliŋgana,44_ear
oᵐloŋge,161_hear
knemarana,42_eye
pituja,160_see
mijao,153_yawn
momaljo,156_sleep
omoⁿtano,144_liedown
muñe,155_dream
otetano,142_sit
otumalu,141_stand
jartaj,306_person
jerumene,73_man
sira,74_woman
niⁿsisi,75_child
woʰu kinu,79_husband
woʰu kinu,80_wife
aʰuja,77_mother
ata,78_father
juma,111_house
majro,455_thatch
kija,76_name
oʋisa,182_say
kilka,112_rope
ovatear marira,179_tieup
osluja,167_sew
kurusja,362_needle
ojiliʰu,173_hunt
ovinea,189_shoot
miarja,184_stab
owaja,169_hit
ovinao,186_steal
owamaria,159_kill
mɛrpan,158_die
maːli,157_live
okuparia,183_scratch
otaja,170_cut
leki,107_wood
otapaja,171_split
nalkali,121_sharp
maːs,122_bluntdull
oʰimae,190_work
omepla,187_plant
owaⁿdeⁿde,465_to_choose
kapuru,302_to_grow
milapa,181_swell
owiña,180_squeeze
wararia,174_hold
okilĭja,172_dig
owulja,185_buy
ovikea,191_open
owaja,168_pound
okwaña,149_throw
mileru,143_fall
lokuli,60_dog
menu,61_bird
kopulusja,69_egg
wilusja,72_feather
kupena,71_wing
ka,148_flyverb
kawe,66_rat
taːta,336_meat
mĭlapa,258_fat
kesina,70_tail
lomara,63_snake
kulaːr,64_worm
kuru,65_louse
namu,68_mosquito
kotemeʰu,67_spider
ika,62_fish
urmerua,130_rotten
dasia,105_branch
masia,106_leaf
palaŋgasia,104_root
vinaŋgasia,109_flower
meraᵈeki,102_fruit
koreki,108_grass
porotano,93_earthsoil
kalvɛru,92_stone
none,95_sand
wiː,86_water
wiːmije,286_flow
si,88_sea
si,419_salt
lapa,87_lake
jemarua,103_woodsforest
snapane,85_sky
kuparjo,83_moon
verue,84_star
lul,97_cloud
mahu,340_fog
juːwa,96_rain
polul,99_thunder
jokarpila,100_lightning
laŋgⁱ,98_wind
ojuja,165_blow
epsisin,483_hot
mijapa,134_cold
mema,135_dry
netu,136_wet
urmi,131_heavy
kap,89_fire
kapkinana,166_burn
kapmiju,90_smoke
pulujehu,91_ash
malko,114_black
mijuʰe,115_white
mene,116_red
minereru,118_yellow
memajena,117_green
vitomak,120_small
pawa,119_big
plaːs,426_short
pijeʰu,328_long
meninehu,457_thin
miplasane,456_thick
vitomak,359_narrow
pawa,489_wide
manika,125_painfulsick
memawa,123_shyashamed
urmerua,124_old
urviju,137_new
po,126_good
pijowa,127_bad
mɛsmɛs,128_correcttrue
jemalko,82_night
poŋgosja,81_day
kasia,15_year
poŋgia,33_when
okuslawuña,150_hide
oweha,146_climb
lohima,39_ininside
matewa,37_above
wateno,38_below
nani,35_this
nanŋgarne,36_that
lawisi,133_near
pe,32_where
kinu,18_i
ko,23_thou
naŋga,26_heshe
kita,22_weallincl
mɛmi,19_weallexcl
kislua,20_webothincl
mɛmlua,21_webothexcl
amju,25_youall
amlua,24_youboth
laːla,27_theyall
lalua,28_theyboth
ja,30_what
aji,31_who
tapena,138_other
lalmakena,195_all
nemioko,199_and
nasa,311_if
senepe,34_how
polŋga,29_nonot
obdoja,176_count
taŋga,1_one
wa,2_two
telu,3_three
veri,4_four
lima,5_five
orɑj,6_six
orɛl,7_seven
ovar,8_eight
olua,9_nine
lualima,10_ten
lualima pɛn lua,11_twenty
lualimapɛn lima,12_fifty
ponotia,13_onehundred
manu,14_onethousand
