Alavaswowo,English Translation
-hual,1_one
-rue,2_two
-til,3_three
-ðat,4_four
-linɛ,5_five
-ɣon,6_six
-ɣondit,7_seven
-ɣoal,8_eight
-ɣeheve,9_nine
-haŋaðil,10_ten
novul_u-ɾue,11_twenty
noðilne,12_fifty
noðaŋaðil,13_onehundred
nu-huɣað,15_year
na-matue,16_right
na-maiɾe,17_left
ɣina,18_i
kanan,19_weallexcl
lɛkɛre,22_weallincl
unox,23_thou
kanrue,24_youboth
kan,25_youall
ɣe,26_heshe
ɣara,27_theyall
naha,30_what
ihi,31_who
ande,32_where
tahaðe,33_when
sa-vahaɾa,34_how
hiŋis,35_this
-marɔ,37_above
-laŋalaðɛn,38_below
-lalalon,39_ininside
na-ᵐbatu-k,40_head
nɪðil,41_hair
nɪðil_batu-k,41_hair
na-nata-k,42_eye
nu-kunuhu-k,43_nose
no-ᵐbororu-k,44_ear
nu-suŋo-k,45_mouth
nɛ-nɛnɪ-k,46_tongue
nu-luvo-k,47_tooth
na-ðara-k,48_hand
nɪ-ᵐbili-k,49_shoulder
nɛ-ᵐbɛtralu-k,50_neck
nu-suᵐbuna-k,51_back
na-ᵐbalaku-k,52_leg
na-re,53_blood
ni-si-k,54_bone
ni-ʒil,55_skin
ni-ʒil_na-rara-k,55_skin
ni-hinɪ-k,56_belly
nɛltɛgna-su-k,57_intestines
na-hu,58_breast
nɛ-ᵐbɛᵐbi-k,59_liver
ni-viɾi,60_dog
na-nanɣɔ,61_bird
na-nas,62_fish
na-mat,63_snake
nɪ-vɪlɪsɪlas,64_worm
na-ɣut,65_louse
na-rið,66_rat
ne-la,67_spider
na-mɣɔ,68_mosquito
no-rul,69_egg
no-rul__a-to,69_egg
na-valau-ne,70_tail
na-ⁿdɛ-n,71_wing
ni-ðil-muan,72_feather
nɛ-mɛɾɛte,73_man
na-ðaðɛn,74_woman
ʧiᵐblax,75_child
ne-haɣa-k,76_name
nɛra-k,77_mother
tɛte-ha-k,78_father
nɛ-hɛl_ha-k,79_husband
lɪgtɛr_ha-k,80_wife
tiran,81_day
tuᵐbuŋ,82_night
na-βule,83_moon
no-vovoɾ,84_star
na-ⁿdaknaran,85_sky
no-a,86_water
na-lɛnd,87_lake
na-tah,88_sea
na-hand,89_fire
nɪ-hɪ,90_smoke
nɪ-hɪ_na-nd,90_smoke
nɪ-ᵐbɪtmaɸ,91_ash
na-ðat,92_stone
na-tan,93_earthsoil
nɪ-ᵐbɪtmaɸ,94_dust
na-on,95_sand
na-hue,96_rain
na-laŋ,98_wind
na-kuɾu,99_thunder
nɪ-ɣilax,100_lightning
nu-ɣoðɣoðɛ-ne,101_meatflesh
nu-vuan,102_fruit
no-voroa,103_woodsforest
na-laᵐbɛ-n,104_root
na-raŋa-n,105_branch
na-raune,106_leaf
na-i,107_wood
na-nuh,108_grass
ne-reat,110_thatchroof
ne-mak,111_house
na-narte,112_rope
tu-loŋ,114_black
ti-ᵐbiahavo,115_white
ti-nial,116_red
ti-ɣasan,117_green
ti-mɛlɛɣ,118_yellow
ti-land,119_big
ti-vɛlvɛle,120_small
ba-mʷon,121_sharp
hu-noɣonɣan,123_shyashamed
nɛ-mɛrsean,124_old
tu-ros,125_painfulsick
ti-naki,126_good
ti-hat,127_bad
tu-vurtian,128_correcttrue
tumə-loxlox,129_dirty
tu-momo,130_rotten
tu-roɸ,131_heavy
-luhuɣa,132_far
huruð,133_near
-nanala,134_cold
ti-nana,135_dry
ti-hinin,136_wet
-ma,139_come
ni-tia,140_walk
ho-turo,141_stand
ho-turo_maro,141_stand
nitiat,142_sit
ho-roro,145_turn
-hax,146_climb
-hax_maro,146_climb
ni-tial,147_swim
ti-tahiɣ,148_flyverb
ho-vɛrɪn,149_throw
u-vtehuwun,150_hide
nutu-or,151_eat
nu-num,152_drink
ninanað,153_yawn
nu-lutʊð,154_spit
poɾpoɾo,155_dream
-nutur_poɾpoɾo,155_dream
na-tuɾu,156_sleep
ti-nevəɾe,157_live
ti-na,158_die
ho-rum-bana,159_kill
nu-roŋɔ,161_hear
ni-ðauru,163_laugh
niti-ŋara,164_cry
ti-ɣam,166_burn
o-rur,167_sew
u-ruᵐburuᵐb,168_pound
o-rump,169_hit
wu-hinde,170_cut
ho-giɬ,172_dig
ho-xoroɾɔ,173_hunt
nu-tulɣɔ,175_fear
wo-hɛrtɪn,176_count
nu-lulue,178_vomit
u-vihiɣil,180_squeeze
tu-vuwun,181_swell
ho-vʷaɾa,182_say
o-haɾa,184_stab
hovo-wʊɬ,185_buy
-ðanax,186_steal
o-ruɸ,187_plant
wo-ðɛahax,190_work
-ware,191_open
