Pangkumudatisman,English Translation
xɛβɛt͡ʃ,4_four
xerim_xeʒim,5_five
ruptes,6_six
ruβru,7_seven
ruptos,8_eight
saŋaβʊl,10_ten
naβulɡeru,11_twenty
naβulɡerim,12_fifty
nuɡutvarsoɣo,13_onehundred
wutwutt͡sarvaxsoɣo,14_onethousand
siɣɔ,15_year
tin,16_right
xɛ-mer,17_left
xina,18_i
nɛᵐde,19_weallexcl
raru,21_webothexcl
ride,22_weallincl
xau,23_thou
xamɾu,24_youboth
xaⁿde,25_youall
xini,26_heshe
-rɛte,27_theyall
t͡ʃiɡe,29_nonot
saɣe,30_what
xase,31_who
ambe,32_where
saxɛnaɣer,33_when
ᵐberaᵐbe,34_how
ŋe,35_this
naᵑga,36_that
-maɣat˺,37_above
-repan,38_below
-rarnɛm,39_ininside
karu-n,40_head
fʷiri-n,41_hair
mɛta-n,42_eye
na-ɣont͡ʃi-n,43_nose
reriŋa-n,44_ear
ᵐboŋo-n,45_mouth
no-rimɛ-n,46_tongue
riβo-n,47_tooth
fɛra-n,48_hand
ᵐbotɣoso-n,49_shoulder
sarnaɣa-n,50_neck
ⁿdʳura-,51_back
baraŋo-n,52_leg
ne-re,53_blood
ᵐburaŋo-n,54_bone
firi-n,55_skin
ⁿdaᵐba-n,56_belly
t͡ʃin-ɛn,57_intestines
ʃuʃi,58_breast
na-ᵐbɛᵐbɛ-n,59_liver
kuri,60_dog
ni-mɛn,61_bird
ne-ɪx,62_fish
na-mat˺,63_snake
t͡ʃurɛt͡ʃ,64_worm
na-ɣut,65_louse
xasuf,66_rat
lolom,68_mosquito
xoriri-n,69_egg
ᵑgaɾɛ-n,70_tail
xaᵐbɛ-n,71_wing
ᵐbaina-n,72_feather
xares,73_man
nɛβseβin,74_woman
amaɾeɾe,75_child
na-ɣis,76_name
are,77_mother
tatah,78_father
tɛvan_sa-n,79_husband
xaso-n,80_wife
utɪlɛn,81_day
aᵐboŋ,82_night
nɛ-βuɾ,83_moon
mat͡ʃo,84_star
mɛsaf,85_sky
nu-e,86_water
ni-tes,88_sea
no-ɣoᵐp,89_fire
nɛvin_mɛto_ɣoᵐp,91_ash
ni-fɛt,92_stone
nɛ-tan,93_earthsoil
ᵐbaruŋov,94_dust
ⁿdavunon,95_sand
na-os,96_rain
rorɔ,97_cloud
ni-rɛŋ,98_wind
ᵐbaɾavaɾ,99_thunder
nɛ-ᵐbiɾ,100_lightning
raruᵑgɛtaɾam,103_woodsforest
raᵐbɛ-n,104_root
ᵐbut͡ʃi-n,105_branch
raon,106_leaf
ni-gɛ,107_wood
ⁿduᵐʙue,108_grass
nɛ-mat˺,110_thatchroof
ne-im,111_house
no-ɣo,112_rope
nɛ-saɾ,113_roadpath
-mot,114_black
-paɾaɾ,115_white
-pɛrpɛr,116_red
-mɛɣaɣɛt͡ʃ,117_green
-ɛŋaŋ,118_yellow
-fɛmbʷot,119_big
-keɾe,120_small
-sor,121_sharp
-ᵐʙux,122_bluntdull
-maɣamɣon,123_shyashamed
-taɾam,124_old
-mɛsɛx,125_painfulsick
-fɔ,126_good
-t͡ʃɛt͡ʃ,127_bad
-feretin,128_correcttrue
ranu,129_dirty
-rov,131_heavy
-ramᵗsaf,132_far
-morix,133_near
malɣos,134_cold
-mas,135_dry
-moŋ,136_wet
-marmar,137_new
lit͡ʃiŋre,138_other
-finɛ,139_come
fɛvar,140_walk
-tu,141_stand
-non,142_sit
-mit͡ʃov,143_fall
-mɛtmɛtuɾ,144_liedown
-feɾi,145_turn
-sax,146_climb
eroŋ,147_swim
-mɛrax,148_flyverb
tuvəni,149_throw
-riŋisosoɣni,150_hide
-xɛnɪgɛn,151_eat
mi-min,152_drink
-nof,153_yawn
-mirut,154_spit
ᵐbor,155_dream
-mɛtuɾ,156_sleep
-maur,157_live
-mɛt͡ʃ,158_die
-ᵐbɛr-ᵐʙuni,159_kill
-ᵐʙʊnt͡ʃi,160_see
mi-re,161_hear
naᵐbon,162_sniffsmell
-man,163_laugh
-tɛŋ,164_cry
-fifi,165_blow
-ror,166_burn
-ᵐbɛrᵐberi,168_pound
-ᵐbɛɾi,169_hit
-te,170_cut
-tɛvare,171_split
-kiɾi,172_dig
fʷisi,174_hold
-mɛtox,175_fear
hʊrɡi,176_count
-rɛveniriŋ,177_breathe
-ru,178_vomit
-t͡ʃeri_totoɣni,179_tieup
-fʷɛɾi,180_squeeze
-fifin,181_swell
-feɾe,182_say
-seɾi,184_stab
-fiɾi,185_buy
-fənaɣe,186_steal
-rivi,187_plant
-fɪne,189_shoot
-mat͡ʃiŋ,190_work
-fɛɣe,191_open
