Pangkumundarmif,English Translation
t͡sʰoɣoˑ,1_one
xɛru,2_two
ɣɛtʰeʃ,3_three
ɣɛβɛt͡ʃ,4_four
hɛʒim,5_five
ruptɛs,6_six
ruβru,7_seven
ruptos,8_eight
rupeɪ,9_nine
saŋaβʉr,10_ten
ŋaβʉrgeru,11_twenty
ŋaβʉrgerim,12_fifty
nuᵑgutvarsoɣo,13_onehundred
no-ron,15_year
tin,16_right
maiɾ,17_left
hina,18_i
nɛᵐdi,19_weallexcl
nɛmru,21_webothexcl
rite,22_weallincl
xau,23_thou
xamɾu,24_youboth
xaⁿdi,25_youall
hini,26_heshe
xiniɾi,27_theyall
raru,28_theyboth
t͡ʃige,29_nonot
saɣe,30_what
xazi,31_who
ambi,32_where
saxenaxer,33_when
ᵐbɛraᵐbe,34_how
nɪŋi,35_this
naᵑka,36_that
-rapon,37_above
-rɛpan,38_below
-raron,39_ininside
karu-n,40_head
hiri-n,41_hair
mɛtʰa-n,42_eye
na-ɣont͡ʃi-n,43_nose
reriŋa-n,44_ear
ᵐboŋo-n,45_mouth
no-rimɛn,46_tongue
rivo-n,47_tooth
nɪ-var,48_hand
wutβuso-n,49_shoulder
sarnava-n,50_neck
dura-n,51_back
baraŋ-,52_leg
ne-re,53_blood
buraᵑgo-n,54_bone
vilɛ-n_ᵐbɛ,55_skin
daᵐbʷa-n,56_belly
t͡ʃinɛ-n,57_intestines
susi-n,58_breast
na-ᵐboᵐbʷɛ-n,59_liver
kuriˑ,60_dog
ni-mɪn,61_bird
ne-ɪx,62_fish
na-mat,63_snake
ʧureʧ,64_worm
na-ɣut,65_louse
xasup˺,66_rat
romro,67_spider
nu-num,68_mosquito
xorʒi-n,69_egg
ᵑgarɛ-n,70_tail
xaᵐbɪ-n,71_wing
ᵐbaina-n,72_feather
muman,73_man
nɪvsevin,74_woman
ramareri,75_child
na-ɣis,76_name
are,77_mother
tivʷan_sa-n,79_husband
ɣaso-n,80_wife
na-utɛrin,81_day
autbun,82_night
nɛ-βʉs,83_moon
mat͡ʃo,84_star
mɛsap˺,85_sky
nu-e,86_water
na-ᵐʙurᵐʙur,87_lake
ni-tes,88_sea
nu-ɣuᵐp,89_fire
mɛto_ɣump,91_ash
ni-βit,92_stone
nɛ-tan,93_earthsoil
barguɸ,94_dust
dabnaon,95_sand
na-us,96_rain
roro,97_cloud
ni-riŋ,98_wind
barvar,99_thunder
nɛ-ᵐbiʃ,100_lightning
nɪ-βusɣo-n,101_meatflesh
fanan,102_fruit
na-rorᵑgɛtɛnamp,103_woodsforest
raᵐbʷɛ-n,104_root
ᵐbut͡ʃi-n,105_branch
laon,106_leaf
ni-ge,107_wood
ⁿduᵐʙue,108_grass
puŋan,109_flower
nɛ-mat,110_thatchroof
ne-im,111_house
no-ɣo,112_rope
nɛ-saɾ,113_roadpath
mi-mʊt,114_black
-parar,115_white
-pʷɛrpʷɛɾ,116_red
-miravet͡ʃ,117_green
-eŋaŋ,118_yellow
-pɪmbut,119_big
-kakas,120_small
mi-sor,121_sharp
mi-ᵐʙux,122_bluntdull
-maxamɣun,123_shyashamed
-taramp,124_old
-kɛrix,125_painfulsick
mi-βo,126_good
mi-t͡ʃeʃ,127_bad
-fʷeretin,128_correcttrue
-ranu,129_dirty
mi-rop˺,131_heavy
-ramsaɸ,132_far
-mʷorix,133_near
-woɣɔ,134_cold
mi-mas,135_dry
mi-moŋ,136_wet
-marmar,137_new
-fine,139_come
mi-tu,141_stand
mi-non,142_sit
-mit͡ʃuv,143_fall
-mɛtusɛri,144_liedown
-ᵐbori,145_turn
mi-sax,146_climb
ɛ-roŋ,147_swim
-mɛlax,148_flyverb
-riŋsosohoni,150_hide
-jɛnɪgen,151_eat
ni-min,152_drink
-hɪnmoŋ,153_yawn
-miɣut,154_spit
na-ᵐbur,155_dream
-mɛtur,156_sleep
-mauɾu,157_live
mi-mit͡ʃ,158_die
-ᵐbɛr-ᵐbuni,159_kill
-ᵐʙunʃi,160_see
mi-ʒe,161_hear
naᵐbon,162_sniffsmell
mi-man,163_laugh
mi-teŋ,164_cry
-murke,167_sew
-bɛrᵐbeɾi,168_pound
-ᵐbɛɾi,169_hit
-te,170_cut
-tɛvre,171_split
-kiri,172_dig
-muko,173_hunt
-mɪtʊx,175_fear
-lɪveliriŋ,177_breathe
mi-ʒu,178_vomit
-t͡ʃɛf_tutoni,179_tieup
-fʷeriɾi,180_squeeze
-fivʷin,181_swell
ᵐbo-fɛre,182_say
-seɾi,184_stab
-fʷiri,185_buy
-fɪnaɣe,186_steal
-riβi,187_plant
-pɛnun,188_cook
-fɛni,189_shoot
-mat͡ʃiŋ,190_work
-fɛɣe,191_open
