Ngevin,English Translation
limana,48_hand
pa mʷɛl,17_left
pa maroa,16_right
laŋga,52_leg
mial,140_walk
ᵐbrapa,416_road
pimi,139_come
blon᷈a,145_turn
kul,147_swim
koraki,129_dirty
yahu,94_dust
kuliepena,55_skin
masna,51_back
mapena,444_stomach
puriu,54_bone
sinena,57_intestines
puriare,59_liver
prajuna,58_breast
pulkaunena,49_shoulder
kilia,315_know_understand
stomena,458_to_think
marao,175_fear
kuruta,53_blood
piaparna,40_head
komelkina,50_neck
wiluna,41_hair
kununa,43_nose
prelaŋ,177_breathe
ponosa,434_sniff
ŋgona,45_mouth
daluena,47_tooth
praluena,46_tongue
pitale,163_laugh
taŋ,164_cry
milua,178_vomit
plasir,154_spit
kinana,151_eat
kul,464_to_chew
mijuarkap,188_cook
mun,152_drink
kanja,212_to_bite
prea,448_suck
kiliŋgana,44_ear
mloŋge,161_hear
klamarana,42_eye
mal,160_see
tekaholo,153_yawn
momalio,156_sleep
mⁿormono,144_liedown
moninija,155_dream
totano ,142_sit
sumal,141_stand
jar,306_person
jerumɛn,73_man
sira,74_woman
ninⁿsisi,75_child
wohu napa jerumɛn,79_husband
wohu napa sira,80_wife
ana:,77_mother
ata:,78_father
juma,111_house
maero,455_thatch
senaki,76_name
osa,182_say
kilka,112_rope
jar marera,179_tieup
suluaria,167_sew
milajau,173_hunt
viʰija,189_shoot
miolja,184_stab
panea,169_hit
pinaunja,186_steal
memarea,159_kill
mare,158_die
mal,157_live
kuparia,183_scratch
tea,170_cut
laki,107_wood
lepaja,171_split
mal,121_sharp
map,122_bluntdull
mimae,190_work
mapla,187_plant
pawewe,465_to_choose
mapla,302_to_grow
sirop,181_swell
pan᷈a,180_squeeze
taraja,174_hold
kilija,172_dig
pulja,185_buy
petawa,191_open
mumeja,168_pound
kuanua,149_throw
mnoru,143_fall
lokul,60_dog
manᵘ,61_bird
kukulus,69_egg
wilulus,72_feather
kupena,71_wing
ka,148_flyverb
kave,66_rat
ta:ta,336_meat
mapa,258_fat
kesina,70_tail
lomara,63_snake
kular,64_worm
ku:r,65_louse
nam,68_mosquito
koromalil,67_spider
ika,62_fish
kona,130_rotten
korowas,105_branch
mak,106_leaf
penas,104_root
mewe,109_flower
prasa / pralaki,102_fruit
memeni,108_grass
porotano,93_earthsoil
klawar,92_stone
none,95_sand
wi:,86_water
wi:mⁱlao,286_flow
siwe,88_sea
la:pa,87_lake
sinen/jumaruwa,103_woodsforest
sinapa,85_sky
kupario,83_moon
werue,84_star
lu:l,97_cloud
lu:l,340_fog
juwa,96_rain
po:lil,99_thunder
po:lil,100_lightning
laŋ,98_wind
juja,165_blow
pisun,483_hot
manin,134_cold
mema,135_dry
pa:pa,136_wet
urmi,131_heavy
kap,89_fire
kekanja,166_burn
piju,90_smoke
sinokop,91_ash
malko,114_black
miwowo,115_white
mener,116_red
mlɛr,118_yellow
memeja,117_green
tokak,120_small
pawa,119_big
plas,426_short
piau,328_long
meninjo,457_thin
merorol,456_thick
tokak,359_narrow
kevju,489_wide
manika,125_painfulsick
ᵐblaja,125_painfulsick
mawa,123_shyashamed
urumarowa,124_old
uruwiju,137_new
po,126_good
piwa,127_bad
mesmes,128_correcttrue
kolemalko,82_night
jɛmlaŋ,81_day
kas,15_year
auraja,33_when
milawan᷈a,150_hide
puju,146_climb
to,202_at
loahima,39_ininside
mitawa,37_above
vatano,38_below
nanene,35_this
naŋgarne,36_that
lavis,133_near
pe,32_where
inu,18_i
ko,23_thou
naŋga,26_heshe
ita,22_weallincl
mimi,19_weallexcl
iⁿdalua,20_webothincl
mimlua,21_webothexcl
la:la,27_theyall
la:lua,28_theyboth
janenre,30_what
aji,31_who
tapena,138_other
surpuŋa,195_all
amjo,199_and
sanape,311_if
pera,34_how
aunoja,29_nonot
taŋga,176_count
lua,1_one
telu,2_two
limana,6_six
pa mʷɛl,7_seven
pa maroa,8_eight
laŋga,9_nine
mial,10_ten
ᵐbrapa,11_twenty
pimi,12_fifty
blon᷈a,13_onehundred
kul,14_onethousand
