Ctlnalembanasawa,English Translation
tuwale,1_one
rua,2_two
tol,3_three
ɸat,4_four
teβelma,5_five
letβʷale,6_six
leβrua,7_seven
leβtol,8_eight
liβat,9_nine
saŋaβəl,10_ten
saŋaβəlrua,11_twenty
saŋaβəltebelma,12_fifty
mʷelⁿdol,13_onehundred
tar,14_onethousand
ⁿdam,15_year
matua,16_right
mɛr,17_left
mer,17_left
nu,18_i
ᵑɡimiŋa,19_weallexcl
xɪⁿdaruak,20_webothincl
ᵑɡimiruak,21_webothexcl
xɪ̥ⁿdaŋa,22_weallincl
niᵑɡo,23_thou
ᵑɡamruak,24_youboth
ᵑɡamŋa,25_youall
xia,26_heshe
xrana,27_theyall
raβrua,28_theyboth
ewe,29_nonot
saβa,30_what
isi,31_who
jaᵐbɛ,32_where
saβataro,33_when
xasnak̚,34_how
toɣaja,35_this
toβano,36_that
jalna,37_above
laβak,38_below
lalox,39_ininside
ᵐbʷat,40_head
ul,41_hair
mata,42_eye
xans,43_nose
ᵐboro,44_ear
ɸʷaŋ,45_mouth
ɸʷa,45_mouth
luame,46_tongue
luwo,47_tooth
ləma,48_hand
lma,48_hand
təᵐbʷaŋ,49_shoulder
tmbʷa,49_shoulder
trxoaŋ,50_neck
tərxoaŋ,50_neck
taɣən,51_back
ᵑɡarŋ,52_leg
ⁿdi,53_blood
si,54_bone
fən,55_skin
taŋaŋ,56_belly
t̚nai,57_intestines
susu,58_breast
fara,59_liver
mʷariu,60_dog
man,61_bird
mas,62_fish
mʷaɣata,63_snake
slate,64_worm
mʷan,65_louse
xarəβ,66_rat
taka,67_spider
taxa,67_spider
nam,68_mosquito
ɸua,69_egg
xolok,70_tail
ᵐbanɐk̚,71_wing
ulək,72_feather
ulk,72_feather
tat,73_man
ɸaβne,74_woman
mʷera,75_child
sa,76_name
ᵐbotai,77_mother
tata,78_father
tamarasmʷa,79_husband
ranatəŋ,80_wife
ran,81_day
ᵐbʷoŋ,82_night
ɸula,83_moon
ɸəla,83_moon
ɸitiu,84_star
taelaŋ,85_sky
wi:,86_water
təm,87_lake
tas,88_sea
jaβ,89_fire
jas,90_smoke
ᵑɡaβ,91_ash
ɸat,92_stone
tano,93_earthsoil
ᵑɡaβ,94_dust
unɛ,95_sand
use,96_rain
taetae,97_cloud
laŋ,98_wind
manβara,99_thunder
fla,100_lightning
ɸla,100_lightning
ɸasɣo,101_meatflesh
ɸasxo,101_meatflesh
ɸʷiɐk,102_fruit
tamatua,103_woodsforest
xoarək,104_root
raŋak,105_branch
ⁿduk,106_leaf
xaɪ,107_wood
ɸalɪs,108_grass
frak,109_flower
ⁿdu,110_thatchroof
imʷa,111_house
xaʊ,112_rope
sala,113_roadpath
maito,114_black
ɸʷas,115_white
memea,116_red
ᵐbʷaroɣa,117_green
janoɣa,118_yellow
xaiβua,119_big
riŋriŋ,120_small
mataɣan,121_sharp
ᵐbʷatola,122_bluntdull
maxmaɣan,123_shyashamed
monɣa,124_old
xaɣaⁿdɪr,125_painfulsick
xare,126_good
sɐt,127_bad
liβʲak,128_correcttrue
saŋora,129_dirty
ᵐboᵐboɣa,130_rotten
ⁿdem,131_heavy
toβa:no,132_far
toɡaᵑɡaran,133_near
xamʷaⁿdən,134_cold
raraᵑɡa,135_dry
samʷale,136_wet
xaraᵐbʷeɣa,137_new
xaruak,138_other
vani,139_come
laxo,140_walk
ᵐberᵐberɣa,141_stand
mam,142_sit
mʷalua,143_fall
weno,144_liedown
rɪsək,145_turn
ᵑɡalo,146_climb
ᵑɡar,147_swim
xaβa,148_flyverb
ᵐbʷalek,149_throw
səlβak,150_hide
xanxan,151_eat
mɪn,152_drink
momoaβa,153_yawn
fra,154_spit
matɪr_ᵐbʷere,155_dream
matɪr,156_sleep
mʷaso,157_live
mate,158_die
wasɸaɣa_mate,159_kill
lɛ,160_see
roŋo,161_hear
ᵐbən,162_sniffsmell
mana,163_laugh
ŋara,164_cry
sere,165_blow
mʷaβ,166_burn
maβ,166_burn
ɸat_təɣər,167_sew
raᵐba,168_pound
was,169_hit
teβe,170_cut
ⁿdaraɸʷaɣa,171_split
xəl,172_dig
sasalek̚,173_hunt
tor,174_hold
matak,175_fear
ɸəlæŋ,176_count
ɸɔlaŋ,176_count
reβenamams,177_breathe
lulua,178_vomit
ɸəⁿdək,179_tieup
ɸɪⁿdɛk,179_tieup
ɸɪrsak,180_squeeze
ɸərsak,180_squeeze
rɪɣa,181_swell
ɸeβe,182_say
taᵑɡar,183_scratch
səs,184_stab
ɸʷol,185_buy
ᵐbal,186_steal
rəβ,187_plant
tən,188_cook
ɸene,189_shoot
roᵐba,190_work
tala,191_open
