Nesetanmial,English Translation
-saɣal,1_one
-ru,2_two
-til,3_three
-vat,4_four
-line,5_five
-ɣon,6_six
-ɣoⁿdit,7_seven
-ɣoal,8_eight
-ɣɛsβe,9_nine
-saŋavil,10_ten
wovil_ru,11_twenty
wovul_nɛ,12_fifty
wov_saŋavil,13_onehundred
na-ram,15_year
nɛ-tuam,16_right
na-maer,17_left
xena,18_i
kanan,19_weallexcl
nakr_ɪru,20_webothincl
kananru,21_webothexcl
nɛkre,22_weallincl
ɣunox,23_thou
kani_ru,24_youboth
kani,25_youall
ɣai,26_heshe
xar,27_theyall
xar_iru,28_theyboth
siɣa,29_nonot
nɛse,30_what
ise,31_who
ande,32_where
sɛvɛl,33_when
-vɛrse,34_how
ɛɣeɣe,35_this
ɣaɣe,36_that
-maro,37_above
ieɣe,38_below
-lalon,39_ininside
na-ᵐbat,40_head
nɪ-vulo-n,41_hair
na-nata-n,42_eye
no-gus,43_nose
no-ᵐboro-n,44_ear
no-ʧuŋo-n,45_mouth
nɛnɛ-n,46_tongue
nɛ-luvo-n,47_tooth
na-vaɾa-n,48_hand
nɛ-ᵐbil,49_shoulder
na-salɣa-n,50_neck
no-ᵐbʊ-x,51_back
na-malɛ-n,52_leg
na-re,53_blood
t͡si-,54_bone
nɪ-vulo-n,55_skin
nɪ-sinɛ-n,56_belly
ⁿt͡ʃɪnɪn,57_intestines
na-sus,58_breast
ni-viri,60_dog
na-nanɣo,61_bird
na-nat͡s,62_fish
na-mat,63_snake
na-ɣut,65_louse
na-ɣariɸ,66_rat
ᵐbotlas,67_spider
namɣɔ,68_mosquito
nu-rul-ne,69_egg
nɛ-vɛlɣau-ne,70_tail
na-ɣuᵐbɛ-n,71_wing
nɛvulon,72_feather
nɛ-mɛrte,73_man
tavat,74_woman
ⁿdipʷis,75_child
nɛŋ,76_name
ⁿdeβe,77_mother
tɛte,78_father
naume,79_husband
nau-k,80_wife
na-ran,81_day
ᵐbun,82_night
na-βle,83_moon
no-vovor,84_star
ᵐbeknaran,85_sky
nu-a,86_water
na-leᵐb,87_lake
na-tas,88_sea
na-ɣan,89_fire
ni-ɛsias,90_smoke
ⁿdev_na-ɣan,91_ash
na-ðat,92_stone
na-tan,93_earthsoil
naf,94_dust
na-hon,95_sand
na-use,96_rain
na-ror,97_cloud
na-laŋ,98_wind
na-kur,99_thunder
nɪ-vilax,100_lightning
tɪᵐbʊnbʊ-n,101_meatflesh
nɪvoɣa,102_fruit
na-vorɣa,103_woodsforest
naxaron,104_root
na-raŋa-n,105_branch
no-roɣa,106_leaf
na-ɣa,107_wood
na-tan,108_grass
no-riat,110_thatchroof
na-ine,111_house
na-narte,112_rope
na-sal,113_roadpath
-mot,114_black
-vusɔ,115_white
-nial,116_red
xat͡ʃɛn,117_green
-mɪlæx,118_yellow
-laⁿdlan,119_big
-vɪlvɪle,120_small
-mon,121_sharp
-ᵐbatot,122_bluntdull
-nuɣonɣan,123_shyashamed
-mɛrʧe,124_old
-roʧ,125_painfulsick
-nakis,126_good
-sat,127_bad
-varatɪne,128_correcttrue
-loŋ,129_dirty
-momo,130_rotten
-roɸ,131_heavy
-luɣsa,132_far
-ʒɪsɛri,133_near
nɛ-mɛlɣas,134_cold
na-raŋ,135_dry
-ninin,136_wet
-ᵐbar,137_new
-mã,139_come
-vial,140_walk
-tuɾɔ,141_stand
i-at,142_sit
-ʧoɸ,143_fall
-ᵐbosi,145_turn
-sax,146_climb
-suvɔ,147_swim
-tasix,148_flyverb
-vrɛni,149_throw
-vitɛsoni,150_hide
-wor,151_eat
no-mu,152_drink
-nanaɸ,153_yawn
-livte,154_spit
natur_ᵐborᵐbor,155_dream
-natur,156_sleep
-noruvo,157_live
-nas,158_die
-ruᵐbu-nas,159_kill
-la,160_see
-roŋɔ,161_hear
-ᵐbon,162_sniffsmell
-ŋir,163_laugh
-ŋar,164_cry
-sirt͡sir,165_blow
sul,166_burn
-rori,167_sew
-ruᵐbruᵐbu,168_pound
-ruᵐbu,169_hit
-siⁿde,170_cut
-ⁿdari,171_split
-xili,172_dig
-xorxor,173_hunt
-vorsu,174_hold
-luɣɔ,175_fear
sirte,176_count
ɛ-vna-laŋ,177_breathe
-lulu,178_vomit
-mɪlʧi,179_tieup
wis,180_squeeze
vuvun,181_swell
-vari,182_say
-koʧ,183_scratch
sari,184_stab
-vare,185_buy
-vanaɣe,186_steal
-ruvu,187_plant
-lue,189_shoot
-saxsax,190_work
ware,191_open
