Tiraxbotmelesnial,English Translation
i-ɣal,1_one
i-ru,2_two
i-til,3_three
i-vat,4_four
i-lin,5_five
i-ɣoɛn,6_six
i-gendit,7_seven
i-gɛwɛl,8_eight
i-gesiv,9_nine
i-hiŋavil,10_ten
i-ŋovil_i-ru,11_twenty
i-ŋov_i-lin,12_fifty
i-ŋo_siŋavil,13_onehundred
kaka,15_year
matu,16_right
majɾe,17_left
xono,18_i
knɛn,19_weallexcl
knɛn_aru,21_webothexcl
nox,23_thou
kɛni,25_youall
xain,26_heshe
xair,27_theyall
xair_iru,28_theyboth
i-hiŋe,29_nonot
haxa,30_what
hena,31_who
hande,32_where
hɪ-ⁿdlahaɣa,34_how
xuwe,36_that
-linha,37_above
-nɛlvɛnan,38_below
-lalɛn,39_ininside
ᵐbati-k,40_head
vlɛ-n,41_hair
vlɛ-n_ᵐbati-k,41_hair
məta-k,42_eye
guhu-k,43_nose
ⁿdʳɛlɪŋa-ŋ,44_ear
soŋo-ŋ,45_mouth
nɛ-nɛ-ŋ,46_tongue
lɪvo-k,47_tooth
fra-r,48_hand
betik_ᵐboho-vra-k,49_shoulder
ᵐbetig-ⁿdʳalɪ-k,50_neck
taho-k,51_back
male-,52_leg
na-ⁿdʳe,53_blood
su-,54_bone
vlɛ-k,55_skin
ᵐbaɣi-k,56_belly
hɛnɛ-k,57_intestines
ne-suso-k,58_breast
sal_lalɛ-k,59_liver
liⁿdax,60_dog
nas,62_fish
nə-mat,63_snake
vɪlɛslɛs,64_worm
na-ɣut,65_louse
na-ɣariv,66_rat
ne-la,67_spider
na-mux,68_mosquito
ⁿdʳul-na-n,69_egg
balaɣa-n,70_tail
fəle-na-n,72_feather
vinaⁿdʳ,74_woman
tɛᵐbiᵐbi,75_child
ⁿdɪⁿde_ho-k,77_mother
tate-ho-k,78_father
mʷorti_ho-k,79_husband
vinaⁿdʳ_ho-k,80_wife
no-tərɛn,81_day
laᵐbun,82_night
na-vil,83_moon
vivor,84_star
ⁿdakran,85_sky
nu-ã,86_water
nanɪⁿd,87_lake
ⁿtah,88_sea
ha-ⁿd,89_fire
ha-ⁿd_ɣan,89_fire
ᵐbɪtɪv,91_ash
nə-vat,92_stone
ⁿtan,93_earthsoil
bitiɸ,94_dust
na-wɛn,95_sand
na-u,96_rain
ⁿdakran,97_cloud
nɪ-laŋ,98_wind
ᵐbetᵐbetekur,99_thunder
vlax,100_lightning
nɛ-ɣoɸ,101_meatflesh
na-voŋa,102_fruit
na-voŋa_na-ɣa,102_fruit
ⁿdʳoxotɛra,103_woodsforest
lɪᵐba-na-n,104_root
roxa-na-n,106_leaf
na-ɣa,107_wood
na-nih,108_grass
loklok,109_flower
ni-at,110_thatchroof
nain,111_house
na-rit,112_rope
na-hal,113_roadpath
i-nɛt,114_black
i-vuh,115_white
i-nial,116_red
i-rasraɣsan,117_green
iməɣɛl,118_yellow
i-laⁿdlaⁿd,119_big
i-ᵐbiʰ,120_small
i-mon,121_sharp
i-ᵐbatot,122_bluntdull
i-naɣan,123_shyashamed
i-tərtəra,124_old
i-ros,125_painfulsick
i-nam,126_good
i-hat,127_bad
ho-voratin,128_correcttrue
-ⁿdʳɪvⁿdʳɪv,130_rotten
i-ⁿdʳoɸ,131_heavy
hawe,132_far
-xəriɸ,133_near
-nalɣa,134_cold
i-nena,135_dry
i-wair,136_wet
mɪⁿdʳax,137_new
-mɛ,139_come
ho-vial,140_walk
nɪ-tur,141_stand
ni-at,142_sit
i-soɸ,143_fall
-netur_tugun,144_liedown
-ⁿdʳori,145_turn
ᵐba-hɛx,146_climb
-huɸ,147_swim
i-ɣaɣand,148_flyverb
-sɛregi,149_throw
-tahowugi,150_hide
nu-wɛⁿdʳ,151_eat
-ni,152_drink
-ni_nua,152_drink
nɪ-mamaɸ,153_yawn
-ⁿdi,154_spit
ᵐburᵐbur,155_dream
-netur_ᵐburᵐbur,155_dream
-netur,156_sleep
-seliɸ,157_live
hinɛʰ,158_die
nɪ-li,160_see
ne-vtin,162_sniffsmell
na-ɣaur,163_laugh
-ŋarə,164_cry
i-hir,165_blow
ᵐba-ⁿdʳuri,167_sew
-ruᵐbruᵐbi,168_pound
-ruᵐbi,169_hit
ᵐba-tɛvɣahi,171_split
-levi,172_dig
hu-tuwuni,174_hold
-mtagit,175_fear
ᵐba-siᵐbegi,176_count
ne-vɪn-laŋ,177_breathe
-lu,178_vomit
ᵐba-miʧi,179_tieup
i-hol,181_swell
-kuskosi,183_scratch
ᵐba-voli,185_buy
vnaɣe,186_steal
-nlaɸ,187_plant
n-titin,188_cook
ᵐba-fini,189_shoot
-ⁿdah,190_work
-təɣahi,191_open
