Lepa,English Translation
limana,48_hand
mwɛl,17_left
marua,16_right
lana,52_leg
miaːl,140_walk
raːpa,113_roadpath
ojmi,139_come
ojinomoj,145_turn
ɔkul,147_swim
tanraj,129_dirty
suluaj,94_dust
kulusia,55_skin
masuna,51_back
mopona,444_stomach
purijuna,54_bone
snena,57_intestines
puriari,59_liver
rajuna,58_breast
mɛlkina,49_shoulder
nakilijaena,315_know_understand
naŋga stomja,458_to_think
marao,175_fear
taː,53_blood
paŋga,40_head
mɛlkina,50_neck
wilupala,41_hair
kununa,43_nose
mije,177_breathe
lopoña,434_sniff
kaoŋgona,45_mouth
raluela,47_tooth
purumenena,46_tongue
taŋgi,163_laugh
pitaʰale,164_cry
lualua,178_vomit
puli,154_spit
kinaːla,151_eat
karija,464_to_chew
praoŋkap,188_cook
muña,152_drink
kananuvuela,212_to_bite
lijaː,448_suck
kiliŋgana,44_ear
loŋgea,161_hear
komarena,42_eye
malija,160_see
miɛloaj,153_yawn
momaljo,156_sleep
mono,144_liedown
muninia,155_dream
totono,142_sit
sumalu,141_stand
japtaːaj,306_person
joririna,73_man
sira,74_woman
sisi,75_child
ɔna,79_husband
ɔʰu,80_wife
aʷija,77_mother
taːta,78_father
juma,111_house
majro,455_thatch
saŋki,76_name
naŋga visa,182_say
kilika,112_rope
oʰijar,179_tieup
olidia,167_sew
lamaŋ,173_hunt
ʷɛnja,189_shoot
ojuria,184_stab
oweha,169_hit
owemaria,186_steal
oweha,159_kill
ᵐlare,158_die
ᵐlaʰal,157_live
okuparia,183_scratch
tea,170_cut
laːki,107_wood
tepaja,171_split
maːal,121_sharp
mawa,122_bluntdull
ojmaʰe,190_work
omapla,187_plant
karɔk,302_to_grow
sirɔp,181_swell
owaria,180_squeeze
kumaria,174_hold
okilija,172_dig
olija,185_buy
ohikeha,191_open
oweja,168_pound
okoɛndowa,149_throw
miloru,143_fall
lokuli,60_dog
manu,61_bird
kɔlukuto,69_egg
wilusia,72_feather
kupena,71_wing
ka,148_flyverb
kawe,66_rat
kuʋio,336_meat
mĭlapa,258_fat
kila,70_tail
lomara,63_snake
kular,64_worm
kuru,65_louse
namu,68_mosquito
koromalil,67_spider
ika,62_fish
ⁿdera,130_rotten
korowasia,105_branch
masia,106_leaf
pulɛŋgasia,104_root
memasia,109_flower
rasia,102_fruit
mamʷeni,108_grass
sowetano,93_earthsoil
klaʋɛr,92_stone
noːn,95_sand
wi,86_water
wi kiri,286_flow
si,88_sea
si,419_salt
ᵐlapa,87_lake
juːmaruwa,103_woodsforest
kupario,83_moon
ʷeruʷe,84_star
maluko,97_cloud
polul,340_fog
juwa,96_rain
polul,99_thunder
jokarpila,100_lightning
laŋgⁱ,98_wind
juwo,165_blow
mema,135_dry
meme,136_wet
urumi,131_heavy
kap,89_fire
kekania,166_burn
kap piju,90_smoke
supulujaj,91_ash
malko,114_black
miwowo,115_white
pilili,116_red
mĭleɛr,118_yellow
memeʰije,117_green
etakis,120_small
pawa,119_big
plaːsia,426_short
piʰaj,328_long
menineə,457_thin
merorɔl,456_thick
mimaːria,359_narrow
pikaʋaja,489_wide
manika,125_painfulsick
mawe,123_shyashamed
urumarua,124_old
uruʋijo,137_new
poŋgenaj,126_good
po merua,127_bad
mɛsmɛs,128_correcttrue
lɔmaluko,82_night
jɛmaja,81_day
kaːstaj,15_year
poŋgiaj,33_when
opuña,146_climb
lohohima,39_ininside
maha,37_above
jaːteno,38_below
kiloloha,35_this
naːnaŋgarne,36_that
laʷisa,133_near
na:naŋgarnu,132_far
pe,32_where
nu,18_i
ko,23_thou
naŋga,26_heshe
ita,22_weallincl
mimĭ,19_weallexcl
iⁿdalua,20_webothincl
milua,21_webothexcl
amjulua,25_youall
amjulua,24_youboth
la:alal,27_theyall
la:luano,28_theyboth
jane,30_what
jaːno,31_who
nataŋane,138_other
isʰae,311_if
koᵐseʋe,34_how
pɔlŭ,29_nonot
aʰunŭja,176_count
taŋga,1_one
lua,2_two
telu,3_three
jari,4_four
lima,5_five
orɑj,6_six
olua,7_seven
orɛl,8_eight
ovari,9_nine
lualima,10_ten
dolu lua,11_twenty
doluorɑj,12_fifty
ponotia taŋga,13_onehundred
