Naahaimbatvanui,English Translation
i-tɛx,1_one
i-ru,2_two
i-tʉl,3_three
i-vas,4_four
i-lim,5_five
iraa-tɛx,6_six
iraa-ru,7_seven
raa-tʉl,8_eight
raa-vas,9_nine
-laŋvul,10_ten
namaratin_i-tɛx,11_twenty
namaratin_i-ru_noornan_i-laŋvul,12_fifty
namaritin_i-lim,13_onehundred
nɛ-teo,15_year
ᵐbaraŋin,16_right
ⁿdal-mʷir,17_left
ᵑgina,18_i
matʉl,19_weallexcl
ⁿdaru,20_webothincl
maru,21_webothexcl
ⁿdatʉl,22_weallincl
aiunk,23_thou
amʷil,24_youboth
amuru,25_youall
ai,26_heshe
ral,27_theyall
raru,28_theyboth
awah,29_nonot
nahai,30_what
ahɛn,31_who
ambɛʰ,32_where
matanial,33_when
i-vare,34_how
aiᵐbʷah,35_this
aiᵐbʷajaŋ,36_that
-livʷanmahap,37_above
salvʉn,38_below
-lʊnmʉšʉn,39_ininside
na-ᵐbati-n,40_head
no-ɣoswul,41_hair
na-mata-n,42_eye
nɪ-ᵑginhu-n,43_nose
ⁿdalɪŋa-n,44_ear
no-ᵐboɣo-n,45_mouth
na-malavmi-n,46_tongue
ni-liwo-n,47_tooth
na-vara-n,48_hand
na-ᵐbatɣavʷa-n,49_shoulder
nɪ-ⁿdəlʊ-n,50_neck
na-taɣu-n,51_back
ni-ᵐbulɛ-n,52_leg
næ-ⁿda,53_blood
niᵐbulᵐʙul,54_bone
no-olʃi-n,55_skin
naᵐbavu-n,56_belly
ni-sini-n,57_intestines
ni-šušu-n,58_breast
na-mamb,59_liver
ni-kileu,60_dog
na-man,61_bird
na-mahal,62_fish
na-mat,63_snake
nu-ⁿdulas,64_worm
nu-ɣut,65_louse
na-ɣahup,66_rat
nɪ-ŋɛŋeo,67_spider
nɛ-teoɣas,68_mosquito
na-manlɛ_nto,69_egg
ni-ᵐʙusin,70_tail
na-ɣaᵐba-n,71_wing
no-ᵐbonᵐbo-n,72_feather
ᵐbaᵐbariŋin,73_man
vin_aiwut,74_woman
ni-ᵐbunoŋ,75_child
na-aha-n,76_name
ivhina-nia-n,77_mother
niptama-nia-n,78_father
na-aiwut,79_husband
han,80_wife
lɛrɛŋ,81_day
lipat,82_night
ni-vʉl,83_moon
no-mʷɔsoi,84_star
no-oi,86_water
no-oi_ⁿdalⁿdal,87_lake
na-tas,88_sea
na-ɣamb,89_fire
i-tuŋk,90_smoke
mʷoʃun_ɣamb,91_ash
na-vat,92_stone
na-tan,93_earthsoil
ni-ap,94_dust
ni-ᵐbinon,95_sand
nu-uh,96_rain
na-maliŋ,97_cloud
nɛ-lɛŋ,98_wind
ni-pil,99_thunder
nu-ŋulum,100_lightning
ni-vuɣɔʰ,101_meatflesh
vʷan_ɣa-i,102_fruit
nɪ-ᵐʙunɣai,103_woodsforest
na-rara-n,104_root
na-ᵐbal,105_branch
ne-reun,106_leaf
na-ɣai,107_wood
nɪᵐʙun_mʷini,108_grass
nɪ-tavhɛ-n,109_flower
ni-at,110_thatchroof
nɛ-ɣeo,112_rope
na-hal,113_roadpath
i-mɛtmɪt,114_black
i-mavus,115_white
i-paŋpaŋ,116_red
i-aɣasan,117_green
i-lʉtlʉt,118_yellow
i-ᵐboᵐbo,119_big
-malaalax,120_small
i-kan,121_sharp
i-mah,122_bluntdull
-mamaɣan,123_shyashamed
-marlamb,124_old
-mɪhɛx,125_painfulsick
i-lɛh,126_good
i-hat,127_bad
i-ᵐbarəŋin,128_correcttrue
no-mʷolɔ,129_dirty
i-mom,130_rotten
i-ⁿdop,131_heavy
-sɛlɛ,132_far
-masaŋsaŋ,133_near
-malɣah,134_cold
-mahamah,135_dry
imʉsmʉs,136_wet
-veveo,137_new
ᵑga-mi,139_come
i-loŋ,140_walk
i-tur,141_stand
i-sumb,142_sit
i-ᵐbah,143_fall
-pas_ⁿdeo,144_liedown
pul-veɣis,145_turn
i-hax,146_climb
i-vʷɛmb,148_flyverb
i-komb,149_throw
-tɪtehɛx,150_hide
i-kan,151_eat
i-mʉn,152_drink
-momolɛn,153_yawn
i-pure,154_spit
ᵐbʷɛre,155_dream
i-pas,156_sleep
i-meur,157_live
i-mas,158_die
i-orᵐʙun,159_kill
i-lɪs,160_see
i-roŋ,161_hear
no-ᵐbʷon,162_sniffsmell
i-man,163_laugh
i-tɛŋ,164_cry
i-hup,165_blow
i-paŋ,166_burn
i-uras,168_pound
i-uras,169_hit
i-tiri,170_cut
-tarpor,171_split
i-ɣil,172_dig
i-sal,173_hunt
i-wurwor,174_hold
-matatah,175_fear
-ᵐbuliŋ,176_count
i-ŋarŋar,177_breathe
i-lulu,178_vomit
i-vit,179_tieup
i-porus,180_squeeze
i-timb,181_swell
i-pɛ,182_say
i-oiɣoi,183_scratch
i-tur,184_stab
i-pul,185_buy
i-vanax,186_steal
i-kor,187_plant
i-saŋ,188_cook
i-vini,189_shoot
i-rax,190_work
-sisivan,191_open
