Ssungagageavanbatai,English Translation
xaituale,1_one
xairua,2_two
xaitolu,3_three
xaiɸeti,4_four
xailima,5_five
xaiʲono,6_six
xaiᵐbitu,7_seven
xaiɸʷelu,8_eight
xaisiβʷo,9_nine
saŋaβulu,10_ten
ŋaβuluɣairua,11_twenty
ŋaβuluɣailima,12_fifty
ɸuⁿdolua,13_onehundred
ɸasaŋaβulu,14_onethousand
taulu,15_year
mʷetua,16_right
mʷerirɪ,17_left
neu,18_i
ᵑɡamai,19_weallexcl
xiⁿdaru,20_webothincl
ᵑɡamaruɣairua,21_webothexcl
xiⁿda,22_weallincl
niᵑɡo,23_thou
ᵑɡemiru,24_youboth
ᵑɡemiu,25_youall
xaia,26_heshe
xaira,27_theyall
xairua,28_theyboth
ᵐbʷelɪ,29_nonot
sãnã,30_what
isei,31_who
sei,31_who
jeᵐbe,32_where
saβataro,33_when
ɸeɣʊsiᵐbe,34_how
xaɣesiŋa,35_this
laɣⁱaβano,36_that
aulu,37_above
ɸaɸana,38_below
alolona,39_ininside
ᵐbʷatu,40_head
ɸulu,41_hair
mata,42_eye
xanisu,43_nose
ᵐbʷero,44_ear
ɸaɸʷa,45_mouth
mea,46_tongue
liɸʷo,47_tooth
liβo,47_tooth
limaʰ,48_hand
tiᵐbʷa,49_shoulder
mʷaxoro,50_neck
xanteɣu,51_back
ᵑɡaru,52_leg
ⁿdaɪ,53_blood
sui,54_bone
ɸinu,55_skin
taŋa,56_belly
tinaɪ,57_intestines
susu,58_breast
ɸara,59_liver
xiriu,60_dog
manʊ,61_bird
ixa,62_fish
mʷaɣata,63_snake
siloti,64_worm
xutu,65_louse
xariβi,66_rat
taxaxa,67_spider
namo,68_mosquito
toli,69_egg
xolo,70_tail
xaᵐbaʊ,71_wing
lalauna,72_feather
mʷera,73_man
ɸaβine,74_woman
maresu,75_child
ase,76_name
ᵐbou,77_mother
tata,78_father
asoaᵑɡu,79_husband
tasalaᵑɡu,80_wife
rani,81_day
ᵐbʷoŋi,82_night
ɸula,83_moon
ɸitiu,84_star
maβʷea,85_sky
waɪ,86_water
tumu,87_lake
tasi,88_sea
aɸi,89_fire
asu,90_smoke
tiᵑɡeβu,91_ash
ɸatu,92_stone
tano,93_earthsoil
tiᵑɡeβu,94_dust
one,95_sand
use,96_rain
ⁿdoⁿdo,97_cloud
laŋi,98_wind
mantaβʷa,99_thunder
ɸila,100_lightning
ᵐbixi,101_meatflesh
mʷatina,102_fruit
mʷatɛna,102_fruit
temetueɣi,103_woodsforest
xoarɪ,104_root
raŋana,105_branch
raʊ,106_leaf
xaɪ,107_wood
mʷanea,108_grass
ɸira,109_flower
rau_taŋɡure,110_thatchroof
imʷa,111_house
xao,112_rope
sala,113_roadpath
maɛto,114_black
maβuta,115_white
memea,116_red
ɣesana,117_green
aŋoɣa,118_yellow
xaiβua,119_big
ᵐbiti,120_small
maᵑɡeᵑɡeni,121_sharp
ᵐbʷatola,122_bluntdull
ᵐbusᵐbusi,123_shyashamed
muniɣi,124_old
xaxaratɪ,125_painfulsick
xarea,126_good
satɪɣi,127_bad
turuɣa,128_correcttrue
soŋora,129_dirty
ᵐboᵐboxa,130_rotten
mamaɸa,131_heavy
salaŋaɸa,132_far
salaŋaβa,132_far
ᵑɡaᵑɡarani,133_near
xamʷaⁿdiⁿdi,134_cold
ŋalaŋala,135_dry
ⁿdoβu,136_wet
xaraᵐbʷaɣi,137_new
ⁿdolua,138_other
ᵑɡoβanai,139_come
laxo,140_walk
matmeⁿdu,141_stand
noro,142_sit
soβi,143_fall
ɛno,144_liedown
eno,144_liedown
ɸaⁿdori,145_turn
ᵑɡalo,146_climb
xaxaru,147_swim
xaxa,148_flyverb
tulia,149_throw
silβeɣi,150_hide
xaxani,151_eat
minu̥,152_drink
mamao,153_yawn
loⁿdo,154_spit
ᵐbʷoᵐbʷore,155_dream
maturʊ,156_sleep
maturu,156_sleep
mʷaso,157_live
mate,158_die
wesɸaɣa_mate,159_kill
leo,160_see
roŋo,161_hear
ᵐbʷoni,162_sniffsmell
mana,163_laugh
ŋara,164_cry
laŋimʷasere,165_blow
mʷaɸʷi,166_burn
mʷaɸi,166_burn
lixo,167_sew
lamʷo,168_pound
wesi,169_hit
teβea,170_cut
taiβʷaɣai,171_split
xeli,172_dig
ruɣu,173_hunt
saᵑɡo,174_hold
mataɣu,175_fear
ᵐbʷiriᵐbʷiri,176_count
maᵐbu,177_breathe
lua,178_vomit
ɸaʊ,179_tieup
ɸoro,180_squeeze
susuri,181_swell
ɸeβe,182_say
taᵑɡari,183_scratch
susua,184_stab
ɸoli,185_buy
ᵐbalu,186_steal
riβu,187_plant
tutunu,188_cook
ɸene,189_shoot
roᵐbana,190_work
talaɛ,191_open
talaɪ,191_open
