Nititakhatbol,English Translation
saɣam,1_one
i-ru,2_two
i-tɬ,3_three
i-vas,4_four
i-lin,5_five
i-sos,6_six
-soru,7_seven
i-setl,8_eight
i-sauvas,9_nine
-naŋaβuʒ,10_ten
naŋaβul_i-ⁿdʳuman_iru,11_twenty
laŋaβul_i-ⁿdʳuman_i-lin,12_fifty
niᵑgat_saxamui,13_onehundred
nɛ-ⁿdam,15_year
barat-n,16_right
mʷɛr,17_left
ina,18_i
ᵑgitme,19_weallexcl
ᵑgitⁿda,22_weallincl
iox,23_thou
ᵑɡam,25_youall
ei,26_heshe
iɪⁿdʳ,27_theyall
ᵐbʷisiᵑɡɛn,29_nonot
nɛsəɣam,30_what
isik,31_who
aᵐbi,32_where
ⁿdʳaⁿdeᵐbi,33_when
itana,34_how
nisax,35_this
ateliᵑd,36_that
i-toɣaɣa,37_above
i-tolapan,38_below
saxᵐbuɣut,39_ininside
nɛ-ᵐbat-n,40_head
nɪvʷuⁿdinia,41_hair
nɛ-mɛta-n,42_eye
na-ɣaⁿt͡s,43_nose
ⁿdɪlɪŋ-,44_ear
nʊ-ᵐboŋo-n,45_mouth
ne-lmɛ-n,46_tongue
ni-liβu-n,47_tooth
nɛ-vɛra-n,48_hand
nɛ-ᵐbatevɛra-n,49_shoulder
nɛ-ⁿdɪla-n,50_neck
ne-ᵑkaðɛ-n,51_back
na-kɪdɛ-n,52_leg
nɛ-ⁿdʳe-an,53_blood
ᵐboloŋonia,54_bone
nu-ⁿdumaⁿdʳa-n,55_skin
nɛ-ⁿdɛmɪŋɛ-n,56_belly
nɪᵐʙurtania,57_intestines
na-sus,58_breast
na-kaᵐbuʒ,60_dog
nɛ-nan,61_bird
nɪ-βuniɛx,62_fish
ne-mat,63_snake
no-ᵑgoⁿdelas,64_worm
na-ɣut,65_louse
ᵐbɪsiᵐbox,66_rat
nɪ-kaka,67_spider
nɛ-togas,68_mosquito
no-ᵑgopʷi-n,69_egg
ᵐʙus-n,70_tail
nɪ-ᵐbʷia-n,71_wing
ni-ᵑguⁿdi-n,72_feather
nə-mʊɣʊte,73_man
nu-momox,74_woman
ni-tatilele,75_child
nɪ-kisa-n,76_name
nɪ-ⁿda-tɪna,77_mother
mama-tɪna,78_father
naɡatɪna,79_husband
atuvavu,80_wife
momotana,80_wife
ᵑguteran,81_day
bylɣat,82_night
na-vʉlᵗ,83_moon
nɪ-vʷɪnimɪsor,84_star
ne-laŋ,85_sky
ni-ox,86_water
nɪ-tusu,88_sea
na-xaᵐᴩ,89_fire
tɛltɛl,90_smoke
nɛ-vulau_na-ɣamb,91_ash
nɛ-vat˺,92_stone
nɪ-ᵐʙutan,93_earthsoil
nu-soᵑksoᵑk,94_dust
nɪ-βulisilas,95_sand
na-us,96_rain
nelaŋ,97_cloud
atuvavu,98_wind
nɛtᵑkar,98_wind
momo-tana,98_wind
naᵑkur,99_thunder
ilaŋax,100_lightning
nɪ-vʷa_na-ɣa,102_fruit
na-xatoɾo,103_woodsforest
ᵑgerue_na-ɣa,104_root
taboro_na-ɣa,105_branch
aru_na-ɣa,106_leaf
na-ɣa,107_wood
ni-soᵑkusoᵑk,108_grass
nɪ-vuᵑga_na-ɣa,109_flower
ni-at,110_thatchroof
na-xamal,111_house
no-ɣɔ,112_rope
ne-sal,113_roadpath
i-mɛt,114_black
i-oviov,115_white
i-mial,116_red
i-miⁿdalaɣenz,117_green
i-aŋiaŋ,118_yellow
ilaᵐbɛlaᵐb,119_big
ilɛle,120_small
-maŋal,121_sharp
i-ᵐʙiuk,122_bluntdull
i-ᵐbor,123_shyashamed
na-xarut,124_old
i-sal,125_painfulsick
i-ribik,126_good
i-is,127_bad
i-momo,130_rotten
i-maɸ,131_heavy
aⁿde_we_aⁿde,132_far
lile,133_near
nitɪᵑɡar,134_cold
nazmasi,135_dry
auti-miⁿda,136_wet
i-viva,137_new
u-vunɛl,139_come
i-vor,140_walk
i-turtur,141_stand
i-βorβor,142_sit
-ⁿdake_loðtan,143_fall
-ⁿdelvis,145_turn
i-sak_asur,146_climb
i-lumᵇlumᵇ,147_swim
ial,148_flyverb
i-ritudu,149_throw
i-solik,150_hide
-kan,151_eat
-mɪni_o,152_drink
nɪmaŋulal,153_yawn
i-ᴩre,154_spit
i-gitgit-ᵐbʳi,155_dream
i-matur,156_sleep
i-maur,157_live
i-mat,158_die
-te-oβʷoʁ,159_kill
iliterox,160_see
-paroŋi,161_hear
na-ᵐʙun,162_sniffsmell
i-rap,163_laugh
naŋar,164_cry
-ʋuhup,165_blow
i-aᵑk,166_burn
i-tete,168_pound
ar-tei,169_hit
i-te,170_cut
ar-teᵐʙur,171_split
ixil,172_dig
i-vuɾu,174_hold
nimɪtaxtax,175_fear
-ᵐʙulep˺,176_count
-ᵑgaβuŋap˺,177_breathe
naiox,178_vomit
erem,179_tieup
i-pʷuh,180_squeeze
i-ᵐʙur,181_swell
-ᵐbuta,182_say
isuvsuv,183_scratch
ar-suɣus,184_stab
-i-vuⁿd,185_buy
ati-vɪnokᵑgi,186_steal
i-lap˺,187_plant
ar-lu,189_shoot
at-ⁿmaᵑgar,190_work
i-səvam,191_open
