Neveeivinmavis2,English Translation
-sɛvax,1_one
i-ru,2_two
i-tɬ,3_three
i-va,4_four
i-lim,5_five
-t͡ʃou,6_six
-t͡ʃuru,7_seven
-t͡ʃutl,8_eight
-t͡ʃaaβa,9_nine
-ʊŋavʉl,10_ten
naŋavil_i-ru,11_twenty
naŋavil_i-lim,12_fifty
naŋat_sɛvax,13_onehundred
nɪ-saɣao,15_year
bʷɛraⁿdaŋ,16_right
mʷiːr,17_left
no,18_i
kɛmɛm-mama,19_weallexcl
ᵑgɛt-ⁿdʳu,20_webothincl
kɛt_mamah,22_weallincl
ᵑgu,23_thou
ᵑgɛm-ⁿdʳu,24_youboth
ᵑgɛm,25_youall
ii,26_heshe
ar,27_theyall
ar_iru,28_theyboth
ahau,29_nonot
nɪvɛe,30_what
ne,31_who
kiɛp,32_where
ⁿgɛⁿt͡san,33_when
mɪⁿdaŋ,34_how
ie,35_this
ioxoi,36_that
-raai,37_above
-revan,38_below
-boɣuð,39_ininside
nɛ-ᵐbʷat-n,40_head
na-aⁿt͡ʃilɛ-n,41_hair
nɛ-mɛta-n,42_eye
na-aⁿt͡ʃu-n,43_nose
na-ⁿdlaŋa-n,44_ear
nə-ᵐboŋo-n,45_mouth
nɛ-lɛmɛ-n,46_tongue
no-loβu-n,47_tooth
nɛvɛra,48_hand
nɛ-ᵐbatᵐbʷat,49_shoulder
ᵐbɛloa-n,50_neck
nɪ-taa-n,51_back
nɪtalun,52_leg
nɪ-ⁿdʳi,53_blood
no-ᵐbʷɔloŋ,54_bone
nɪ-vɪnɪ-n,55_skin
tɛmbʷaʔaa-n,56_belly
mʷumʷum,58_breast
nɛ-maᵐbu-n,59_liver
liᵐbax,60_dog
ni-min,61_bird
ni-jax,62_fish
nɛ-mat,63_snake
nu-ⁿt͡ʃula,64_worm
na-at,65_louse
nɛ-laᵐbut,66_rat
nɛtaal,67_spider
nɛ-nam,68_mosquito
na-aⁿdlɛ-n,69_egg
nɪ-ᵐbis-n,70_tail
na-avɛra-n,71_wing
na-aⁿt͡ʃilɛ-n,72_feather
nu-mʷur,73_man
no-momox,74_woman
na-ʔatitiː,75_child
nɛ-ᵑgɛⁿt͡ʃa-n,76_name
naŋ,77_mother
mamʷe,78_father
tɛnam-an,79_husband
no-otranian,81_day
ᵐbuŋ,82_night
naavil,83_moon
nɪ-mʷɪⁿt͡ʃi,84_star
nɛlaŋ_mɛt,85_sky
no-wi,86_water
nɛ-lɛm,87_lake
nɛ-tah,88_sea
na-am,89_fire
i-tal,90_smoke
ni-mišʉn,91_ash
nɛ-vat˺,92_stone
nɛˑ-tan,93_earthsoil
nɛ-lɛvʷatan,94_dust
no-wanowɛn,95_sand
no-us,96_rain
nɛ-laŋ,98_wind
no-wurwur,99_thunder
na-aβʷil_βʷilβʷil,100_lightning
na-asoɣo-n,101_meatflesh
nɛ-vʷanɛ-n,102_fruit
na-ʔa_iⁿdu,103_woodsforest
no-xora-n,104_root
ᵐbusura-n,105_branch
no-rou-n,106_leaf
na-ʔai,107_wood
nɪ-mʷɪni,108_grass
nɪ-ŋuun,109_flower
ni-at,110_thatchroof
ni-ɪm,111_house
na-ʔau,112_rope
nɛsal,113_roadpath
i-mɛt˺,114_black
-mavʷis,115_white
i-mial,116_red
i-ɣanⁿt͡ʃɣanⁿt͡ʃan,117_green
i-luluð,118_yellow
-nɛᵐbʷa,119_big
-ŋaŋaʔ,120_small
-maŋal,121_sharp
i-ⁿgot,122_bluntdull
-roŋol,123_shyashamed
-torɔ,124_old
-mɛsaʔ,125_painfulsick
irɛvʷax,126_good
i-moul,127_bad
-fɛraŋan,128_correcttrue
i-mum,130_rotten
i-map˺,131_heavy
-t͡ʃamʷa,132_far
-lili,133_near
-mɪlaah,134_cold
-mɛsɛmah,135_dry
i-wier,136_wet
-miⁿdimin,137_new
telimam,138_other
vʷɛlɛm,139_come
βaβu,140_walk
-tutur,141_stand
-maʔam,142_sit
i-wamᵇ,143_fall
-mæturⁿdo,144_liedown
βilih,145_turn
i-saʔaran,146_climb
-suβasuβ,147_swim
i-mɛraʔ,148_flyverb
-tɛmdɛmɛn,149_throw
-susuɛn,150_hide
na-ʔan-ian,151_eat
-mɪnmɪn,152_drink
nɛ-ᵐbʷari,155_dream
-mætuɾ,156_sleep
-moor,157_live
i-mah,158_die
i-ɣus-i-mah,159_kill
i-lɛh,160_see
i-roŋ,161_hear
-ŋaŋ,163_laugh
-taŋ,164_cry
iuxuɸ,165_blow
i-ɣau,166_burn
kɛ-lelax,167_sew
i-ɣusɣus,168_pound
i-ɣus,169_hit
i-tɛri,170_cut
i-ᵑgar,171_split
i-ɣal,172_dig
i-vuruh,174_hold
-mɛtaʔ,175_fear
-ⁿdoŋon,176_count
-ŋusŋus,177_breathe
i-oxəiox,178_vomit
-ᵑgu_toto,179_tieup
i-lɛlɛmᵇ,181_swell
kɛ-wari,182_say
i-ɣoɣor,183_scratch
i-ⁿdur,184_stab
i-βul,185_buy
i-luɸ,187_plant
i-tntn,188_cook
i-lu,189_shoot
i-ⁿt͡ʃaluŋ,191_open
