Xolimbwenelang,English Translation
-boɣol,1_one
i-ⁿdʳu,2_two
i-ⁿdil,3_three
i-ᵐbɛt͡s,4_four
i-lim,5_five
malov-tɛs,6_six
malov-ru,7_seven
malov-til,8_eight
malo-pi,9_nine
saŋavʊl,10_ten
nɛ-ⁿdɛm_boɣol,15_year
ho-ʧuᵐbɔ,16_right
ho-maɛr,17_left
inau,18_i
amɛⁿde,19_weallexcl
aⁿdaru,20_webothincl
aⁿdaruᵐbɛte,21_webothexcl
ⁿdete,22_weallincl
ɣaoŋ,23_thou
amuru,24_youboth
amuⁿde,25_youall
ɣaɛr,27_theyall
araru,28_theyboth
gobe,30_what
ɣasi,31_who
ambe,32_where
namurtoni,34_how
-lapoɣte,37_above
-fevaɣte,38_below
-laloɣum,39_ininside
nɛ-vulo-n_ᵐbati-m,41_hair
mɛtɛ-m,42_eye
na-wunʧu-m,43_nose
na-ɣarsɛ-m,44_ear
ᵐbaŋo-m,45_mouth
lɛmɛ-m,46_tongue
nɛ-lfa-m,47_tooth
n-vari-nd,48_hand
na-lavsu-m,49_shoulder
patʁ_toviŋam,50_neck
maⁿdi-nd,51_back
ne-lua-nd,52_leg
nɛ-ⁿdʳe,53_blood
ᵐbalaŋo-m,54_bone
no-loɣte,55_skin
no-ɣovtɛ-m,56_belly
na-martɛ-m,57_intestines
na-susu-m,58_breast
nɛ-ᵐbovsɛ-m,59_liver
no-kli,60_dog
nɪ-mɛn,61_bird
na-ix,62_fish
na-mat,63_snake
nɛ-ntuŋlit͡s,64_worm
na-ɣut,65_louse
ɣasuv,66_rat
tɪᵐbluŋɛŋau,67_spider
ne-nam,68_mosquito
minloɣ_te,69_egg
ᵑgari-n,70_tail
nɛ-nɣafɛ-n,71_wing
nɛ-vloɣ-te,72_feather
asmaŋ,73_man
taᵐbalux,74_woman
na-toɣtamare,75_child
na-ɣsɛ-m,76_name
anana,77_mother
atata,78_father
asmaŋ_ta-ŋo,79_husband
taᵐbalux_ta-ŋo,80_wife
diɛl,81_day
nautmirmɛr,82_night
ɣaᵐbaʧi,83_moon
mʷose,84_star
ne-maɸ,85_sky
no-ai,86_water
no-ᵐbluɣwai,87_lake
ne-tes,88_sea
na-ŋamb,89_fire
ᵐbaso_ɣamb,90_smoke
ni-mis_ɣamb,91_ash
nɛ-vɪt,92_stone
nɛ-tɛn,93_earthsoil
ⁿdaof,94_dust
ⁿtaᵐbawan,95_sand
na-us,96_rain
ᵐbaraᵐbar,97_cloud
ne-laŋ,98_wind
na-urvar,99_thunder
na-ᵐbil,100_lightning
nɛ-vsoŋoɣte,101_meatflesh
vanaɣte,102_fruit
nuvo_ⁿtoᵐbʷai,103_woodsforest
no-ɣoɣor-te,104_root
ᵐbasiɣ-te,105_branch
na-ɣarte,106_leaf
na-ɣai,107_wood
na-munwai,108_grass
nɛ-pɪnarte,109_flower
ni-et,110_thatchroof
na-im,111_house
no-ɣɔ,112_rope
gaɣovɛl,113_roadpath
i-mɛrmɛr,114_black
i-pux,115_white
i-ᵐbisᵐbis,116_red
-naɣaɣᵐbuɣun,117_green
i-ŋaŋ,118_yellow
i-laᵐbon,119_big
i-kakis,120_small
u-savi,121_sharp
ti-ᵐbʊx,122_bluntdull
i-mɪtax,123_shyashamed
i-ⁿdaramb,124_old
i-ᵐbo,126_good
i-samb,127_bad
i-paŋazi,128_correcttrue
i-mɛrmɛr,129_dirty
i-boboɣai,130_rotten
i-maranz,131_heavy
-tɛmnɛnz,132_far
alimorokon,133_near
i-susus,134_cold
i-memɛs,135_dry
i-ᵐbarox,136_wet
i-ᵐbovo,137_new
o-vume,139_come
o-vɛnɛvɛn,140_walk
u-tu,141_stand
u-non,142_sit
ti-lɛt,143_fall
u-sisla,144_liedown
o-tu,145_turn
u-sax,146_climb
o-lohloh,147_swim
i-marar,148_flyverb
u-ɣuᵐbani,149_throw
u-liŋsusuarni,150_hide
u-ɣan,151_eat
u-min,152_drink
u-ɣanmoŋ,153_yawn
u-vivre,154_spit
u-xavut_noᵐbor,155_dream
u-ɣavut,156_sleep
u-maur,157_live
u-mɪt͡s,158_die
u-ᵐbulas-ᵐbuni,159_kill
u-raŋɔ,161_hear
-ᵐboɣte,162_sniffsmell
u-mɛn,163_laugh
u-ⁿdaŋ,164_cry
i-ᵐbiᵐbil,165_blow
i-loŋ,166_burn
u-sali,167_sew
u-ᵐbalasi,168_pound
u-ᵐbulasi,169_hit
u-tai,170_cut
u-taiᵐbare,171_split
u-ɣaɣao,173_hunt
u-vusarin,174_hold
ni-metax,175_fear
ni-vuloŋi,176_count
u-rɪvɪne-laŋ,177_breathe
u-lu,178_vomit
u-ᵐbaŋsi,179_tieup
u-fasese,180_squeeze
u-tilaᵐbon,181_swell
u-vteni,182_say
u-xarxaro,183_scratch
u-sari,184_stab
u-ᵑgale,185_buy
u-fɪnaɣɔ,186_steal
u-foroni,187_plant
u-tamax,188_cook
u-vɛnei,189_shoot
u-um,190_work
u-vure,191_open
