Wowowowo,English Translation
-hual,1_one
-rue,2_two
-til,3_three
-ðat,4_four
-linɛ,5_five
-ɣon,6_six
-ɣondit,7_seven
-ɣoal,8_eight
-ɣeheve,9_nine
-haŋaðil,10_ten
novul_u-ɾue,11_twenty
noðilne,12_fifty
noðaŋaðil,13_onehundred
nu-huwað,15_year
na-matue,16_right
na-maiɾ,17_left
ɣina,18_i
lɛkɛre_rue,20_webothincl
lɛkɛre,22_weallincl
wunox,23_thou
kanbarue,24_youboth
kan,25_youall
ɣi,26_heshe
ɣaɾ,27_theyall
bihiɣa,29_nonot
naha,30_what
ihi,31_who
hande,32_where
tahaðe,33_when
vahara,34_how
hiŋis,35_this
-maro,37_above
-laloŋaðɛn,38_below
-lalalon,39_ininside
na-ᵐbatɪ-ne,40_head
niðil,41_hair
niðil_batɪ-ne,41_hair
na-nata-k,42_eye
nu-kunuhi-ne,43_nose
no-ᵐbororo-k,44_ear
nɛ-nɛnɛ-k,46_tongue
nu-luwo-k,47_tooth
na-rara-k,48_hand
nɛ-ᵐbilne,49_shoulder
nɪ-ᵐbɪtralo-n,50_neck
nɪ-soᵐbuna-n,51_back
na-ᵐbalako-k,52_leg
na-re,53_blood
ni-si-k,54_bone
ne-ʒil,55_skin
ne-ʒil_ʒilme,55_skin
ni-hinɪ-k,56_belly
nɛltɛgna-sə-ne,57_intestines
na-hu,58_breast
na-ᵐbɪ-m,59_liver
ni-viɾi,60_dog
na-nanɣo,61_bird
na-nas,62_fish
na-mat,63_snake
ne-vɪlɪsɪlas,64_worm
na-ɣut,65_louse
na-rið,66_rat
ne-la,67_spider
na-mɣɔ,68_mosquito
no-rul-nɛ,69_egg
na-valau-ne,70_tail
na-ⁿdɛ-n,71_wing
ni-ðil-muan,72_feather
nɛ-mɛrɛte,73_man
na-ðaðɛn,74_woman
nɛ-ʧimlax,75_child
na-haɣe,76_name
deðe,77_mother
tɛte,78_father
nɛ-hɛl_ha-n,79_husband
lɛktɛr_ha-n,80_wife
tiran,81_day
tuᵐbuŋ,82_night
na-vɪle,83_moon
no-wowoɾo,84_star
nɛ-ⁿdɛknaran,85_sky
no-a,86_water
na-lɛnd,87_lake
na-tah,88_sea
na-and,89_fire
nɛ-hɛ,90_smoke
nɛ-hɛ_na-nd,90_smoke
nɛ-ᵐbɛtmaɸ,91_ash
na-ðat,92_stone
na-tan,93_earthsoil
nɛ-ᵐbɛtmaɸ,94_dust
na-un,95_sand
na-hue,96_rain
no-ᵐboᵐboɾo,97_cloud
na-laŋ,98_wind
na-kuɾu,99_thunder
nɪ-ðilax,100_lightning
no-vʷowotɪ-ne,101_meatflesh
nɪ-wuax,102_fruit
no-voroa,103_woodsforest
na-laᵐbai-ne,104_root
na-raŋa-n,105_branch
no-ra,106_leaf
na-i,107_wood
na-nuh,108_grass
nɛ-riat,110_thatchroof
ne-me,111_house
na-narte,112_rope
na-hal,113_roadpath
tu-loŋ,114_black
ti-ᵐbiahavo,115_white
ti-nial,116_red
ti-ɣasan,117_green
ti-mɛlɛx,118_yellow
ti-lan,119_big
ti-vʷilvɛle,120_small
tu-mʷon,121_sharp
tɪ-noɣonɣan,123_shyashamed
nɛ-mɛrsean,124_old
tu-ros,125_painfulsick
ti-naki,126_good
ti-hat,127_bad
tɪ-vʷirtian,128_correcttrue
-loklox,129_dirty
tu-momo,130_rotten
tu-huroɸ,131_heavy
-luhuɣa,132_far
xor-horuð,133_near
-nanalah,134_cold
ti-nana,135_dry
ti-hinin,136_wet
ti-ᵐbar,137_new
-ma,139_come
-tia,140_walk
tu-toɾo,141_stand
ti-at,142_sit
tu-soð,143_fall
ho-ror,145_turn
ti-hax,146_climb
ti-tahix,148_flyverb
ho-vɛrɪn,149_throw
u-tehuwun,150_hide
tu-or,151_eat
tu-num,152_drink
ti-nanað,153_yawn
tu-lutuð,154_spit
poɾpoɾ,155_dream
ti-natuɾ_poɾpoɾ,155_dream
ti-natuɾ,156_sleep
ti-nɛvɘre,157_live
ti-na,158_die
tu-rum-vana,159_kill
ti-lɛ,160_see
tu-roŋɔ,161_hear
ho-ᵐbuno,162_sniffsmell
ti-ðaur,163_laugh
ti-ŋar,164_cry
ti-her,165_blow
-rur,167_sew
to-rumrum,168_pound
tu-rum,169_hit
ti-hinde,170_cut
ti-gil,172_dig
tu-xoroɾ,173_hunt
tu-vuɾu,174_hold
tu-luwɔ,175_fear
ho-hɛrtɪn,176_count
tu-lulue,178_vomit
ho-sal,179_tieup
ti-vihiɣin,180_squeeze
tu-wuwun,181_swell
ho-var,182_say
tu-koskos,183_scratch
ti-haɾa,184_stab
tu-wʊl,185_buy
ti-ðanaɣin,186_steal
tu-hurup,187_plant
tɪ-ðeax,190_work
