Eastern Suru Mwerani_Vanransini,English Translation
cibik,268_grandfather_paternal
tata,262_uncle_paternal_older
tata,280_uncle_paternal_younger
cibik,269_grandmother_paternal
wəwa,273_aunt_paternal_older
təta,78_father
wəwa,281_aunt_paternal_younger
cibik,298_grandfather_maternal
metsijak,346_uncle_maternal_older
dæcik,77_mother
ælowak ,351_first_cousin_male_maternal_aunt
ælowak ,343_first_cousin_male_maternal_uncle
cibik,299_grandmother_maternal
dæcik,347_aunt_maternal_older
dæcik,355_aunt_maternal_younger
ki:sak,373_brother_older
hocik,498_younger_sister
hocik,381_sister_older
nucuk,264_first_cousin_male_paternal_uncle
nucuk,263_first_cousin_female_paternal_uncle
tæta,277_first_cousin_male_paternal_aunt
wəwa,275_first_cousin_female_paternal_aunt
mæbik,343_first_cousin_male_maternal_uncle
mæbik,344_first_cousin_female_maternal_uncle
mæcijak,351_first_cousin_male_maternal_aunt
hocik,350_first_cousin_female_maternal_aunt
taslak,490_parents_in_law
bwali,261_father_in_law_of_woman
bwali,310_mother_in_law_of_woman
dancuk,80_wife
hoak,79_husband
bwali,235_daughter_in_law
mæbik,300_grandson_son
mæbik,296_granddaughter_son
nucuk,435_son
nucuk,234_daughter
mæbik,238_grandson_daughter
taslak,237_son_in_law
mæbik,236_granddaughter_daughter
nucuk,376_nephew_fraternal_older
ælowak ,375_niece_fraternal_older
ælowak ,500_niece_fraternal_younger
ælowak,506_nephew_sororal_younger
ælowak,385_nephew_sororal_older
ælowak,384_niece_sororal_older
ælowak,505_niece_sororal_younger
tæta,259_uncle_paternal
wəwa,274_aunt_paternal
mæcijak,342_uncle_maternal
dæcik,77_mother
kisak,499_younger_brother
bæle,1_one
kaɾu,2_two
katsil,3_three
kaɸet,4_four
kalim,5_five
lapale,6_six
læɨɾu,7_seven
læpt̚sil,8_eight
lapet,9_nine
tsaŋwul,10_ten
tsəŋlef nan bale,257_eleven
tsəŋlef nan kaɾu,477_twelve
tsəŋlef nan katsil,459_thirteen
tsəŋlef nan kafet,288_fourteen
tsəŋlef nan kalim,284_fifteen
tsəŋlef nan telapale,430_sixteen
tsəŋlef nan telæɨɾu,423_seventeen
tsəŋlef nan telæpt̚sil,255_eighteen
tsəŋlef nan telæpet,367_nineteen
ŋaul kaɾu,11_twenty
ŋaul katsil,460_thirty
ŋaul kaɸet,289_forty
ŋaul kalim,12_fifty
ŋaul telapale,431_sixty
ŋæul telæɨɾu,424_seventy
ŋæul telæpt̚sil,256_eighty
ŋæul telæpet,368_ninety
tewʉdəlu,13_onehundred
