Walapetreros,English Translation
-sa,1_one
ɔ-ru,2_two
ɛ-til,3_three
a-vʉt͡s,4_four
ɛ-lim,5_five
o-wɔn,6_six
ɛ-pʉt,7_seven
e-wil,8_eight
ɛ-siʉ,9_nine
asɪŋaβʉl,10_ten
oŋol_o-ru,11_twenty
oŋol_sɪŋavul,13_onehundred
sia,15_year
nɪ-matu,16_right
nɪ-mair,17_left
nio,18_i
kir,22_weallincl
nik,23_thou
kiami,25_youall
ni,26_heshe
mi-t͡sige,29_nonot
nɪsɛ,30_what
nɪsɛgo,30_what
sie,31_who
ahape,32_where
sʉeliŋ,33_when
ɛ-rvase,34_how
-mare,37_above
-atan,38_below
-olon,39_ininside
ᵐbatu-k,40_head
ron,41_hair
ron_batu-k,41_hair
nɛ-mtɛ-k,42_eye
ᵑgunsi-k,43_nose
ᵐboro-m,44_ear
ʧoŋo-k,45_mouth
næmɛk,46_tongue
ne-luo-k,47_tooth
na-βɛɾɛ,48_hand
ᵐbot͡sɛra-k,50_neck
ⁿdotɛrɛ-k,51_back
ᵐbəla-k,52_leg
ha-ra-k,53_blood
ʧi-k,54_bone
nɛ-vɪluvɪlu-n,55_skin
ⁿdəvai-k,56_belly
ʧinɛ-k,57_intestines
nɛ-su-k,58_breast
nɛ-rɛ-k,59_liver
ᵑgili,60_dog
nɪ-mɪn,61_bird
na-msal,62_fish
nɪ-mʷɛt,63_snake
ⁿdotu,64_worm
na-ot,65_louse
na-ariv,66_rat
ne-la,67_spider
nom,68_mosquito
rulu-n,69_egg
no-rororaɛ-n,70_tail
na-aᵐbɛ-n,71_wing
mowɛ-n,72_feather
noroman,73_man
nɪ-vsevin,74_woman
bɪbɛriŋ,75_child
ne-sɛ-m,76_name
mɛrɛ-k,77_mother
tɛte,78_father
ⁿdewɛn_sɛ-n,79_husband
lektɛr_sɪ-n,80_wife
na-atmʷirɪn,81_day
na-athubuŋ,82_night
na-vʉð,83_moon
nɪ-mɪt͡sʉ,84_star
ᵐbagrin,85_sky
nu-ɔ,86_water
ⁿdes,88_sea
na-mbə,89_fire
ne-sɪnin,90_smoke
na-vun,91_ash
nɪ-vɪd,92_stone
ⁿdan,93_earthsoil
ᵐbʷetimau,94_dust
no-wanan,95_sand
na-us,96_rain
na-roro,97_cloud
lɪŋ,98_wind
ᵐbɛləvɛre,99_thunder
na-vʉl_miwil,100_lightning
nɪ-viso-n,101_meatflesh
no-wain,102_fruit
ne-tara,103_woodsforest
lapʷɛ-n,104_root
reŋsin,105_branch
roin,106_leaf
na-i,107_wood
na-mus,108_grass
ni-at,110_thatchroof
na-im,111_house
ⁿdɪl,112_rope
nɪ-sɛlɛ,113_roadpath
mi-motmʊt,114_black
mi-wis,115_white
mi-vɛŋ,116_red
-namʉs,117_green
mi-aʧaʧɪn,118_yellow
mi-lɛp,119_big
mu-wɛlɛli,120_small
mu-so,121_sharp
mi-pato,122_bluntdull
mɪ-manun,123_shyashamed
mʷi-tara,124_old
mi-məse,125_painfulsick
mʷi-rɛs,126_good
mʷi-zɪʧ,127_bad
lavorotun,128_correcttrue
mɔ-porɔporo,129_dirty
mo-ro,131_heavy
-aso,132_far
-mori,133_near
-naməlas,134_cold
-mimɛs,135_dry
-mimim,136_wet
mi-mɛr,137_new
kue-me,139_come
ku-wɛl,140_walk
kumo-tuɾ,141_stand
kume-lik,142_sit
ku-rori,145_turn
kumə-za,146_climb
kue-loŋ,147_swim
mu-ro,148_flyverb
kumi-weʧi,149_throw
kume-silvani,150_hide
ma-in,151_eat
kumɛ-mini,152_drink
kume-nɪma,153_yawn
kumɛ-dʉ,154_spit
-ᵐburi,155_dream
ku-matuɾ,156_sleep
mi-mauro,157_live
mi-mɪt͡s,158_die
mʷi-rɛt͡s-vini,159_kill
kum-ore,161_hear
me-tɛn,162_sniffsmell
ku-mɛn,163_laugh
mɛ-tiŋ,164_cry
mi-rivriv,165_blow
mo-riri,167_sew
kuma-raʧaraʧi,168_pound
mʷi-rɛʧi,169_hit
mi-tai,170_cut
mi-rɛriri,171_split
mu-tartotoni,174_hold
nɪ-mɪtoh,175_fear
kuwɛ-ve,176_count
nɪ-maᵐbus,177_breathe
kumo-lu,178_vomit
ku-mʷɛlt͡si,179_tieup
mu-solɔ,181_swell
ku-worai,182_say
mo-rsi,183_scratch
mu-ʧuʧi,184_stab
kumo-wuli,185_buy
kuma-vana,186_steal
mo-ruwi,187_plant
koma-taβu,188_cook
mʷi-loe,189_shoot
mi-maʧiŋ,190_work
kuma-raʧi,191_open
