Avokhokai2,English Translation
ɲat͡ʃkai,1_one
ɲa-ru,2_two
ɲa-rʊr,3_three
ɲa-rm,4_four
rp,5_five
ʧkai,6_six
ru,7_seven
tur,8_eight
paʧ,9_nine
ɲa-sɪŋavʊr,10_ten
ⁿdʳam,15_year
tiɣavʷi,16_right
timʷaɛr,17_left
haxanau,18_i
ⁿdʳato,22_weallincl
xaiŋ,23_thou
namto,24_youboth
haŋai,26_heshe
ito,27_theyall
ɛru,28_theyboth
awa,29_nonot
nsai,30_what
hasi,31_who
ambi,32_where
savmɛrie,33_when
-kɛᵐbi,34_how
ɲaira,35_this
ɲaiaŋ,36_that
-hamɪx,37_above
-hapɪn,38_below
-ᵐburxar,39_ininside
ᵐbʷarɪ-n,40_head
na-sɪvur_ᵐbʷarɪ-n,41_hair
na-məɾ-n,42_eye
xunʒu-n,43_nose
ⁿdarɪŋə-n,44_ear
ᵐbaŋo-n,45_mouth
mæluwu-n,46_tongue
na-ruvʷo-n,47_tooth
na-vɛn,48_hand
ᵐbarovʷosu-n,49_shoulder
xaluwu-n,50_neck
xaʧmʷaⁿdʳɪ-n,51_back
na-rɛ-n,52_leg
ⁿdʳe,53_blood
ᵐʙulᵐʙul,54_bone
xurxor,55_skin
baɣavu-n,56_belly
na-ʧɪnɪ-n,57_intestines
ʃuʃu-n,58_breast
mamb,59_liver
lipæx,60_dog
nɪ-mæn,61_bird
na-jɛx,62_fish
na-mər,63_snake
ᵐbuᵐbaɣao,64_worm
na-xur,65_louse
ɣasu,66_rat
liɲesɲɛs,67_spider
nɪ-næm,68_mosquito
mavɪⁿdoxor,69_egg
na-ᵐbuʧɪ-n,70_tail
na-xaᵐbɪ-n,71_wing
fərxər,72_feather
ⁿdʳeɛn,73_man
pareamb,74_woman
tete,75_child
na-ɣsɪ-n,76_name
nana,77_mother
tata,78_father
ⁿdʳeɛn-sa-ŋ,79_husband
paream-sa-ŋ,80_wife
urmɪtas,81_day
limæroŋ,82_night
na-ɣaᵐbæʧi,83_moon
nɪmaf,85_sky
nɛʊj,86_water
ⁿdʳas,88_sea
ɣamp,89_fire
-ᵐbʷasn,90_smoke
maʧiav,91_ash
fær,92_stone
ⁿdʳan,93_earthsoil
maʧiaf,94_dust
na-ᵐbuŋan,95_sand
na-wus,96_rain
mæroŋ,97_cloud
pareaŋ,98_wind
hurve,99_thunder
kaᵐbl,100_lightning
na-vɪsɔx,101_meatflesh
faxər,102_fruit
liɣaiɣai,103_woodsforest
ɣat͡sɣər,104_root
paʧeɣɛr,105_branch
na-horun,106_leaf
xai,107_wood
ᵐbolᵐbol,108_grass
ᴩusaɣər,109_flower
niar,110_thatchroof
likalim,111_house
xao,112_rope
mɪrɪse,113_roadpath
-mɪrmɪr,114_black
-ᴩʊvᴩʊx,115_white
-paŋpaŋ,116_red
-iaŋiaŋ,118_yellow
-lamb,119_big
-kiki,120_small
-mɪmɣan,123_shyashamed
-xaifʊr,124_old
-mɪsax,125_painfulsick
-ɲovi,126_good
-samp,127_bad
-naχənax,128_correcttrue
-ᵐbʷiŋal,129_dirty
-mom,130_rotten
-mɛʧ,131_heavy
-haʧʉⁿdʳ,132_far
pɪrʧaŋ,133_near
ᴩur,134_cold
-mɪmɪs,135_dry
-mʉʧmʉʧ,136_wet
vɪveo,137_new
-mai,139_come
-fan,140_walk
-ruaŋ,141_stand
-tɪⁿdʳ,142_sit
-teɪx,143_fall
-paʧpat͡ʃ,144_liedown
-paɛrni,145_turn
-sax,146_climb
-ᵑgəᵑgar,147_swim
-mɛɪx,148_flyverb
-ᵐbʊlɪni,149_throw
-susuwani,150_hide
-kan,151_eat
-mun,152_drink
-malʊl,153_yawn
-ᴩuje,154_spit
pat͡ʃ_ᵐboᵐbor,155_dream
-paʧ,156_sleep
-maur,157_live
-mæʧ,158_die
-tamɪs-ᵐʙuni,159_kill
-karəv,160_see
-paloni,161_hear
-munʒi,162_sniffsmell
-mɪn,163_laugh
-raŋ,164_cry
-fuve,165_blow
-paŋ,166_burn
saⁿdʳo,167_sew
-tamzi,169_hit
-ʧavi,170_cut
-t͡ʃapoi,171_split
-xəri,172_dig
-kao,173_hunt
-taŋat͡ʃi,174_hold
-mɪrax,175_fear
-pɪpɪxɪni,176_count
-pɪlɪv_ᵐbʷareŋ,177_breathe
-lu,178_vomit
-taxani,179_tieup
ᵐʙusi,180_squeeze
-tʊmp,181_swell
-ke,182_say
-xalumi,183_scratch
-turi,184_stab
-furi,185_buy
-fɪnaɣɔ,186_steal
-lumʷi,187_plant
-panun,188_cook
-fɪni,189_shoot
-ᵑgas,190_work
-ʧɪŋavɪni,191_open
