Nesesanboise,English Translation
-saɣal,1_one
-ru,2_two
-til,3_three
-vat,4_four
-line,5_five
-ɣoⁿdit,7_seven
-xoal,8_eight
-saŋavil,10_ten
movil_ru,11_twenty
na-natu,16_right
na-maɪɾ,17_left
hina,18_i
kanan,19_weallexcl
unox,23_thou
kani,25_youall
xai,26_heshe
xar,27_theyall
nɛse,30_what
unox,31_who
ande,32_where
ieɣe,35_this
-maːɾo,37_above
-tanlatan,38_below
-lalon,39_ininside
na-ᵐbatu-k,40_head
nɪ-vulo-n_ᵐbatu-k,41_hair
na-nata-k,42_eye
nu-kusu-k,43_nose
no-ᵐboro-k,44_ear
no-ʧuŋo-k,45_mouth
nɛ-nɛnɛ-k,46_tongue
nu-luvʷo-k,47_tooth
na-vara-k,48_hand
na-salɣa-k,50_neck
no-ᵐbʊx_ɪta-k,51_back
na-ᵐbalako-k,52_leg
na-re,53_blood
nɪ-ʧine-k,54_bone
nɪ-vulo-n_ne-ɪmba,55_skin
nɪ-sinɛ-k,56_belly
ni-viɾi,60_dog
na-nanɣɔ,61_bird
na-naʧ,62_fish
na-mat,63_snake
na-ɣudt,65_louse
no-ut,65_louse
na-xarið,66_rat
na-mɣɔ,68_mosquito
nu-rul__na-to,69_egg
naɣuᵐbɛn,71_wing
nɛ-mɛrte,73_man
tavat,74_woman
teʧɪᵐblax,75_child
tɛte,78_father
deðe,79_husband
ⁿdiran,81_day
ᵐbu͂,82_night
no-vovor,84_star
nu-a,86_water
na-tas,88_sea
na-ɣand,89_fire
ne-s_na-ɣand,90_smoke
na-ðat,92_stone
na-tan,93_earthsoil
nɛ-ᵐbɛtnaɣap,94_dust
na-on,95_sand
na-ose,96_rain
na-laŋ,98_wind
na-kuɾu,99_thunder
no-xoro-n,104_root
nɛ-rɛŋe_na-ɣa,105_branch
no-loɣo_na-ɣa,106_leaf
na-ɣa,107_wood
no-roiat,110_thatchroof
ne-mak,111_house
na-narte,112_rope
na-sal,113_roadpath
-nodt,114_black
-nial,116_red
-laⁿdlaⁿd,119_big
-vɪlvɪle,120_small
nɪ-mʷɛrʧean,124_old
-nakis,126_good
-sat,127_bad
-loŋ,129_dirty
luɣsa,132_far
ʒɪsɛri,133_near
na-nalɣas,134_cold
-ninin,136_wet
no-voli,137_new
-mã,139_come
rɪ-vial,140_walk
no-toɾo,141_stand
na-at,142_sit
-ʧov_latan,143_fall
ho-rori,145_turn
ha-sax_malo,146_climb
-suvɔ,147_swim
-tasix,148_flyverb
-vrɛni,149_throw
xa-vanaɣe,150_hide
no-wor,151_eat
no-nuŋ_nu-a,152_drink
nɛ-livte,154_spit
nu-natur_ᵐborᵐbor,155_dream
na-natur,156_sleep
no-noruvan,157_live
ti-nas,158_die
no-ruᵐbu-nas,159_kill
nɛ-lesi,160_see
no-roŋɔ,161_hear
nɛ-ŋiɾ,163_laugh
na-ŋar,164_cry
-sirsir,165_blow
no-ruᵐbu͂,169_hit
nɪ-siⁿde,170_cut
no-vorsu,174_hold
no-luɣɔ,175_fear
ne-vɪna-laŋ,177_breathe
no-lulu,178_vomit
no-kut͡s,183_scratch
nɪ-ʧile,184_stab
no-voli,185_buy
nɛ-vanaɣe,186_steal
nu-ruvʷo,187_plant
no-nõ,188_cook
rɪ-vɪni,189_shoot
nɪvɪ-saxsax,190_work
