Unuabenuamor,English Translation
soɣa,1_one
hɛru,2_two
hetɛr,3_three
hevɛt͡ʃ,4_four
hevim,5_five
mirofɛt͡s,6_six
mirɛfru,7_seven
mirovtus,8_eight
mirovit͡ʃ,9_nine
saŋafur,10_ten
no-rom,15_year
tin,16_right
xi-mai,17_left
xina,18_i
meɪⁿde,19_weallexcl
raru,20_webothincl
mɛmru,21_webothexcl
rate,22_weallincl
xai,23_thou
xaⁿde,24_youboth
xamru,25_youall
xini,26_heshe
rate,27_theyall
raru,28_theyboth
i-t͡sig,29_nonot
sɛtɛn,30_what
ase,31_who
ambe,32_where
naxɛr,33_when
imɪrɛᵐbe,34_how
niŋɛn,35_this
-rapon,37_above
-rapɛn,38_below
-raron,39_ininside
ᵐbati-n,40_head
sifiri-n,41_hair
mɛtɛ-n,42_eye
honsi-n,43_nose
rɛviŋɛ-n,44_ear
ᵐbaŋo-n,45_mouth
rumɛ-n,46_tongue
rivo-n,47_tooth
ne-far,48_hand
sɛrɪɲigɛ-n,50_neck
ⁿdurɛ-n,51_back
baraŋo-n,52_leg
na-ra,53_blood
buraŋo-n,54_bone
firi-n,55_skin
ⁿdaᵐbaŋo-n,56_belly
t͡ʃinɛ-n,57_intestines
susi-n,58_breast
nɛ-tɛtɛ-n,59_liver
kuri-,60_dog
nɛ-mɛn,61_bird
na-ix,62_fish
na-mat,63_snake
t͡ʃurɛt͡ʃ,64_worm
na-ɣut,65_louse
xasuv,66_rat
romrɔ,67_spider
no-num,68_mosquito
xori-n,69_egg
xoxorɛ-n,70_tail
xaᵐbɛ-n,72_feather
moɣman,73_man
dɪsevin,74_woman
roᵐborum,75_child
naɣis,76_name
mira,77_mother
arissehina,79_husband
dɪsevinsehina,80_wife
nutɛrɛn,81_day
nutᵐboŋ,82_night
na-fur,83_moon
mat͡ʃo,84_star
mameɾin,85_sky
nu-wɛ,86_water
nuefon,87_lake
nɛ-tɛs,88_sea
no-ɣʊmp,89_fire
-os,90_smoke
ⁿdɛn_no-ɣomp,91_ash
ne-vɪt,92_stone
na-tan,93_earthsoil
misinov,94_dust
na-on,95_sand
na-os,96_rain
rɔrɔ,97_cloud
nɛ-rɛŋ,98_wind
ᵐbaravɛrɛ,99_thunder
na-viv,100_lightning
mɛsar,101_meatflesh
fɛnɛn,102_fruit
roᵑgɛtɛra,103_woodsforest
raᵐbɛ-n,104_root
ᵐʙut͡ʃi-n,105_branch
raon,106_leaf
ni-gɛ,107_wood
na-ᵐʙumb,108_grass
niat,110_thatchroof
naim,111_house
tis,112_rope
nɛ-sɛl,113_roadpath
-mɛtmɛt,114_black
-porpor,115_white
-pɛrpɛr,116_red
-eɲaŋ,118_yellow
-totɔx,119_big
-kiki,120_small
-sor,121_sharp
-ᵐʙux,122_bluntdull
-xonoron,123_shyashamed
-tara,124_old
-ᵐbeχ,125_painfulsick
-fo,126_good
-sɛ,127_bad
-fɪretin,128_correcttrue
-ranu,129_dirty
-rɔf,131_heavy
-tara,132_far
-moriχ,133_near
-marugoz,134_cold
-mɛs,135_dry
-moŋ,136_wet
-mɛrmɛr,137_new
-fena,139_come
-ɣaɣa,140_walk
-tu,141_stand
-non,142_sit
-rum,143_fall
-rumsarix,144_liedown
-buri,145_turn
-sax,146_climb
-rosros,147_swim
-sar,148_flyverb
-bara,149_throw
-roroni,150_hide
-henɪgen,151_eat
-min,152_drink
-rit,154_spit
na-ᵐbor,155_dream
maor,157_live
miʧ,158_die
ᵐbari_ᵐbimiʧ,159_kill
-ke,160_see
-rir,161_hear
-munsi,162_sniffsmell
-mɛn,163_laugh
-ɲar,164_cry
ivhuvhuv,165_blow
-paŋ,166_burn
-fɪravi,168_pound
ᵐbari,169_hit
-tɛforai,171_split
-ri,172_dig
-totori,174_hold
-toɣoni,175_fear
-peχɪni,176_count
-rɪveneriŋ,177_breathe
-ru,178_vomit
t͡ʃari,179_tieup
-sɪ,180_squeeze
-vi-vin,181_swell
sari,184_stab
-fɪri,185_buy
funaɣe,186_steal
-rɪvi,187_plant
-mat͡ʃiŋ,190_work
-tɪrasi,191_open
