Avokhokai,English Translation
ŋo-ʧkɪnɛne,1_one
ŋɔ-ru,2_two
ŋɔ-rʊr,3_three
ŋɔ-væʧ,4_four
ŋɔ-rn,5_five
ŋɔrʊ-ʧkai,6_six
ŋeɣo-ru,7_seven
ŋeɣɔ-rʊr,8_eight
sɪŋavʊr,10_ten
ⁿdʳam,15_year
tirawi,16_right
timʷair,17_left
aɣanau,18_i
ⁿdʳato_pʷar,19_weallexcl
ⁿdaruje,20_webothincl
ⁿdʳato,22_weallincl
xaiŋk,23_thou
xamto,24_youboth
xamiru,25_youall
jaŋai,26_heshe
awa,29_nonot
asi_ai,31_who
hambi,32_where
ɛmɛrie,33_when
-kɛᵐbi,34_how
aɣa,35_this
a-mɛɪx,37_above
a-pɪn,38_below
ᵐburxar,39_ininside
ᵐbʷarɪ-ŋk,40_head
nɛ-sɪvur_ᵐbʷaru-ŋk,41_hair
nɛ-mɛra-ŋ,42_eye
na-ɣonsu-ŋk,43_nose
ⁿdariŋa-ŋk,44_ear
ᵐbʷaŋo-ŋ,45_mouth
neluwa-ŋk,46_tongue
na-ruvʷo-ŋk,47_tooth
na-vɪ-ŋk,48_hand
ᵐbarovosu-ŋk,49_shoulder
halu-ŋk,50_neck
nɪ-maⁿdʳɪ-ŋk,51_back
na-re-ŋk,52_leg
ⁿdʳe,53_blood
na-ᵐbulᵐbul,54_bone
na-horxor,55_skin
na-ᵐbəɣavu-ŋk,56_belly
na-suz,58_breast
nu-mambə,59_liver
liðax,60_dog
nɪ-mæn,61_bird
ne-jɪx,62_fish
na-mʷər,63_snake
na-xur,65_louse
ɣasu,66_rat
nɪ-nam,68_mosquito
mavɪⁿdʳɪv,69_egg
na-ᵐbuʧɪ-n,70_tail
na-vi-n,71_wing
na-vorxor,72_feather
ⁿdʳen,73_man
tiraxaivur,74_woman
nɛ-rɛhare,75_child
na-ɣasa-ŋk,76_name
nænæ_s,77_mother
tæta,78_father
nɛ-rɛn_sɛ-n,79_husband
paraxaivor_sɛ-n,80_wife
urgɪtas,81_day
uvnɪtas,81_day
limæroŋk,82_night
na-xaᵐbæʧi,83_moon
mʷaʧi,84_star
nɪ-maɸ,85_sky
nɛ-ne,86_water
ᵐʙurne,87_lake
nɪ-ras,88_sea
na-xamᴩ,89_fire
aᵐbʷas,90_smoke
mʷaʧiaɸ,91_ash
nɪ-vær,92_stone
nɪ-ran,93_earthsoil
maʧiav,94_dust
na-ᵐbəŋan,95_sand
na-us,96_rain
nɪ-mæroŋk,97_cloud
-ᵐbʷarɛŋ,98_wind
na-xurve,99_thunder
kaᵐbl,100_lightning
nɛ-vsox,101_meatflesh
pʷaxar,102_fruit
liɣaiɣai,103_woodsforest
na-xaʧɪɣər,104_root
paʧixər,105_branch
na-xur,106_leaf
na-xai,107_wood
niⁿdʳɪv,108_grass
liar,110_thatchroof
likanim,111_house
na-xao,112_rope
namɛrsie,113_roadpath
a-mɛrmɪr,114_black
-ᴩɔᴩʊx,115_white
-paŋfan,116_red
-kəʧɪn,117_green
-jaŋjaŋ,118_yellow
mo-læmp,119_big
-kiki,120_small
ho-kan,121_sharp
-sɪᵐbʷakan,122_bluntdull
nɛ-mɪrax,123_shyashamed
-xaiavʊr,124_old
nɪ-mɪsax,125_painfulsick
mo-vʷi,126_good
ma-samp,127_bad
-naxənax,128_correcttrue
-mɛʧ,131_heavy
-aʧʉⁿdʳ,132_far
-pruʧaŋk,133_near
-miɣas,134_cold
wo-mɪmɛs,135_dry
-mʉʧmʉʧ,136_wet
-veveo,137_new
ᵑgə-mai,139_come
ko-væn,140_walk
-ruaŋ,141_stand
-sumbsump,142_sit
wɔ-ⁿdʳɪm,143_fall
-ⁿdʳɪvəfɪn,144_liedown
ᵑgo-poɣəni,145_turn
ko-sax,146_climb
-ᵑgəᵑgar,147_swim
wo-mɪəx,148_flyverb
-ᵐbʊlni,149_throw
no-kan,151_eat
nɛ-mʉn,152_drink
-seŋav,153_yawn
no-pue,154_spit
na-ᵐboᵐbʷor,155_dream
no-pʷaʧ,156_sleep
-maur,157_live
i-mamæʧ,158_die
-tamɪs_i-mamɛʧ,159_kill
xo-rʃi,160_see
-talogni,161_hear
naᵐbʷon,162_sniffsmell
nɛ-mɪn,163_laugh
mɛ-raŋ,164_cry
mo-vuv,165_blow
ma-tan,166_burn
-sæⁿdʳi,167_sew
-tamtaŋʃi,168_pound
-tamusi,169_hit
-ʧavi,170_cut
-ʧapoi,171_split
-xəri,172_dig
-tukakao,173_hunt
-təŋao,174_hold
nɪ-mɪrax,175_fear
-pɪpəxɪni,176_count
-pʷɪlɪv-ᵐbʷareŋ,177_breathe
nɛ-lu,178_vomit
-paŋəsi,179_tieup
ᵐʙuʃeni,180_squeeze
wɔ-tʊmp,181_swell
ko-ke,182_say
-karazi,183_scratch
-særi,184_stab
ku-vuri,185_buy
-vɪnaɣɔ,186_steal
-lumʷi,187_plant
-fænʉn,188_cook
-fɛni,189_shoot
-ᵑgas,190_work
-ʧɪŋavɪni,191_open
