Neveeicoast,English Translation
sevax,1_one
i-ru,2_two
i-tl,3_three
i-vah,4_four
i-lim,5_five
t͡ʃoo,6_six
t͡ʃoruv,7_seven
t͡ʃotl,8_eight
t͡ʃavah,9_nine
foŋavil,10_ten
nɪ-saɣao,15_year
ᵐbʷraⁿdaŋ,16_right
-mʷir,17_left
ᵑgɛmɛm,19_weallexcl
ᵑgɛt-ⁿdʳu,20_webothincl
ᵑgɛmem-ⁿdʳu,21_webothexcl
ᵑgɛt,22_weallincl
ᵑgu,23_thou
ᵑgɛm,24_youboth
ᵑgɛm_ⁿdʳu,25_youall
ii,26_heshe
ar,27_theyall
ar_ⁿdʳu,28_theyboth
nɛvɛe,30_what
ne,31_who
ive,32_where
mɪⁿdan,34_how
ie,35_this
ioxɔ,36_that
-raai,37_above
-fɛvan,38_below
ᵐboɣut,39_ininside
nɛ-ᵐbʷat-n,40_head
na-ⁿt͡ʃilɛ-n,41_hair
nɪ-mɪta-n,42_eye
na-aⁿt͡ʃu-n,43_nose
na-ⁿdɪlaŋa-n,44_ear
no-ᵐboŋo-n,45_mouth
nɛ-lɪmɛ-n,46_tongue
no-lofu-n,47_tooth
nɪ-vɛra-n,48_hand
nɛ-ᵐbatn_nɪ-vɛra-n,49_shoulder
nɪ-ᵐbelawan,50_neck
ne-taa-n,51_back
nɪ-tal-n,52_leg
ni-ⁿdʳi,53_blood
nɪ-ᵐbolo-n,54_bone
ni-vini-n,55_skin
ne-tɛᵐbʷaa-n,56_belly
nɛ-snɛ-n,57_intestines
nu-mumum,58_breast
nɪ-maᵐbu-n,59_liver
liᵐbax,60_dog
ni-min,61_bird
ni-ax,62_fish
nɛ-mat,63_snake
nɪ-ⁿt͡ʃulah,64_worm
na-at,65_louse
nɛ-laᵐbut,66_rat
nɛ-taal,67_spider
nɪ-nam,68_mosquito
na-aⁿdalɛ-n,69_egg
ni-ᵐbis-n,70_tail
na-afera-n,71_wing
na-aⁿt͡ʃilɛ-n,72_feather
nɛ-mʷɛn,73_man
momʷɔx,74_woman
ni-si-tɪŋaʔ,75_child
nɛ-ᵑgɛⁿt͡ʃa-n,76_name
naŋ,77_mother
mame,78_father
no-momʷox,80_wife
ranian,81_day
ᵐbul,82_night
na-fil,83_moon
nɪ-mʷɪⁿt͡ʃi,84_star
nɛ-ran,85_sky
no-wi,86_water
ne-tah,88_sea
na-am,89_fire
tal-ian,90_smoke
nis_na-am,91_ash
nɪ-vat,92_stone
nɛ-tan,93_earthsoil
nɛ-levʷetan,94_dust
nɛ-wɛnwɛn,95_sand
no-os,96_rain
nɛ-laŋ,97_cloud
ne-laŋ,98_wind
no-wurwur,99_thunder
na-vifil,100_lightning
asoɣɔ-n,101_meatflesh
nɛ-vʷenɛ-n,102_fruit
lɛⁿd_na-ai,103_woodsforest
no-xora-n_na-ai,104_root
ᵐbusura-n,105_branch
no-ro_na-ai,106_leaf
na-ai,107_wood
nɪ-mʷini,108_grass
nɪ-fuŋu-n,109_flower
ni-at,110_thatchroof
ni-um,111_house
na-ao,112_rope
nɪ-sal,113_roadpath
-mɛt,114_black
-mavis,115_white
-mial,116_red
-xanⁿzɣaⁿt͡san,117_green
-lulut,118_yellow
-lam,119_big
-ɲaŋaʔ,120_small
-maŋmaŋal,121_sharp
-ᵐbut,122_bluntdull
-roŋol,123_shyashamed
matoro,124_old
-mɪsaʔ,125_painfulsick
-revax,126_good
-mool,127_bad
-fɛraⁿdaŋ,128_correcttrue
-mum,130_rotten
-map˺,131_heavy
-t͡ʃɛmʷɛh,132_far
-lili,133_near
-mɪlaah,134_cold
-mɪsɪmax,135_dry
-wier,136_wet
-miⁿdimind,137_new
-fʷɛlɛm,139_come
-fafu,140_walk
-tutur,141_stand
-maam,142_sit
-wam,143_fall
-filih,145_turn
-sɪsaʔ_awi,146_climb
-ivᵑgarᵑgar,147_swim
-mɛraʔ,148_flyverb
-fiⁿdɛnɛn,149_throw
-susuwɛn,150_hide
-aan,151_eat
-maŋalal,153_yawn
-lɛh_ᵐbari,155_dream
-matur,156_sleep
-moor,157_live
-mah,158_die
-xʊs-ᵐbin,159_kill
-ɲaŋ,163_laugh
-taŋ,164_cry
-sɪsar,165_blow
-ɣau,166_burn
-xusxus,168_pound
-xus,169_hit
-teri,170_cut
-ᵑgar,171_split
-xalxal,172_dig
-ᵑgaᵑgah,173_hunt
-furuf,174_hold
-mɪtaʔ,175_fear
ⁿdoŋon,176_count
-ŋus,177_breathe
-iox,178_vomit
-ᵑgu,179_tieup
-fus,180_squeeze
fʷɛri,182_say
-xorxor,183_scratch
-ⁿdur,184_stab
-ful,185_buy
-fɛnox,186_steal
-luf,187_plant
-tn,188_cook
-lu,189_shoot
-maŋar,190_work
-t͡ʃovul,191_open
