Ssakao,English Translation
katukʷale,1_one
kairue,2_two
kaitolu,3_three
kaifesi,4_four
kailime,5_five
kaiʲono,6_six
kaiᵐbitu,7_seven
kaikʷetu,8_eight
kaisiwo,9_nine
haŋafulu,10_ten
haŋaβulu,10_ten
ŋaβulkeʲroe,11_twenty
ŋaβulkelime,12_fifty
fuⁿdolue,13_onehundred
teri,14_onethousand
hikao,15_year
matue,16_right
mawiri,17_left
neu,18_i
kamai,19_weallexcl
kamaɛ,19_weallexcl
kiⁿderu,20_webothincl
kamaru,21_webothexcl
kiⁿde,22_weallincl
niᵑɡo,23_thou
kimiru,24_youboth
kimiu,25_youall
ŋiɛ,26_heshe
ŋʲere,27_theyall
ɲere,27_theyall
ŋʲere_kairue,28_theyboth
hatiɛ,29_nonot
havai,30_what
hene,31_who
tahiloko,32_where
takaha,33_when
ŋʷerehiloɣo,34_how
taŋaha,35_this
tahilehe,36_that
aulu,37_above
lovavaki,38_below
lolona,39_ininside
ᵑɡʷatu,40_head
fulu,41_hair
mata,42_eye
ᵑɡʷaŋo,43_nose
ᵑɡʷero,44_ear
kukʷa,45_mouth
mɛa,46_tongue
leβʷo,47_tooth
lefʷo,47_tooth
limɛ,48_hand
sɪᵑɡʷe,49_shoulder
ŋʷakoro,50_neck
kænhere,51_back
ᵑɡaru,52_leg
ⁿdai,53_blood
hui,54_bone
finu,55_skin
taᵑɡʷani,56_belly
sinai,57_intestines
huhu,58_breast
atɛ,59_liver
kʷiriu,60_dog
manu,61_bird
ɪkɛ,62_fish
teltele,63_snake
silʊti,64_worm
kutu,65_louse
kariβi,66_rat
takaka,67_spider
namʊ,68_mosquito
toli,69_egg
kolo,70_tail
ᵐbanihi,71_wing
fulu,72_feather
ŋʷera,73_man
fafinɛ,74_woman
maresu,75_child
hɛa,76_name
ratahiᵑɡu,77_mother
ta:maᵑɡu,78_father
tamainetuᵑɡu,79_husband
tuᵐbʷiləfaleᵑɡu,80_wife
rani,81_day
ᵐboŋi,82_night
ɸule,83_moon
fisiu,84_star
ⁿdoⁿdo,85_sky
kʷai,86_water
malkʷora,87_lake
tahi,88_sea
avi,89_fire
aβi,89_fire
ᵑɡuⁿɡu,90_smoke
ᵑɡʷie,91_ash
fatu,92_stone
tano,93_earthsoil
ᵑɡʷie,94_dust
one,95_sand
uhɛ,96_rain
taɛnleŋi,97_cloud
laŋɪ,98_wind
mantakʷa,99_thunder
fɪle,100_lightning
ᵐbiki̥,101_meatflesh
ŋʷasiki,102_fruit
lolaᵐbute,103_woodsforest
kʷariki,104_root
raŋa,105_branch
rauki,106_leaf
kai,107_wood
ⁿdufu,108_grass
fire,109_flower
ɸire,109_flower
taᵑɡure,110_thatchroof
fale,111_house
karʊ,112_rope
tureki,113_roadpath
maeto,114_black
mafute,115_white
maβute,115_white
memea,116_red
ᵑɡʷaruᵑɡʷaroka,117_green
aŋoka,118_yellow
lakue,119_big
ᵐbiti,120_small
maᵑɡeᵑɡenɪ,121_sharp
ᵑɡʷatoa,122_bluntdull
maɛmaɛ,123_shyashamed
maleaki,124_old
karakasi,125_painfulsick
kareaki̥,126_good
hasiki,127_bad
hoko,128_correcttrue
soᵑɡo,129_dirty
maᵐboᵐbo,130_rotten
mava,131_heavy
fakahao,132_far
ᵑɡaᵑɡarani,133_near
kaŋʷaⁿdiⁿdi,134_cold
mamaha,135_dry
ᵐbiᵐbilu,136_wet
ᵑɡʷaroki,137_new
tueki,138_other
kofanai,139_come
deklatekɪ,140_walk
laᵐbe,141_stand
tokɔ,142_sit
soi,143_fall
soɛ,143_fall
enɔ,144_liedown
talele,145_turn
ᵑɡalo,146_climb
kakaru,147_swim
olo,148_flyverb
tulɪ,149_throw
hili,150_hide
kakani,151_eat
inu,152_drink
mamao,153_yawn
loⁿdo,154_spit
ᵐbʷoᵐbore,155_dream
maturu,156_sleep
mʷaso,157_live
mate,158_die
kʷehe_mate,159_kill
lɛo,160_see
roŋo,161_hear
ᵐbona,162_sniffsmell
mana,163_laugh
ŋara,164_cry
here,165_blow
mui,166_burn
turu,167_sew
ⁿdiŋdiŋ,168_pound
kʷehe,169_hit
tai,170_cut
tokʷaka,171_split
keli,172_dig
raraβe,173_hunt
haⁿɡo,174_hold
mataku,175_fear
felu,176_count
maᵐbuhi,177_breathe
lʊwe,178_vomit
kʷesi,179_tieup
toᵑɡʷe,180_squeeze
foke,181_swell
feβe,182_say
taᵑɡare,183_scratch
turu,184_stab
foli,185_buy
ᵐbalu,186_steal
riβu,187_plant
tutunu,188_cook
fene,189_shoot
taᵐbana,190_work
roa,191_open
