Novoltavendrua,English Translation
i-sua,1_one
i-rua,2_two
iˑtɺ,3_three
i-vas,4_four
i-ləmɛ,5_five
i-lavsua,6_six
lavruɔ,7_seven
lautl,8_eight
lavas,9_nine
laŋavʊl,10_ten
a-laŋavʊl_i-rua,11_twenty
a-laŋavʊl_i-lme,12_fifty
a-laŋavʊl_i-laŋavʊl_saⁿdʳɪk,13_onehundred
a-laŋavʊl_i-laŋavʊl_saⁿdʳɪk__ɛᵐbalaŋavʊl,14_onethousand
ɛ-tau,15_year
boraŋənɛ,16_right
dɛl-miɛr,17_left
aᵑgənɛ,18_i
kœⁿdar_ɪruɔ,20_webothincl
kœⁿdal,22_weallincl
aᵑgu,23_thou
aŋal,25_youall
ie,26_heshe
ⁿdʳan,27_theyall
ⁿdʳar,28_theyboth
i-sɪkan,29_nonot
asɛvi,30_what
wani,31_who
i-osɛ,32_where
ŋaisɛ,33_when
i-sɛᵐbʷa,34_how
iɛⁿdinɛ,35_this
iɛnawat,36_that
-mɛruɔ,37_above
-vi,38_below
-vanuɔ,39_ininside
ᵐbat-i,40_head
ɛ-vəl-i,41_hair
ɛ-mɛt-i,42_eye
ᵑgars-i,43_nose
hɛ-ⁿdɛliŋ-i,44_ear
ᵐbʷoŋ-i,45_mouth
ɛ-mɛlu-i,46_tongue
ɛ-luw-i,47_tooth
var-an,48_hand
a-ᵐbʷosvɛrɛ,49_shoulder
ⁿdɛl-i,50_neck
ɛ-taːk-i,51_back
a-kal-i,52_leg
ɛ-ⁿdʳe,53_blood
a-wixai,54_bone
a-wivɪnɪs,55_skin
aβut-i,56_belly
ɛ-sɪnɛ,57_intestines
asɪs,58_breast
maᵐborɛ,59_liver
a-ᵐburman,60_dog
nɛ-man,61_bird
a-ixə,62_fish
na-mʷote,63_snake
ɛ-ⁿdɛlas,64_worm
a-xʊt,65_louse
na-suɔ,66_rat
ɛ-ⁿdɛŋɛlɛ,67_spider
a-vʷuⁿdokas,68_mosquito
na-mʷovi,69_egg
ɛ-valɛᵐbœsi,70_tail
ɛ-vəli,72_feather
a-mugʊt,73_man
ɛ-tuwatɛ,74_woman
a-teɪᵐborai,75_child
næ-ks-,76_name
kaⁿde,77_mother
tama-ŋ,78_father
mʷɔtua_tɪgɛne,79_husband
aituai_tɪgɛne,80_wife
tran,81_day
luvukotɛ,82_night
hɛ-ᵐbaˑsi,83_moon
nɛ-vunvʊt,84_star
nɛ-ᵐbasau,85_sky
ne-ɛmb,86_water
ne-ɛmbəkuᵐbakuᵐp,87_lake
nɛ-taz,88_sea
a-kamb,89_fire
dɛⁿðɛn,90_smoke
a-mosuan,91_ash
nɛ-vat,92_stone
nɛ-tɛnɛ,93_earthsoil
ᵐboniɛp,94_dust
nɛ-mɛresuan,95_sand
auzɛ,96_rain
a-mʷaɸ,97_cloud
ɛ-mɛlæsɛ,98_wind
aᵐbəlɛ,99_thunder
ᵐbɛlɛᵐbɛlɛ,100_lightning
a-wani,102_fruit
na-ŋaraius,103_woodsforest
na-wari,104_root
ɛ-saŋi,105_branch
ɛ-raui,106_leaf
na-kai,107_wood
æ-ⁿdʳamb,108_grass
a-tɛvsi,109_flower
næ-ruiɛtɛ,110_thatchroof
a-imʷɔ,111_house
ɛ-tal,112_rope
ɛ-sɛlɛ,113_roadpath
-mɛtɛ,114_black
-wowolau,115_white
i-miɛmiɛlɛ,116_red
-mɛmɛr,117_green
i-wəswasi,118_yellow
i-lɛᵐbarau,119_big
-rikᵐboi,120_small
i-maŋal,121_sharp
i-maŋalŋal,121_sharp
ɪ-ᵐbɪkᵐbʊk,122_bluntdull
-mʷolɛ,123_shyashamed
-mʷotiɛnɛ,124_old
-ᵑgɪlɛtɛ,125_painfulsick
i-voi,126_good
i-sɛt,127_bad
i-sɛt_aŋania,127_bad
voi_ᵐboraŋənə,128_correcttrue
ⁿdɛmɛn,129_dirty
-ŋɛtɛ,130_rotten
-ŋɛtɛŋɛte,130_rotten
-nɛmᵇ,131_heavy
-lakʰ,132_far
-mɛmluai,134_cold
-mɛsɛmɛsɛ,135_dry
i-wowara,136_wet
i-vovo,137_new
-βol,139_come
-laŋalaŋa,140_walk
-tɛrɛ,141_stand
-samᵇ,142_sit
i-mʷor,143_fall
-mʷɔnɛndau,144_liedown
-ⁿdʳu,145_turn
-saksak,146_climb
-lɛlɛse,147_swim
na-wilaŋ,148_flyverb
ku-ᵐbuk,149_throw
i-mʷolmʷɔv,150_hide
-totau,151_eat
-mɪn,152_drink
-momoial,153_yawn
-wovɛrai,154_spit
-mʷonɛ-lɛz,155_dream
-mʷɔnɛ,156_sleep
i-mauor,157_live
i-mas,158_die
-ravɪs-ᵐbɪn,159_kill
-lɛz,160_see
-raŋɛ,161_hear
a-mušni,162_sniffsmell
-vɪsɪŋal,163_laugh
-wɔrɛtɛ,164_cry
-iuviuɸ,165_blow
i-nɛnɛ,166_burn
-tir,167_sew
-ravravɪs,168_pound
-ravʊs,169_hit
-tak,170_cut
-tɛᵐbɛrᵐborai,171_split
-kɪl,172_dig
-karaɛ,173_hunt
-worɪndau,174_hold
-mɛtak,175_fear
-ᵐbuluᵐbuluᵑk,176_count
-ŋaraŋara,177_breathe
-luwaluɔ,178_vomit
-tu_vwo,179_tieup
-tu_vwo_ⁿdautau,179_tieup
-ᵐbuz,180_squeeze
i-lɛᵐbɛ,181_swell
-sɪrɛ,182_say
-kai,183_scratch
-tir,184_stab
-wul,185_buy
-marat,186_steal
-kavʷok,187_plant
-luɔ,189_shoot
a-rax-iɛne,190_work
-sɛvan,191_open
