Unuanoferai,English Translation
soga,1_one
xeɾu,2_two
xɛtɛʒ,3_three
xɛvɛt͡ʃ,4_four
xɛʒim,5_five
mɪrovtɛs,6_six
mɪrovɾu,7_seven
mɪrovtuʒ,8_eight
mɪrupit͡ʃ,9_nine
saŋaβʉʒ,10_ten
ŋaβulgeɾu,11_twenty
ŋaβulgeʒim,12_fifty
iŋotvarsoɣa,13_onehundred
iŋotŋort͡ʃer_farsoɣa,14_onethousand
siga,15_year
ⁿtin,16_right
hi-maiɾe,17_left
xina,18_i
mɛmɾu,21_webothexcl
xai,23_thou
xaⁿde,25_youall
xini,26_heshe
i-t͡ʃige,29_nonot
sɛtɛn,30_what
ase,31_who
ambe,32_where
nagargevis,33_when
i-mɛraᵐbe,34_how
niŋe,35_this
ŋaŋ,36_that
-rapon,37_above
-rapɛn,38_below
-ʒɛnaim,39_ininside
nɪ-ᵐbʷit,40_head
sivʊʒ,41_hair
mɛtɛ-n,42_eye
xonsi-n,43_nose
reriŋɛ-n,44_ear
no-ᵐbo-ŋ,45_mouth
rumɛ-n,46_tongue
ne-riuɸ,47_tooth
nɛ-vara,48_hand
botogovɛ-n,49_shoulder
sɛɾnigɛ-n,50_neck
ⁿduɾɛ-n,51_back
na-ra,53_blood
ᵐʙuraŋo-n,54_bone
fʷiɾ-n_ᵐbɛ-n,55_skin
ⁿdoᵐbo-ŋ,56_belly
t͡ʃinɛ-n,57_intestines
na-sus,58_breast
nɛ-tɛtɛ-n,59_liver
kuɾi,60_dog
nɛ-mɪn,61_bird
na-iɣə,62_fish
na-mat,63_snake
t͡ʃurɪt͡ʃ,64_worm
na-xut,65_louse
xasuf,66_rat
romrɔ,67_spider
no-num,68_mosquito
xoriri-n,69_egg
xoxoɾɛ-n,70_tail
xaᵐbɛ-n,71_wing
banɛ-n,72_feather
mogman,73_man
dɪsevin,74_woman
roᵐborum,75_child
na-ɣis,76_name
resu-ŋ,77_mother
tomu-ŋ,78_father
tɛᵐbʷɛn_segina,79_husband
xoso_gina,80_wife
nu-turin,81_day
nu-tuᵐboŋ,82_night
na-βʉʒ,83_moon
mat͡ʃo,84_star
mameɾin,85_sky
nu-e,86_water
nuefon,87_lake
ne-tɪz,88_sea
no-ɣuᵐp,89_fire
i-us,90_smoke
ᵐʙuɣas,91_ash
nɛ-fɛt,92_stone
na-tan,93_earthsoil
misinuɸ,94_dust
na-on,95_sand
na-us,96_rain
rorɔ,97_cloud
nɛ-ʒiŋ,98_wind
ᵐbarvɛɾe,99_thunder
na-viʒ,100_lightning
mɛsaʒ,101_meatflesh
fʷɛnɛn,102_fruit
ronɣɛtɛɾa,103_woodsforest
raᵐbʷɛ-n,104_root
ᵐʙut͡ʃi-n,105_branch
raon,106_leaf
ni-xe,107_wood
na-ᵐʙuᵐʙu,108_grass
nɛ-mɛt,110_thatchroof
na-im,111_house
nɛ-tɪʒ,112_rope
ni-sɛʒə,113_roadpath
i-mɛt,114_black
i-poɾo,115_white
-pɛrpɛre,116_red
i-er,117_green
i-eŋaŋ,118_yellow
i-ras,119_big
-kiki,120_small
-sor,121_sharp
ɪ-ᵐʙux,122_bluntdull
-ᵑgolᵑgol,123_shyashamed
mo-taɾa,124_old
-mɛsaxit,125_painfulsick
i-fo,126_good
i-se,127_bad
vuretin,128_correcttrue
ranu,129_dirty
ɪ-ŋor,130_rotten
i-roɸ,131_heavy
-taɾa,132_far
-morix,133_near
-kɔxɔ,134_cold
i-mes,135_dry
i-moŋ,136_wet
-mɛrmɛr,137_new
ŋare,138_other
-fɛna,139_come
-xaɣa,140_walk
ho-tu,141_stand
-non,142_sit
-rum_saɾix,143_fall
ɪ-rum_sarix,144_liedown
-buɾi,145_turn
-sax,146_climb
-saʒ,148_flyverb
-rorogɛni,150_hide
-xɛnɪgɛn,151_eat
i-min,152_drink
-riton,154_spit
i-ke_na-ᵐboɾɔ,155_dream
-mauro,157_live
-mit͡ʃ,158_die
-rer-ᵐʙuni,159_kill
ku-kurɔ,160_see
u-re,161_hear
i-mɛn,163_laugh
ɪ-ŋaɾa,164_cry
-fʷi,165_blow
i-paŋ,166_burn
-rɛvrari,168_pound
-tai,170_cut
-tirvʷarai,171_split
-kokɔ,173_hunt
tutori,174_hold
-mtoxtʊx,175_fear
-pegeni,176_count
-rɪvɛneriŋ,177_breathe
i-ru,178_vomit
hu-t͡ʃari,179_tieup
-vsi,180_squeeze
-fʷifʷin,181_swell
ho-vorai,182_say
-saɾi,184_stab
-fəri,185_buy
-fɪnaɣe,186_steal
i-rɪvʷi,187_plant
-tiɣaᵐʙux,188_cook
i-rɪβʷa,189_shoot
mit͡ʃiŋ-ɛn,190_work
-foga,191_open
