Nindewindua,English Translation
-sei,1_one
xowɔ,2_two
-tl,3_three
-βɛs,4_four
sɛlmɛ,5_five
laŋal,10_ten
naðaŋal_xowɔ,11_twenty
naðaŋal_sɛlme,12_fifty
naðal_ᵑgoxɔ_laŋal,13_onehundred
ne-to,15_year
des-motne,16_right
des-miax,17_left
kəne,18_i
kɪtax,20_webothincl
kɪtɛ,22_weallincl
nuŋ,23_thou
kamu,25_youall
nie,26_heshe
sɪge,29_nonot
ⁿde,30_what
nane,31_who
mɛne,32_where
manmɪne,34_how
iaŋe,35_this
xaiⁿdɪve,36_that
-ɛre,37_above
-vɛnɛ,38_below
lele,39_ininside
nɪ-ᵐʙut-e,40_head
n-ɛlput-e,41_hair
nɪ-mɪtɛ-ne,42_eye
nu-ŋuna-ne,43_nose
ⁿdlɪŋa-ne,44_ear
nɛ-lmɛ-ne,46_tongue
nɛ-vaɣa-n,48_hand
nɪ-ᵐbutvaxa,49_shoulder
ni-tuku-ne,51_back
nɪ-ᵐbul-ɛkɪne,52_leg
na-re,53_blood
no-ᵐboðoᵑgɔ,54_bone
ni-vit-e,56_belly
ne-se-ne,57_intestines
kaβox,60_dog
nɛ-mɛn,61_bird
ni-miaðe,62_fish
na-mate,63_snake
nu-ᵑgʊt,65_louse
kairaðe,66_rat
nɛ-taðe,67_spider
ⁿdukas,68_mosquito
na-maðap,69_egg
nɛ-lᵐbʉse,70_tail
nɛ-lvaɣa,71_wing
nɛ-le,72_feather
nɛ-le_nɛ-nɛ,72_feather
nu-mugʊt,73_man
watiwax,74_woman
ᵐboilolo,75_child
nɪ-kia-ne,76_name
sanawox-gɪne,77_mother
tatai,78_father
kaiwut_akine,79_husband
watawax-akine,80_wife
ne-ve,83_moon
na-nmʷisi,84_star
ni-milɛᵑge,85_sky
no-woi,86_water
nɛ-tɛs,88_sea
nɪ-ᵐʙia,89_fire
nɪ-ᵐboniɛp,91_ash
nɛ-vɛt,92_stone
ne-tɛne,93_earthsoil
nɪ-ⁿdɛⁿdo,94_dust
nɪ-ᵐbɪnwane,95_sand
nu-wɔ,96_rain
ni-milɛᵑge,97_cloud
na-lai,98_wind
ni-milɛᵑge_tawaʔ,99_thunder
no-on,101_meatflesh
no-on_ᵐbuos,101_meatflesh
na-wan-ne,102_fruit
nɛᵑgaxwa-ne,104_root
na-usaɣa,105_branch
nu-wɔxɔ,106_leaf
n-ei,107_wood
ne-soᵑgone,108_grass
ni-tuβe-ni,109_flower
nu-xoite,110_thatchroof
na-mʷi,111_house
ne-tel,112_rope
na-le,113_roadpath
-miðe,114_black
-mʉs,115_white
-miaðɛ,116_red
-mɛlkɪse,117_green
-lʉt,118_yellow
-tlɛβe,119_big
-lolo,120_small
-makal,121_sharp
-ᵐʙukɔ,122_bluntdull
-male,123_shyashamed
kaiwut,124_old
-miaʔ,125_painfulsick
pelawas,127_bad
-modine,128_correcttrue
-mom,130_rotten
-luᵐʙ,131_heavy
-sɪlaʔ,132_far
-nemeðaʔ,134_cold
-mɛmaɣas,135_dry
-luᵐʙu,136_wet
βɛβeo,137_new
tlalis,138_other
ku-pul,139_come
-taxse,141_stand
-spo,142_sit
-spospɔ,142_sit
-sum,143_fall
-sum_laðɛnɛ,143_fall
-iapɪkɪs,145_turn
i-aʔ,146_climb
-ⁿdɛⁿdɛn,147_swim
-jele,148_flyverb
-suᵐʙro-ɪŋɛ,149_throw
u-ⁿdeulalaʔ,150_hide
min,152_drink
-wɛlɛl,153_yawn
-xoi,154_spit
-lin_ᵐbɣie,155_dream
-mitox,156_sleep
-muox,157_live
-mes,158_die
-xos-iᵐʙn-iŋɛ,159_kill
nu-ᵑgulo,160_see
-xoŋe,161_hear
nɪ-ᵐʙune,162_sniffsmell
-vitumo,163_laugh
-xo,164_cry
-xoxo,164_cry
-vɛɣʊp˺,165_blow
-xos-ɪŋe,169_hit
-siᵐbax,171_split
ɛ-kɪl-ɪŋɛ,172_dig
i-lɛl-ɪŋɛ,174_hold
-mɛtaʔ,175_fear
ku-ᵐbuluk˺,176_count
-ŋaŋxa,177_breathe
-liluɔ,178_vomit
-ᵐʙus-ɪŋɛ,180_squeeze
-tiᵐʙ,181_swell
ku-ᵐbut-iŋɛ,182_say
i-ox,183_scratch
e-tax-ɪŋe,184_stab
-ᵐʙul-ɪŋɛ,185_buy
-venaʔ-ɪŋe,186_steal
lapiŋe,187_plant
-tɪbɪs-iŋe,189_shoot
ɛ-sax-ɪŋɛ,191_open
