Najittanmial,English Translation
-saɣal,1_one
-ru,2_two
-til,3_three
-vat,4_four
-lɪm,5_five
-hoɛn,6_six
-xɛᵐbit,7_seven
-xoɛl,8_eight
-xasɪf,9_nine
-siŋavil,10_ten
ŋovɪl_i-ru,11_twenty
ŋov_ɪ-lɪm,12_fifty
ŋov_siŋavil,13_onehundred
ᵑgaka,15_year
nə-mɛtu,16_right
nə-miɾ,17_left
ɣonu,18_i
nakɛr,22_weallincl
nox,23_thou
kɛm_iru,24_youboth
kɛm,25_youall
xain,26_heshe
xar,27_theyall
xar_eru,28_theyboth
i-seɣe,29_nonot
nat͡sʰɪt,30_what
ise,31_who
xɛmbɛ,32_where
sɪvɛlɪŋ,33_when
-plaknʧit,34_how
hɔŋən,35_this
ɣaɣe,36_that
-lɛmsax,37_above
-mɛlvɛn,38_below
-lalɛn,39_ininside
ᵐbatu-m,40_head
nɪ-vulo-m,41_hair
nə-mto-m,42_eye
gsʊ-m,43_nose
ᵐboro-m,44_ear
ⁿʒoŋo-m,45_mouth
nɪ-mɛmɛ-m,46_tongue
luvo-m,47_tooth
nɪvar-om,48_hand
ᵐbələ-m,49_shoulder
ⁿʒɛlɣa-m,50_neck
ⁿʒɪpno-m,51_back
n̩ə-milo-m,52_leg
ni-re,53_blood
ⁿʒi-n,54_bone
lɛvwa-m,56_belly
ⁿʒɪno-m,57_intestines
na-sus,58_breast
no-ɣuli,60_dog
ni-mɛnəx,61_bird
nɪ-mat͡s,62_fish
nɪ-mʷɛt,63_snake
na-ɣet,65_louse
na-ɣarif,66_rat
ᵐbotlas,67_spider
nɛ-məx,68_mosquito
rzn,69_egg
vʷɛlɣaun,70_tail
nɛ-ɣpɛ-n,71_wing
mɛrmɛr,73_man
ⁿduat,74_woman
ⁿdipʷis,75_child
nɛŋs-,76_name
məra-k,77_mother
tate,78_father
lɛlax,79_husband
ⁿduat_sin,80_wife
ran,81_day
malɪk,82_night
nɛ-vl̩,83_moon
no-vovʷor,84_star
ᵐbeknaran,85_sky
nu-a,86_water
nɛ-lɛp,87_lake
ⁿdas,88_sea
na-ɣap,89_fire
n-ɛs_na-ɣap,90_smoke
ⁿdev_na-ɣap,91_ash
nɪ-vat,92_stone
ⁿdɛn,93_earthsoil
naf,94_dust
nɪ-vovon,95_sand
n-os,96_rain
n-laŋ,98_wind
ᵐbʷɛtekur,99_thunder
ne-vɪlax,100_lightning
nə-ᵐbrɛ-n,101_meatflesh
nɛ-vuŋɛ-n,102_fruit
nɪ-vʷɛɾɣa,103_woodsforest
no-xoro-n,104_root
nɛ-ŋrɛ-n,105_branch
rowo,106_leaf
na-ɣa,107_wood
ruat,110_thatchroof
na-im,111_house
nɪ-mɛrɪt,112_rope
ⁿʒal,113_roadpath
i-loŋ,114_black
i-pɪsax,115_white
-mɛlmɛl,116_red
i-lɛplɛp,119_big
-kotkot,120_small
-mʷon,121_sharp
-patot,122_bluntdull
i-maɣʊnɣʊn,123_shyashamed
i-təɾa,124_old
i-roʧ,125_painfulsick
i-nɛm,126_good
i-sat,127_bad
i-faratn̩,128_correcttrue
i-loŋ,129_dirty
-mərɛvrɛf,130_rotten
i-rof,131_heavy
luɣsi,132_far
xɛɾif,133_near
-mɛlɣas,134_cold
i-rom,136_wet
i-mərax,137_new
-mã,139_come
-val,140_walk
-tor,141_stand
i-at,142_sit
-ʧov_lɛltɛn,143_fall
-ror,145_turn
-sax,146_climb
-səf,147_swim
-ɣɛɣɛp,148_flyverb
-ʧɛplɛn,149_throw
-tosuɣun,150_hide
-wor,151_eat
-min,152_drink
-momaɸ,153_yawn
-tɪpɪs,154_spit
mɛtur_porpor,155_dream
-mɛtur,156_sleep
i-moroɸ,157_live
i-mas,158_die
-lɪs,160_see
-roŋɔ,161_hear
pʷɔ-ⁿʧi,162_sniffsmell
-ŋir,163_laugh
-ŋɛr,164_cry
-sɛr,165_blow
-sul,166_burn
-rur,167_sew
-rup,169_hit
-tet͡s,170_cut
-pɛr,171_split
-xil,172_dig
-xorxor,173_hunt
-wus,174_hold
-ləɣoləx,175_fear
ʧɪpiŋ,176_count
i-evɪn-laŋ,177_breathe
-lolo,178_vomit
-miʧi,179_tieup
-wuwun,181_swell
-wɛr,182_say
-rur,184_stab
-wol,185_buy
-vɪneɣe,186_steal
-laf,187_plant
-vin,189_shoot
-pas,190_work
-ɣəɣɛs,191_open
